#com.godaddy.neo.istone
#./workspace/com.godaddy.neo.istone_0/com.godaddy.neo.istone.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 23:31:48.235473,681,190,730,1109,936,0,0,0,1075634,1190,666308,798,S,52393,0,516,0,137,76,0,0,69,3533533184,53854,0,862199,54031,43170,5,0
2023-01-09 23:31:48.523384,703,197,741,1109,936,0,0,0,1079662,1240,674701,844,S,52877,0,516,0,139,78,0,0,69,3531665408,54140,0,862229,54218,43240,5,0
2023-01-09 23:31:48.768192,750,198,751,1109,936,0,0,0,1082344,1272,680008,879,S,52974,0,516,0,140,78,0,0,69,3531689984,54215,0,862235,54255,43246,5,0
2023-01-09 23:31:49.038819,755,199,754,1109,936,0,0,0,1082774,1277,681107,882,S,52980,0,516,0,140,78,0,0,69,3531689984,54218,0,862240,54285,43251,5,0
2023-01-09 23:31:49.298883,782,203,762,1109,936,0,0,0,1085558,1311,686362,918,S,53187,0,516,0,142,78,0,0,69,3531784192,54355,0,862256,54363,43251,5,0
2023-01-09 23:31:49.554210,805,205,767,1109,936,0,0,0,1088180,1343,691281,951,S,53270,0,516,0,142,78,0,0,69,3533918208,54395,0,862773,54395,43256,5,0
2023-01-09 23:31:49.815034,840,207,774,1109,936,0,0,0,1091469,1382,699825,1000,S,53316,0,516,0,143,78,0,0,69,3531841536,54424,0,863055,54516,43269,5,0
2023-01-09 23:31:50.070329,855,208,776,1109,936,0,0,0,1092522,1394,701903,1015,S,53370,0,516,0,143,78,0,0,69,3531866112,54449,0,862553,54594,43269,5,0
2023-01-09 23:31:50.322394,879,212,780,1109,936,0,0,0,1094544,1418,706174,1040,S,53683,0,516,0,145,79,0,0,69,3534012416,54664,0,864325,54991,43302,5,0
2023-01-09 23:31:50.582828,919,216,787,1109,936,0,0,0,1097095,1448,711839,1067,S,54197,0,517,0,147,80,0,0,69,3540422656,54967,0,862277,55232,43300,5,0
2023-01-09 23:31:50.843409,940,219,791,1109,936,0,0,0,1100143,1485,718790,1107,S,54346,0,517,0,149,81,0,0,67,3538178048,55164,0,862703,55603,43374,5,0
2023-01-09 23:31:51.104429,959,222,795,1109,936,0,0,0,1101555,1502,720831,1122,S,54586,0,517,0,149,81,0,0,68,3535204352,55338,0,862157,55680,43393,5,0
2023-01-09 23:31:51.353953,973,224,800,1109,936,0,0,0,1103544,1526,725161,1147,D,54744,0,517,0,151,82,0,0,63,3534725120,55603,0,861407,55767,43387,5,0
2023-01-09 23:31:51.623376,1005,227,809,1109,936,0,0,0,1106025,1555,730046,1179,S,54960,0,517,0,153,83,0,0,60,3526225920,55767,0,861133,56005,43395,5,0
2023-01-09 23:31:51.890817,1020,230,815,1109,936,0,0,0,1107116,1568,732222,1193,D,55138,0,517,0,154,84,0,0,59,3525103616,55921,0,861133,56146,43395,5,0
2023-01-09 23:31:52.137965,1036,234,821,1110,936,0,0,0,1109946,1602,737391,1228,S,56083,0,517,0,162,86,0,0,59,3525103616,56585,0,859847,54632,43249,5,0
2023-01-09 23:31:52.418394,1063,240,827,1110,936,0,0,0,1113374,1643,744305,1269,R,56749,0,517,0,165,87,0,0,59,3524030464,54665,0,860057,55126,43383,5,0
2023-01-09 23:31:52.670314,1078,242,832,1110,936,0,0,0,1114098,1652,745962,1279,S,56805,0,517,0,165,87,0,0,57,3521765376,54811,0,860057,55271,43444,5,0
2023-01-09 23:31:52.947667,1114,247,841,1110,936,0,0,0,1117730,1695,753353,1324,S,57308,0,518,0,169,89,0,0,56,3520696320,55297,0,859033,55355,43442,5,0
2023-01-09 23:31:53.187651,1127,248,844,1110,936,0,0,0,1118757,1707,756211,1335,S,57311,0,518,0,169,89,0,0,56,3520696320,55297,0,859814,55574,43550,5,0
2023-01-09 23:31:53.432729,1139,253,848,1110,936,0,0,0,1120500,1728,759130,1356,S,57396,0,518,0,170,89,0,0,56,3518599168,55355,0,859065,55700,43574,5,0
2023-01-09 23:31:53.695170,1169,258,857,1110,936,0,0,0,1123755,1768,765680,1395,S,57867,0,519,0,173,89,0,0,56,3522924544,55674,0,860937,55857,43623,5,0
2023-01-09 23:31:53.973256,1201,261,866,1110,936,0,0,0,1125975,1795,770027,1420,S,58057,0,521,0,175,90,0,0,58,3520933888,55851,0,861231,56015,43653,5,0
2023-01-09 23:31:54.235029,1223,264,871,1110,936,0,0,0,1127184,1809,772008,1431,S,58240,0,521,0,177,91,0,0,62,3529637888,55935,0,860958,55896,43654,5,0
2023-01-09 23:31:54.483033,1245,268,877,1110,936,0,0,0,1129806,1841,778306,1466,S,58463,0,522,0,179,93,0,0,61,3530678272,55850,0,861020,55613,43653,5,0
2023-01-09 23:31:54.763702,1262,272,882,1110,936,0,0,0,1131866,1866,781584,1493,S,58676,0,523,0,182,94,0,0,61,3524386816,55739,0,861020,55704,43665,5,0
2023-01-09 23:31:55.013642,1286,276,889,1110,936,0,0,0,1134360,1896,786482,1526,S,59085,0,528,0,186,96,0,0,61,3529007104,55659,0,861159,55649,43827,5,0
2023-01-09 23:31:55.254100,1314,280,896,1110,936,0,0,0,1137195,1930,793099,1566,D,59623,0,532,0,189,97,0,0,62,3526344704,55778,0,861959,56632,44149,5,0
2023-01-09 23:31:55.524882,1331,281,900,1110,936,0,0,0,1138130,1941,795119,1578,D,59729,0,533,0,190,98,0,0,62,3528458240,55970,0,862275,56651,44149,5,0
2023-01-09 23:31:55.785204,1368,287,909,1110,936,0,0,0,1140464,1969,799953,1609,S,60582,0,543,0,194,99,0,0,63,3531784192,56395,0,862516,56714,44183,5,0
2023-01-09 23:31:56.055685,1376,290,912,1110,936,0,0,0,1142774,1997,804784,1641,R,61236,0,547,0,197,100,0,0,63,3529859072,57081,0,863329,58741,44501,5,0
2023-01-09 23:31:56.315653,1384,292,915,1110,936,0,0,0,1145306,2028,809573,1672,D,62975,0,551,0,201,103,0,0,66,3536191488,57894,0,862941,56053,44850,5,0
2023-01-09 23:31:56.600054,1394,294,918,1110,936,0,0,0,1147838,2059,814587,1706,S,64461,0,555,0,207,106,0,0,65,3534606336,56266,0,862941,56535,44922,5,0
2023-01-09 23:31:56.838105,1400,296,920,1110,936,0,0,0,1149836,2083,818796,1730,S,65087,0,555,0,211,108,0,0,65,3534610432,56880,0,863000,57225,44934,5,0
2023-01-09 23:31:57.106668,1408,297,922,1110,936,0,0,0,1152552,2116,823809,1764,S,66041,0,557,0,216,112,0,0,66,3538046976,57646,0,864060,57814,45005,5,0
2023-01-09 23:31:57.367383,1416,299,926,1110,937,0,0,0,1154730,2142,828528,1795,R,66295,0,557,0,219,113,0,0,65,3539189760,57820,0,864377,58779,45119,5,0
2023-01-09 23:31:57.627551,1427,301,928,1110,937,0,0,0,1156728,2166,832804,1820,S,67159,0,559,0,223,116,0,0,66,3540467712,58537,0,863911,59579,45165,5,0
2023-01-09 23:31:57.880677,1435,302,930,1110,937,0,0,0,1159062,2194,838609,1851,S,68394,0,562,0,228,118,0,0,66,3538579456,59677,0,844659,52874,41073,5,0
2023-01-09 23:31:58.145687,1454,304,936,1110,937,0,0,0,1161528,2224,843287,1881,S,68526,0,562,0,230,119,0,0,66,3459723264,52874,0,844659,53072,41073,5,0
2023-01-09 23:31:58.416030,1486,306,941,1110,937,0,0,0,1165382,2270,852346,1934,S,68739,0,562,0,231,119,0,0,66,3459723264,53072,0,844659,53072,41073,5,0
2023-01-09 23:31:58.676574,1505,307,945,1110,937,0,0,0,1165973,2277,853643,1940,S,68739,0,562,0,231,119,0,0,66,3459723264,53072,0,844659,53072,41073,5,0
2023-01-09 23:31:58.937952,1530,308,950,1110,937,0,0,0,1168190,2304,857409,1972,S,68753,0,562,0,231,119,0,0,66,3459723264,53072,0,844659,53107,41073,5,0
2023-01-09 23:31:59.198340,1558,310,957,1111,937,0,0,0,1171128,2340,863739,2008,S,68964,0,562,0,233,120,0,0,66,3459723264,53249,0,845171,53371,41093,5,0
2023-01-09 23:31:59.475945,1584,312,961,1111,937,0,0,0,1172876,2361,866766,2032,S,69088,0,562,0,234,120,0,0,66,3461820416,53306,0,844385,53378,41068,5,0
2023-01-09 23:31:59.735004,1606,315,965,1111,937,0,0,0,1175432,2392,871690,2065,S,69175,0,562,0,235,120,0,0,65,3458600960,53378,0,844395,53646,41068,5,0
2023-01-09 23:31:59.985586,1629,321,972,1111,937,0,0,0,1178522,2430,877080,2103,S,69717,0,562,0,239,120,0,0,65,3458682880,53807,0,844405,53939,41068,5,0
2023-01-09 23:32:00.240769,1655,324,980,1113,937,0,0,0,1180700,2456,881668,2132,S,69876,0,562,0,240,121,0,0,65,3458682880,53939,0,844405,54071,41068,5,0
