#com.goldenmonkey.simplememo
#./workspace/com.goldenmonkey.simplememo_0/com.goldenmonkey.simplememo.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 03:01:34.110498,919,293,861,1895,1113,0,0,0,906213,1120,642138,843,S,12747,0,13,0,45,6,0,0,17,3336765440,38969,1,814640,39695,27144,5,0
2023-01-09 03:01:34.391958,932,295,865,1895,1113,0,0,0,907824,1139,645007,865,S,13467,0,13,0,48,7,0,0,17,3336765440,39695,1,815041,40677,28133,5,0
2023-01-09 03:01:34.648742,940,297,868,1895,1113,0,0,0,909374,1157,649345,891,S,14085,0,13,0,53,8,0,0,17,3338407936,40677,1,814521,39910,27617,5,0
2023-01-09 03:01:34.912825,948,298,871,1895,1113,0,0,0,912336,1193,655678,927,S,14092,0,13,0,56,8,0,0,17,3336278016,39910,1,814522,39910,27617,5,0
2023-01-09 03:01:35.179420,958,300,875,1895,1113,0,0,0,915694,1233,663019,972,S,14106,0,15,0,57,8,0,0,17,3336282112,39910,1,814522,39910,27617,5,0
2023-01-09 03:01:35.453111,960,301,876,1895,1113,0,0,0,915940,1236,664274,977,S,14106,0,15,0,57,8,0,0,17,3336282112,39910,1,814522,39910,27617,5,0
2023-01-09 03:01:35.690232,967,305,880,1896,1113,0,0,0,918620,1268,669460,1013,S,14106,0,15,0,57,8,0,0,17,3336282112,39910,1,814522,39910,27617,5,0
2023-01-09 03:01:35.979355,971,308,882,1896,1114,0,0,0,921086,1298,674295,1045,S,14106,0,15,0,57,8,0,0,17,3336282112,39910,1,814522,39910,27617,5,0
2023-01-09 03:01:36.207661,981,313,890,1911,1116,0,0,0,923726,1331,679060,1076,S,14372,0,21,0,60,9,0,0,18,3337371648,39485,1,814788,39485,27954,5,0
2023-01-09 03:01:36.478460,1007,314,893,1917,1116,0,0,0,926126,1360,684007,1109,S,14373,0,21,0,60,10,0,0,18,3337371648,39485,0,814788,39485,27954,5,0
2023-01-09 03:01:36.735255,1017,315,897,1934,1118,0,0,0,928814,1393,688955,1142,S,14379,0,21,0,60,10,0,0,18,3337371648,39485,0,814793,40184,28176,5,0
2023-01-09 03:01:37.005964,1047,316,901,1947,1118,0,0,0,931416,1425,693609,1172,S,15551,0,24,0,69,10,0,0,18,3337400320,40508,1,814797,40516,28176,5,0
2023-01-09 03:01:37.257753,1073,316,906,1949,1118,0,0,0,933740,1454,698066,1199,S,15558,0,24,0,72,10,0,0,18,3337408512,40516,1,814797,40516,28176,5,0
2023-01-09 03:01:37.528113,1112,316,910,1953,1118,0,0,0,936404,1487,702883,1230,S,15565,0,25,0,75,10,0,0,18,3337539584,40516,1,814829,40516,28176,5,0
2023-01-09 03:01:37.793601,1119,316,912,1971,1118,0,0,0,938672,1514,707700,1261,S,15565,0,25,0,77,10,0,0,18,3337539584,40516,1,814829,40516,28176,5,0
2023-01-09 03:01:38.043953,1127,316,914,2004,1118,0,0,0,941690,1552,712583,1293,S,15601,0,25,0,78,10,0,0,18,3337539584,40516,1,814829,40517,28176,5,0
2023-01-09 03:01:38.304484,1130,317,917,2052,1118,0,0,0,944288,1584,717533,1326,S,15662,0,25,0,80,10,0,0,18,3337539584,40517,0,814829,39810,28176,5,0
2023-01-09 03:01:38.564968,1140,317,920,2083,1118,0,0,0,946844,1615,722549,1360,S,15664,0,25,0,81,11,0,0,18,3337539584,39810,1,814829,39810,28176,5,0
2023-01-09 03:01:38.825342,1145,318,922,2123,1118,0,0,0,949730,1651,727607,1395,S,15664,0,25,0,81,11,0,0,18,3337539584,39810,1,814829,39810,28176,5,0
2023-01-09 03:01:39.085856,1153,318,925,2159,1118,0,0,0,952616,1687,732911,1433,S,15664,0,25,0,81,11,0,0,18,3337539584,39810,1,814829,39810,28176,5,0
2023-01-09 03:01:39.341127,1164,318,927,2189,1118,0,0,0,955280,1720,738012,1468,S,15667,0,25,0,86,11,0,0,18,3337539584,39805,0,814829,39805,28176,5,0
2023-01-09 03:01:39.601448,1175,319,930,2225,1118,0,0,0,957656,1749,742913,1501,S,15669,0,25,0,88,11,0,0,18,3337539584,39805,1,814829,39805,28176,5,0
2023-01-09 03:01:39.861916,1183,320,935,2262,1119,0,0,0,960344,1782,748500,1538,S,15669,0,25,0,88,11,0,0,18,3337539584,39805,1,814829,39805,28176,5,0
2023-01-09 03:01:40.117568,1186,320,936,2296,1119,0,0,0,962942,1814,753883,1573,S,15670,0,25,0,88,11,0,0,18,3337539584,39805,1,814829,39805,28176,5,0
2023-01-09 03:01:40.388472,1193,326,940,2324,1121,0,0,0,965540,1846,759314,1608,S,15673,0,25,0,90,11,0,0,18,3337539584,39805,1,814829,39805,28176,5,0
2023-01-09 03:01:40.653866,1215,329,944,2331,1122,0,0,0,968799,1886,767039,1649,R,15693,0,25,0,95,12,0,0,18,3337539584,39770,1,814829,39770,28176,5,0
2023-01-09 03:01:40.909095,1220,329,944,2331,1122,0,0,0,969974,1900,769332,1664,S,15715,0,25,0,97,13,0,0,18,3337539584,39770,1,814829,39770,28176,5,0
2023-01-09 03:01:41.199343,1227,330,947,2331,1122,0,0,0,972560,1931,774597,1700,S,15716,0,25,0,100,13,0,0,18,3337539584,39770,1,814829,39770,28176,5,0
2023-01-09 03:01:41.443168,1238,330,950,2332,1122,0,0,0,976075,1973,783086,1751,S,16019,0,25,0,103,14,0,0,18,3337449472,39770,0,814782,39785,28367,5,0
2023-01-09 03:01:41.708896,1269,331,954,2332,1122,0,0,0,977946,1996,787318,1775,S,16019,0,25,0,104,14,0,0,18,3337347072,39785,0,814782,39785,28367,5,0
2023-01-09 03:01:41.967726,1291,331,957,2332,1122,0,0,0,980228,2024,790957,1806,S,16019,0,25,0,104,14,0,0,18,3337347072,39785,0,814782,39785,28367,5,0
2023-01-09 03:01:42.235520,1299,331,960,2354,1122,0,0,0,982496,2051,795975,1840,S,16078,0,25,0,106,14,0,0,18,3337347072,39787,0,814782,39787,28367,5,0
2023-01-09 03:01:42.500739,1314,332,963,2385,1122,0,0,0,985250,2085,801173,1876,S,16081,0,25,0,111,14,0,0,18,3337347072,39787,1,814782,39768,28397,5,0
2023-01-09 03:01:42.746013,1323,332,965,2418,1122,0,0,0,988160,2121,806490,1913,S,16227,0,25,0,114,14,0,0,18,3337449472,39846,1,814782,39898,28445,5,0
2023-01-09 03:01:43.021864,1353,333,971,2424,1123,0,0,0,990446,2149,810992,1941,S,16382,0,25,0,117,16,0,0,18,3337347072,39898,1,814782,39898,28445,5,0
2023-01-09 03:01:43.299481,1364,333,973,2448,1123,0,0,0,993134,2182,815944,1974,S,16382,0,25,0,117,16,0,0,18,3337347072,39898,1,814782,39898,28445,5,0
2023-01-09 03:01:43.549449,1385,333,977,2482,1123,0,0,0,996048,2218,822455,2014,S,16532,0,25,0,119,17,0,0,18,3337547776,40037,0,814782,39989,28458,5,0
2023-01-09 03:01:43.802449,1412,333,980,2487,1123,0,0,0,999535,2260,829823,2059,S,16533,0,25,0,120,17,0,0,18,3337347072,39989,1,814782,39990,28458,5,0
2023-01-09 03:01:44.067866,1431,334,983,2488,1123,0,0,0,1000560,2272,831901,2074,S,16545,0,25,0,123,18,0,0,18,3337347072,39989,0,814807,39990,28458,5,0
