#com.gstar.evowall
#./workspace/com.gstar.evowall_0/com.gstar.evowall.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 03:37:10.381023,1119,272,776,1224,668,0,0,0,381162,857,716293,996,S,2059,0,44,0,5,1,0,0,13,1118482432,21203,1,273067,21203,17301,5,0
2023-01-11 03:37:10.673496,1127,277,779,1224,668,0,0,0,384398,896,724429,1040,S,2063,0,44,0,5,1,0,0,13,1118482432,21203,1,273067,21203,17301,5,0
2023-01-11 03:37:11.183383,1156,282,786,1224,668,0,0,0,388098,940,734402,1092,S,2066,0,44,0,5,1,0,0,13,1118482432,21203,1,273067,21203,17301,5,0
2023-01-11 03:37:10.927876,1158,282,786,1224,668,0,0,0,389782,960,738295,1113,S,2066,0,44,0,5,1,0,0,13,1118482432,21203,1,273067,21203,17301,5,0
2023-01-11 03:37:11.454179,1173,283,791,1224,668,0,0,0,391352,979,741647,1129,S,2066,0,44,0,5,1,0,0,13,1118482432,21203,1,273067,21203,17301,5,0
2023-01-11 03:37:11.964535,1199,284,798,1224,668,0,0,0,395363,1027,749107,1180,S,2066,0,44,0,5,1,0,0,13,1118482432,21203,1,273067,21203,17301,5,0
2023-01-11 03:37:11.714168,1192,284,795,1224,668,0,0,0,394554,1018,747900,1175,S,2066,0,44,0,5,1,0,0,13,1118482432,21203,1,273067,21203,17301,5,0
2023-01-11 03:37:12.228485,1218,285,805,1224,668,0,0,0,397943,1058,755641,1217,S,2066,0,44,0,5,1,0,0,13,1118482432,21203,1,273067,21203,17301,5,0
2023-01-11 03:37:12.472382,1240,286,811,1224,668,0,0,0,400413,1088,759306,1249,S,2066,0,44,0,5,1,0,0,13,1118482432,21203,1,-1,-1,-1,-1,-1
2023-01-11 03:37:12.742420,1245,287,814,1224,668,0,0,0,401844,1105,762728,1265,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:37:13.524120,1289,291,827,1224,668,0,0,0,408983,1189,782286,1358,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:37:13.002955,1286,291,826,1224,668,0,0,0,409790,1198,783739,1366,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:37:13.263380,1293,291,829,1224,668,0,0,0,410986,1213,785593,1377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:37:14.038640,1313,294,835,1224,668,0,0,0,413250,1240,793521,1406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:37:13.783182,1304,292,832,1224,668,0,0,0,413250,1240,793521,1406,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:37:14.293832,1313,295,836,1224,668,0,0,0,417204,1285,799969,1445,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:37:14.820178,1386,297,852,1224,668,0,0,0,419195,1309,803041,1469,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:37:14.559541,1382,297,851,1224,668,0,0,0,420964,1330,809164,1492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:37:15.080370,1387,298,854,1224,668,0,0,0,421210,1333,811588,1499,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 03:37:15.333377,1397,301,864,1224,668,0,0,0,425017,1378,819687,1547,S,28676,0,266,0,233,104,0,0,58,3585568768,55646,1,875383,55666,44903,5,0
2023-01-11 03:37:15.600918,1402,304,871,1224,668,0,0,0,426135,1391,822586,1561,S,28685,0,266,0,233,105,0,0,58,3585568768,55646,1,875383,55674,44903,5,0
