#com.gunsandlace.magazine
#./workspace/com.gunsandlace.magazine_0/com.gunsandlace.magazine.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 12:34:32.393585,837,212,624,1062,1302,0,0,0,473811,842,739460,931,S,12652,0,7,0,35,9,0,0,17,3332390912,39186,0,813572,39186,27222,5,0
2023-01-11 12:34:32.675230,852,212,630,1067,1302,0,0,0,477693,891,746712,979,S,12654,0,7,0,35,9,0,0,17,3332390912,39186,0,813572,38834,27254,5,0
2023-01-11 12:34:32.950141,863,214,634,1067,1302,0,0,0,480400,923,751995,1014,S,12654,0,7,0,36,9,0,0,17,3332390912,38834,0,813572,38990,27357,5,0
2023-01-11 12:34:33.185116,871,217,639,1071,1302,0,0,0,484446,958,757458,1048,S,12663,0,7,0,36,9,0,0,17,3332390912,38990,0,813572,38990,27357,5,0
2023-01-11 12:34:33.465781,884,218,643,1074,1302,0,0,0,486378,981,761729,1073,S,12672,0,7,0,37,9,0,0,17,3332390912,38990,0,813796,39773,28133,5,0
2023-01-11 12:34:33.711300,891,218,646,1088,1302,0,0,0,490405,1017,766752,1108,S,12900,0,7,0,38,9,0,0,17,3333308416,39773,0,813796,39773,28133,5,0
2023-01-11 12:34:33.956278,898,218,651,1107,1303,0,0,0,493159,1051,773118,1144,S,12917,0,7,0,38,9,0,0,17,3333308416,39773,0,813797,39773,28133,5,0
2023-01-11 12:34:34.211844,903,219,656,1125,1304,0,0,0,497538,1088,778611,1182,S,12930,0,7,0,39,9,0,0,17,3333312512,39773,0,813797,39773,28133,5,0
2023-01-11 12:34:34.499537,911,220,662,1138,1305,0,0,0,504990,1124,785145,1224,S,12931,0,7,0,39,9,0,0,17,3333312512,39773,0,813797,39773,28133,5,0
2023-01-11 12:34:34.754754,924,223,670,1156,1305,0,0,0,507804,1159,790386,1261,S,12933,0,7,0,40,9,0,0,17,3333312512,39773,0,813797,39773,28133,5,0
2023-01-11 12:34:35.020122,936,223,676,1178,1305,0,0,0,515508,1198,796591,1298,S,12994,0,7,0,41,9,0,0,17,3333312512,39774,1,813797,39774,28133,5,0
2023-01-11 12:34:35.275139,947,224,683,1196,1305,0,0,0,517884,1227,801777,1330,S,12994,0,7,0,41,10,0,0,17,3333312512,39774,0,813797,39774,28133,5,0
2023-01-11 12:34:35.540744,962,225,690,1215,1306,0,0,0,519816,1250,806661,1358,S,13031,0,7,0,42,10,0,0,17,3333312512,39774,0,813797,39774,28133,5,0
2023-01-11 12:34:35.801123,972,226,695,1238,1306,0,0,0,522540,1284,811755,1393,S,13031,0,7,0,43,10,0,0,17,3333312512,39774,0,813797,39774,28133,5,0
2023-01-11 12:34:36.056327,982,226,702,1259,1306,0,0,0,525500,1321,818116,1434,S,13036,0,7,0,44,10,0,0,17,3333312512,39774,1,813797,39774,28133,5,0
2023-01-11 12:34:36.311751,993,227,708,1277,1306,0,0,0,528340,1356,824214,1474,S,13037,0,7,0,44,10,0,0,17,3333312512,39774,1,813797,39774,28133,5,0
2023-01-11 12:34:36.562152,1006,227,714,1299,1306,0,0,0,531009,1388,830106,1509,S,13041,0,7,0,45,10,0,0,17,3333312512,39774,1,813797,39774,28133,5,0
2023-01-11 12:34:36.837732,1021,232,723,1310,1306,0,0,0,535494,1426,836178,1550,S,13043,0,7,0,46,10,0,0,17,3333312512,39774,0,813797,39774,28133,5,0
2023-01-11 12:34:37.092924,1029,235,730,1330,1307,0,0,0,538512,1464,842758,1593,S,13043,0,7,0,46,10,0,0,17,3333312512,39774,0,813797,39120,28133,5,0
2023-01-11 12:34:37.371138,1038,235,736,1355,1307,0,0,0,546322,1501,849821,1635,S,13044,0,7,0,47,10,0,0,17,3333312512,39120,0,813797,39120,28133,5,0
