#com.install.droid
#./workspace/com.install.droid_0/app1754.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 15:45:41.479336,1357,536,727,3587,987,0,0,0,34067923,25652,1240947,6578,S,3635,0,12,0,2,0,0,0,14,3291406336,25440,0,803566,25440,20855,5,0
2023-01-11 15:45:41.753181,1363,537,728,3587,987,0,0,0,34068696,25661,1242605,6588,S,3635,0,12,0,2,0,0,0,14,3291406336,25440,0,803566,25440,20855,5,0
2023-01-11 15:45:42.013683,1370,538,732,3587,987,0,0,0,34071712,25697,1250846,6633,S,3635,0,12,0,2,0,0,0,14,3291406336,25440,0,803566,25440,20855,5,0
2023-01-11 15:45:42.289333,1379,542,735,3587,987,0,0,0,34074268,25728,1255751,6666,S,3635,0,12,0,2,0,0,0,14,3291406336,25440,0,803566,25440,20855,5,0
2023-01-11 15:45:42.536210,1384,550,739,3587,987,0,0,0,34076550,25756,1260279,6694,S,3635,0,12,0,2,0,0,0,14,3291406336,25440,0,803566,25440,20855,5,0
2023-01-11 15:45:42.805788,1394,561,744,3587,987,0,0,0,34080277,25802,1267170,6735,S,3659,0,12,0,2,1,0,0,14,3291406336,25440,0,803566,25440,20855,5,0
2023-01-11 15:45:43.049193,1403,564,746,3587,987,0,0,0,34082044,25823,1270126,6758,S,3670,0,12,0,3,1,0,0,14,3291406336,25440,0,803566,25440,20855,5,0
2023-01-11 15:45:43.318404,1411,569,751,3587,987,0,0,0,34084296,25851,1274677,6786,S,3674,0,12,0,3,1,0,0,14,3291406336,25440,0,803566,25722,21097,5,0
2023-01-11 15:45:43.574956,1421,575,755,3587,987,0,0,0,34086605,25879,1279164,6814,S,3706,0,12,0,3,1,0,0,14,3291406336,25722,0,803567,26116,21438,5,0
2023-01-11 15:45:43.861889,1427,580,758,3587,987,0,0,0,34089354,25912,1285439,6850,S,3805,0,12,0,4,1,0,0,14,3291410432,26116,0,804352,27678,22975,5,0
2023-01-11 15:45:44.114956,1437,588,762,3587,987,0,0,0,34091286,25935,1289915,6876,S,3809,0,13,0,5,1,0,0,14,3291410432,26116,0,804352,27678,22975,5,0
2023-01-11 15:45:44.391674,1475,598,773,3587,987,0,0,0,34100518,25987,1298261,6927,S,4604,0,13,0,6,2,0,0,14,3294625792,27678,0,804448,27772,23005,5,0
