#com.iwpsoftware.android.ebook.play.william_shakespeare.julius_caesar
#./workspace/com.iwpsoftware.android.ebook.play.william_shakespeare.julius_caesar_0/com.iwpsoftware.android.ebook.play.william_shakespeare.julius_caesar.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:06:19.058454,927,311,880,1731,1241,0,0,0,1019608,1396,675199,1072,S,10567,0,198,0,11,10,0,0,38,3355738112,42742,1,819272,42742,36007,5,0
2023-01-10 04:06:18.793501,926,311,879,1731,1241,0,0,0,1019019,1389,673656,1063,S,10565,0,198,0,11,10,0,0,38,3355738112,42742,1,819272,42742,36007,5,0
2023-01-10 04:06:19.345205,936,314,884,1731,1241,0,0,0,1023786,1447,683127,1125,S,10660,0,207,0,12,10,0,0,40,3360268288,43021,0,820128,43179,36320,5,0
2023-01-10 04:06:19.576141,942,316,887,1732,1241,0,0,0,1026654,1482,688336,1161,S,10733,0,208,0,14,10,0,0,40,3359244288,43328,0,820278,43544,36639,5,0
2023-01-10 04:06:19.845997,950,318,889,1735,1241,0,0,0,1029210,1513,693471,1195,S,11117,0,208,0,16,11,0,0,40,3359858688,43560,0,820278,43560,36655,5,0
2023-01-10 04:06:20.099435,961,319,892,1739,1241,0,0,0,1031520,1541,698083,1224,S,11117,0,208,0,17,11,0,0,40,3359858688,43560,0,820278,43560,36655,5,0
2023-01-10 04:06:20.354748,965,320,894,1771,1241,0,0,0,1034184,1574,702833,1254,S,11141,0,209,0,17,11,0,0,40,3359858688,43589,0,820278,43589,36682,5,0
2023-01-10 04:06:20.620358,967,320,896,1814,1241,0,0,0,1037070,1610,707961,1289,S,11144,0,209,0,17,11,0,0,40,3359858688,43589,1,819854,43224,36294,5,0
2023-01-10 04:06:20.886116,978,321,899,1843,1242,0,0,0,1039578,1641,712660,1319,R,11341,0,209,0,18,11,0,0,41,3359223808,43376,0,822265,45867,38498,5,0
2023-01-10 04:06:21.155301,1009,325,905,1844,1242,0,0,0,1041968,1669,717507,1351,S,14753,0,211,0,22,12,0,0,41,3367997440,45867,0,820102,43757,36356,5,0
2023-01-10 04:06:21.402472,1033,325,909,1846,1242,0,0,0,1044590,1701,723526,1383,S,14834,0,211,0,23,12,0,0,41,3359137792,43757,1,820102,43806,36372,5,0
