#com.jackeey.eWallpapers.nba
#./workspace/com.jackeey.eWallpapers.nba_0/app5199.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 04:53:24.276819,1153,284,855,1103,1040,0,0,0,639790,1007,704803,957,R,9552,0,255,0,73,19,0,0,34,3338821632,38388,0,816285,40055,32163,5,0
2023-01-11 04:53:24.542559,1152,284,854,1103,1040,0,0,0,641564,1028,708972,979,S,10585,0,255,0,75,19,0,0,34,3343503360,40055,0,816285,40055,32163,5,0
2023-01-11 04:53:24.803004,1159,285,858,1103,1040,0,0,0,643035,1046,712816,1001,S,10585,0,255,0,75,20,0,0,34,3343503360,40055,0,816285,40055,32163,5,0
2023-01-11 04:53:25.062920,1167,286,862,1103,1040,0,0,0,645147,1071,716185,1029,S,10585,0,255,0,75,20,0,0,34,3343503360,40055,0,816285,40055,32163,5,0
2023-01-11 04:53:25.334886,1172,286,865,1103,1040,0,0,0,648171,1108,721881,1068,S,10585,0,255,0,75,20,0,0,34,3343503360,40055,0,816285,40055,32163,5,0
2023-01-11 04:53:25.604520,1180,287,871,1103,1040,0,0,0,649006,1118,724921,1081,S,10585,0,255,0,75,20,0,0,34,3343503360,40055,0,816285,40055,32163,5,0
2023-01-11 04:53:25.865740,1185,287,874,1103,1040,0,0,0,651644,1149,731096,1114,S,10585,0,255,0,75,20,0,0,34,3343503360,40055,0,817652,42273,33221,5,0
2023-01-11 04:53:26.125152,1192,289,878,1103,1040,0,0,0,654819,1187,737074,1156,S,12006,0,286,0,80,23,0,0,37,3349102592,43055,0,817573,43249,34086,5,0
2023-01-11 04:53:26.400899,1200,291,883,1103,1040,0,0,0,655542,1195,738449,1163,S,12436,0,289,0,84,23,0,0,37,3348869120,43184,0,817573,43249,34086,5,0
2023-01-11 04:53:26.656570,1207,291,888,1103,1040,0,0,0,659690,1245,747196,1212,S,12442,0,289,0,86,23,0,0,37,3348779008,43249,0,817988,43761,34572,5,0
2023-01-11 04:53:26.912055,1259,293,913,1103,1040,0,0,0,662523,1278,753611,1247,S,12953,0,289,0,86,24,0,0,37,3350478848,43665,0,817988,43637,34572,5,0
2023-01-11 04:53:27.448796,1260,293,916,1103,1040,0,0,0,663105,1285,755269,1256,S,12895,0,289,0,86,24,0,0,37,3350478848,43586,0,817988,43637,34572,5,0
2023-01-11 04:53:27.177950,1267,294,922,1103,1040,0,0,0,665287,1311,758801,1283,S,13091,0,289,0,86,25,0,0,37,3350478848,43637,0,817988,43880,34749,5,0
2023-01-11 04:53:27.722798,1274,295,927,1103,1040,0,0,0,666309,1323,760699,1296,S,13091,0,289,0,86,25,0,0,37,3350478848,43637,0,818277,44396,35166,5,0
