#com.jisangfather.dongantv
#./workspace/com.jisangfather.dongantv_0/com.jisangfather.dongantv.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 07:05:07.871543,976,302,882,1588,1125,0,0,0,890220,975,625106,718,S,11759,0,7,0,29,4,0,0,15,3327533056,36372,0,812386,36372,24305,5,0
2023-01-09 07:05:08.127305,980,304,884,1588,1125,0,0,0,893244,1012,631792,755,S,11759,0,7,0,29,4,0,0,15,3327533056,36372,0,812386,36372,24305,5,0
2023-01-09 07:05:08.399163,987,306,887,1588,1125,0,0,0,895394,1038,636521,785,S,11759,0,7,0,29,4,0,0,15,3327533056,36372,0,812652,36688,24893,5,0
2023-01-09 07:05:08.659585,997,308,891,1590,1125,0,0,0,898611,1077,643091,824,S,13553,0,14,0,30,5,0,0,16,3332816896,37941,0,814704,39078,25078,5,0
2023-01-09 07:05:08.925167,1003,310,894,1590,1125,0,0,0,900170,1096,646140,848,S,15008,0,14,0,35,7,0,0,16,3337027584,39078,0,815216,39143,25078,5,0
2023-01-09 07:05:09.187366,1009,310,898,1592,1125,0,0,0,902414,1123,650909,879,S,15038,0,14,0,41,8,0,0,16,3339137024,39143,0,814881,38551,24468,5,0
2023-01-09 07:05:09.437663,1022,311,900,1592,1125,0,0,0,905599,1161,657162,913,S,15893,0,14,0,43,8,0,0,17,3337752576,38551,0,814881,38551,24468,5,0
2023-01-09 07:05:09.697659,1028,312,903,1594,1125,0,0,0,907200,1181,659737,931,S,15893,0,14,0,43,8,0,0,17,3337752576,38551,0,814881,38551,24468,5,0
2023-01-09 07:05:09.965070,1035,314,907,1595,1126,0,0,0,910092,1216,665187,969,S,16316,0,14,0,44,8,0,0,17,3339452416,39067,0,815296,39067,24925,5,0
2023-01-09 07:05:10.229381,1044,316,911,1599,1126,0,0,0,912624,1247,670066,1001,S,16322,0,14,0,45,8,0,0,17,3339452416,39067,0,815296,39067,24925,5,0
