#com.jjvaca.pepeneitor
#./workspace/com.jjvaca.pepeneitor_0/com.jjvaca.pepeneitor.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 23:38:32.677720,932,302,857,1845,1268,0,0,0,574213,820,642719,738,S,9817,0,198,0,13,6,0,0,37,3345686528,42370,0,817396,42420,35232,5,0
2023-01-09 23:38:32.948547,947,303,860,1845,1269,0,0,0,577133,855,650407,777,S,9914,0,209,0,14,8,0,0,39,3349192704,42755,0,817674,42755,35512,5,0
2023-01-09 23:38:33.210508,951,304,862,1845,1269,0,0,0,578815,875,653234,798,S,9916,0,209,0,14,8,0,0,39,3349192704,42755,0,817674,42755,35512,5,0
2023-01-09 23:38:33.470582,963,307,866,1849,1270,0,0,0,580705,897,658057,830,S,9920,0,210,0,15,8,0,0,39,3349192704,42755,0,817674,42755,35512,5,0
2023-01-09 23:38:33.740452,969,310,868,1865,1270,0,0,0,583681,934,663517,868,S,9940,0,210,0,15,8,0,0,39,3351289856,42854,0,818186,42854,35590,5,0
2023-01-09 23:38:33.995690,975,311,870,1898,1270,0,0,0,586501,969,669078,904,S,9940,0,210,0,15,8,0,0,39,3351289856,42854,1,818186,42854,35590,5,0
2023-01-09 23:38:34.261324,979,311,873,1945,1270,0,0,0,589099,1001,674608,941,D,10050,0,212,0,16,8,0,0,39,3351289856,43112,1,818601,43679,36289,5,0
2023-01-09 23:38:34.530405,998,312,877,1961,1272,0,0,0,591607,1032,679896,975,S,10577,0,214,0,16,10,0,0,39,3352989696,43679,0,818601,43679,36289,5,0
2023-01-09 23:38:34.780439,1011,312,880,1987,1272,0,0,0,594205,1064,685833,1008,S,10599,0,215,0,16,10,0,0,40,3354079232,43682,0,818867,43773,36363,5,0
2023-01-09 23:38:35.022722,1029,312,884,2003,1272,0,0,0,596761,1095,690739,1040,S,10899,0,215,0,18,10,0,0,40,3354472448,43791,0,818963,43791,36379,5,0
2023-01-09 23:38:35.293260,1039,313,886,2036,1272,0,0,0,599623,1131,695623,1072,S,10899,0,215,0,18,10,0,0,40,3354472448,43791,1,818963,43791,36379,5,0
2023-01-09 23:38:35.548634,1045,313,889,2077,1272,0,0,0,602287,1164,700418,1103,S,10937,0,215,0,18,10,0,0,40,3354472448,43795,1,818963,43795,36379,5,0
2023-01-09 23:38:35.809028,1052,313,892,2114,1273,0,0,0,604951,1197,706803,1142,S,10986,0,215,0,19,10,0,0,40,3354472448,43795,1,818963,43795,36379,5,0
2023-01-09 23:38:36.059235,1056,314,894,2151,1274,0,0,0,607351,1226,711953,1178,S,11020,0,215,0,19,10,0,0,40,3354472448,43795,1,818963,43795,36379,5,0
2023-01-09 23:38:36.329917,1061,314,896,2196,1276,0,0,0,609751,1255,717313,1217,S,11039,0,215,0,20,10,0,0,40,3354603520,43795,0,818995,43779,36379,5,0
2023-01-09 23:38:36.585228,1071,315,902,2224,1277,0,0,0,612439,1288,722283,1250,S,11040,0,215,0,20,10,0,0,40,3354603520,43779,0,818995,43779,36379,5,0
2023-01-09 23:38:36.845714,1077,315,904,2263,1279,0,0,0,614905,1318,727869,1287,S,11043,0,215,0,21,10,0,0,40,3354603520,43779,0,818995,43779,36379,5,0
2023-01-09 23:38:37.100933,1082,316,907,2298,1281,0,0,0,617725,1353,733677,1327,S,11043,0,215,0,21,10,0,0,40,3354603520,43779,1,818995,43779,36379,5,0
2023-01-09 23:38:37.366505,1086,316,908,2341,1281,0,0,0,620281,1384,739599,1368,S,11047,0,215,0,21,10,0,0,40,3354603520,43779,0,818995,43779,36379,5,0
2023-01-09 23:38:37.621851,1090,316,911,2382,1282,0,0,0,622879,1416,745874,1405,S,11048,0,215,0,21,10,0,0,40,3354603520,43779,0,818995,43779,36379,5,0
2023-01-09 23:38:37.887308,1099,316,914,2420,1283,0,0,0,625699,1451,750916,1439,S,11051,0,215,0,22,10,0,0,40,3354603520,43779,0,818995,43779,36379,5,0
2023-01-09 23:38:38.162000,1116,326,920,2429,1283,0,0,0,628117,1481,755484,1468,S,11057,0,215,0,22,11,0,0,40,3354603520,43779,0,818995,43779,36379,5,0
2023-01-09 23:38:38.412147,1143,326,925,2440,1283,0,0,0,630583,1511,761647,1504,S,11058,0,215,0,22,11,0,0,40,3354603520,43808,1,818995,43808,36394,5,0
2023-01-09 23:38:38.659353,1165,326,929,2450,1283,0,0,0,633275,1544,766353,1534,S,11109,0,215,0,23,11,0,0,40,3354787840,43808,0,818995,43817,36394,5,0
2023-01-09 23:38:38.930417,1201,327,935,2454,1283,0,0,0,635425,1570,770879,1562,S,11167,0,215,0,23,11,0,0,40,3354603520,43817,0,818995,43817,36394,5,0
2023-01-09 23:38:39.196293,1216,327,938,2465,1283,0,0,0,637867,1600,775585,1592,S,11167,0,215,0,23,11,0,0,40,3354603520,43817,1,818995,43817,36394,5,0
2023-01-09 23:38:39.451521,1224,327,941,2497,1284,0,0,0,640621,1634,780471,1624,S,11168,0,215,0,23,12,0,0,40,3354603520,43817,1,818995,43817,36394,5,0
2023-01-09 23:38:39.711828,1229,327,943,2542,1284,0,0,0,643177,1665,785405,1656,S,11169,0,215,0,23,12,0,0,40,3354603520,43817,1,818995,43817,36394,5,0
