#com.jokesbangla.book.AOUQNGDTPIABRIWW
#./workspace/com.jokesbangla.book.AOUQNGDTPIABRIWW_0/com.jokesbangla.book.AOUQNGDTPIABRIWW.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:51:48.115476,880,313,884,2004,1223,0,0,0,898136,1209,696321,960,D,9997,0,157,0,11,6,0,0,33,3347161088,39495,1,820306,42987,34456,5,0
2023-01-10 02:51:48.391288,887,314,885,2004,1223,0,0,0,900035,1232,700555,984,S,11014,0,162,0,12,7,0,0,33,3349323776,40451,1,820852,44230,35574,5,0
2023-01-10 02:51:48.652506,892,315,888,2004,1223,0,0,0,901939,1255,704764,1008,S,13485,0,199,0,16,9,0,0,38,3362213888,44465,1,820853,44591,35690,5,0
2023-01-10 02:51:48.892406,898,317,892,2004,1223,0,0,0,904537,1287,709465,1038,S,13520,0,202,0,17,9,0,0,38,3362213888,44591,1,820853,44726,35790,5,0
2023-01-10 02:51:49.163163,908,321,896,2004,1226,0,0,0,907243,1320,714642,1073,S,13554,0,203,0,17,9,0,0,38,3362213888,44726,1,821963,44967,36029,5,0
2023-01-10 02:51:49.439139,918,324,899,2004,1226,0,0,0,909799,1351,719632,1107,S,13643,0,214,0,21,9,0,0,40,3365720064,45134,1,821709,45134,36145,5,0
2023-01-10 02:51:49.702822,924,325,901,2028,1226,0,0,0,912553,1385,724647,1141,S,13643,0,214,0,21,9,0,0,40,3365720064,45134,0,821709,45134,36145,5,0
2023-01-10 02:51:49.968102,927,326,902,2067,1226,0,0,0,915505,1422,729776,1176,S,13663,0,214,0,23,9,0,0,40,3365720064,45134,0,821810,45726,36641,5,0
2023-01-10 02:51:50.228865,949,328,906,2077,1228,0,0,0,917857,1451,734275,1204,S,14470,0,219,0,26,9,0,0,40,3366133760,45726,1,821810,45726,36641,5,0
2023-01-10 02:51:50.490850,967,329,909,2099,1228,0,0,0,920521,1484,739092,1235,S,14680,0,220,0,27,9,0,0,40,3366133760,45792,0,821810,45828,36721,5,0
2023-01-10 02:51:50.751434,997,330,914,2111,1228,0,0,0,923143,1516,744156,1269,S,15167,0,220,0,30,9,0,0,40,3366133760,45828,1,821810,45829,36721,5,0
