#com.joyce.wps.abstract2
#./workspace/com.joyce.wps.abstract2_0/app2395.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 00:49:52.424966,789,172,647,2490,910,0,0,0,157361,686,625183,906,S,6644,0,19,0,56,14,0,0,14,3304349696,29199,0,809194,32022,24313,5,0
2023-01-11 00:49:52.695842,791,172,647,2490,910,0,0,0,157981,693,626570,913,R,6725,0,19,0,57,14,0,0,14,3304480768,29293,0,810603,33643,25859,5,0
2023-01-11 00:49:52.975795,800,174,653,2490,910,0,0,0,161667,730,632671,957,S,7719,0,182,0,63,17,0,0,22,3323494400,34547,0,814220,36512,28735,5,0
2023-01-11 00:49:53.229743,805,176,659,2490,910,0,0,0,164009,759,638858,993,S,8623,0,232,0,70,22,0,0,34,3335045120,36512,0,814234,36512,28735,5,0
2023-01-11 00:49:53.501052,811,180,664,2490,910,0,0,0,166787,793,645016,1027,S,8624,0,232,0,70,22,0,0,34,3335102464,36512,0,814234,36512,28735,5,0
2023-01-11 00:49:53.750109,813,184,666,2490,910,0,0,0,169402,824,649984,1060,S,8624,0,232,0,70,22,0,0,34,3335102464,36512,0,814234,36512,28735,5,0
2023-01-11 00:49:54.004877,818,190,670,2490,910,0,0,0,171958,855,655189,1093,S,8631,0,232,0,70,22,0,0,34,3335102464,36796,0,814234,36796,29010,5,0
2023-01-11 00:49:54.270401,823,194,674,2490,910,0,0,0,174270,883,661557,1125,S,8631,0,232,0,70,22,0,0,34,3335102464,36796,0,814234,36796,29010,5,0
2023-01-11 00:49:54.525960,828,198,678,2490,910,0,0,0,185216,936,670190,1177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 00:49:55.060184,856,200,683,2490,910,0,0,0,189204,984,676362,1226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 00:49:54.796696,851,200,681,2490,910,0,0,0,190354,998,678471,1241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 00:49:55.302557,860,201,686,2490,910,0,0,0,191337,1009,680815,1257,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 00:49:55.579469,872,203,691,2490,910,0,0,0,196750,1075,691279,1330,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
