#com.joyce.wps.rose
#./workspace/com.joyce.wps.rose_0/app2558.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:28:22.604455,796,127,533,2613,829,0,0,0,446130,1938,1456291,2389,S,5172,0,308,0,6,5,0,0,34,3329490944,34707,1,812864,34707,29615,5,0
2023-01-11 23:28:22.875218,801,127,536,2613,829,0,0,0,446688,1945,1458311,2398,S,5172,0,308,0,6,5,0,0,34,3329490944,34707,1,812864,34707,29615,5,0
2023-01-11 23:28:23.130732,805,132,540,2613,829,0,0,0,546669,2097,1484735,2511,S,5173,0,308,0,6,5,0,0,34,3329490944,34707,1,-1,-1,-1,-1,-1
2023-01-11 23:28:23.406441,822,135,546,2613,829,0,0,0,552170,2162,1499898,2575,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 23:28:23.652036,827,136,550,2613,829,0,0,0,554999,2196,1505972,2609,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 23:28:23.912188,839,137,554,2613,829,0,0,0,563436,2296,1539022,2722,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 23:28:24.175653,843,137,556,2613,829,0,0,0,563034,2291,1537611,2715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 23:28:24.435820,854,138,562,2613,829,0,0,0,567349,2343,1547434,2766,S,27818,0,68,0,291,56,0,0,24,3447119872,54763,1,841582,54763,40579,5,0
2023-01-11 23:28:24.703652,859,139,565,2613,829,0,0,0,570708,2384,1557065,2812,S,27818,0,68,0,294,57,0,0,24,3447119872,54763,1,841582,54763,40579,5,0
2023-01-11 23:28:24.962923,866,144,570,2623,829,0,0,0,576526,2456,1576587,2892,S,28755,0,68,0,296,58,0,0,24,3447513088,55001,0,841685,55618,40593,5,0
