#com.karllee.musiclwo
#./workspace/com.karllee.musiclwo_0/com.karllee.musiclwo.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 12:21:22.385051,958,181,585,1315,1095,0,0,0,1314043,1468,735986,985,D,10421,0,469,0,12,10,0,0,42,3380514816,43533,1,831245,52062,40155,5,0
2023-01-11 12:21:22.655636,968,182,590,1315,1095,0,0,0,1317067,1505,742580,1024,S,18143,1524,481,0,22,16,1,1,45,3416117248,54417,1,834599,55228,40848,5,0
2023-01-11 12:21:22.926043,979,184,596,1315,1095,0,0,0,1319491,1534,747259,1054,S,18721,1524,495,0,38,22,1,1,45,3418533888,55305,1,836812,57827,43185,5,0
2023-01-11 12:21:23.167426,988,185,600,1315,1095,0,0,0,1321319,1555,751705,1081,S,21176,1524,500,0,42,25,1,1,45,3427581952,57827,1,836812,57827,43185,5,0
2023-01-11 12:21:23.428499,997,185,606,1315,1100,0,0,0,1323677,1583,756734,1114,S,21176,1524,500,0,42,25,1,1,45,3427581952,57827,1,844037,62306,43555,5,0
2023-01-11 12:21:23.683306,1005,187,612,1318,1101,0,0,0,1326011,1611,761416,1144,S,26264,1524,514,0,53,28,1,1,48,3462496256,63086,1,845847,64449,43745,5,0
2023-01-11 12:21:23.948847,1014,187,616,1318,1101,0,0,0,1328793,1645,766345,1177,S,27562,1524,517,0,75,32,1,1,48,3464597504,64449,1,845945,64516,43808,5,0
2023-01-11 12:21:24.199935,1028,189,622,1318,1101,0,0,0,1330655,1667,770855,1204,S,27776,1524,518,0,80,33,1,1,48,3464990720,64516,1,845945,64519,43808,5,0
2023-01-11 12:21:24.463016,1039,189,626,1319,1101,0,0,0,1332923,1694,775629,1235,S,27780,1524,518,0,84,34,1,1,48,3464990720,64519,0,845945,64519,43808,5,0
2023-01-11 12:21:24.720447,1053,189,631,1320,1101,0,0,0,1335413,1724,781662,1269,S,27780,1524,518,0,90,35,1,1,48,3464990720,63582,0,845673,63041,43805,5,0
2023-01-11 12:21:24.987086,1063,189,635,1324,1101,0,0,0,1337945,1755,786568,1302,S,27810,1524,518,0,91,35,1,1,48,3463876608,63041,0,845673,63041,43805,5,0
2023-01-11 12:21:25.242445,1073,189,640,1328,1101,0,0,0,1340585,1788,791186,1331,S,27811,1524,518,0,91,36,1,1,48,3463876608,63041,0,845673,63041,43805,5,0
2023-01-11 12:21:25.507819,1084,189,645,1330,1101,0,0,0,1343249,1821,795960,1362,S,27881,1524,518,0,91,36,1,1,48,3463876608,61447,0,845673,61447,43804,5,0
2023-01-11 12:21:25.758360,1100,189,650,1331,1101,0,0,0,1345649,1850,800734,1393,S,27890,1524,518,0,92,37,1,1,48,3463876608,61447,1,845673,61447,43804,5,0
