#com.keji.danti697
#./workspace/com.keji.danti697_0/app2707.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 21:19:23.200474,633,151,522,1464,865,0,0,0,1220145,2716,1535135,2596,S,5076,5151,89,1,5,7,5,3,19,1132204032,27414,0,277094,27558,22554,5,0
2023-01-11 21:19:23.471357,645,152,530,1478,870,0,0,0,1230272,2844,1581891,2738,S,5462,5151,93,1,7,8,5,3,21,1134977024,27641,0,277172,28611,22902,5,0
2023-01-11 21:19:23.747442,658,153,534,1485,870,0,0,0,1235659,2908,1593806,2803,S,6716,5151,93,1,9,8,5,3,21,1134936064,27983,0,277084,27983,22902,5,0
2023-01-11 21:19:24.002530,667,154,539,1512,873,0,0,0,1242770,2997,1612335,2896,S,7711,5151,141,1,16,9,5,3,23,1140891648,30317,1,278823,30539,24737,5,0
2023-01-11 21:19:24.252718,673,158,543,1512,874,0,0,0,1244197,3014,1615333,2913,R,7785,5151,141,1,16,9,5,3,23,1141415936,30407,0,278823,30539,24737,5,0
2023-01-11 21:19:24.532266,706,159,549,1517,875,0,0,0,1246867,3046,1622783,2949,S,7952,5151,141,1,17,9,5,3,23,1141051392,30347,0,278577,30347,24538,5,0
2023-01-11 21:19:24.819161,722,168,553,1523,875,0,0,0,1249597,3079,1629007,2987,S,7953,5151,141,1,17,9,5,3,23,1141051392,30347,0,278577,30347,24538,5,0
2023-01-11 21:19:25.068319,731,174,555,1547,875,0,0,0,1253845,3132,1640307,3043,D,7953,5151,141,1,17,9,5,3,23,1141051392,30347,0,278700,30564,24722,5,0
2023-01-11 21:19:25.349925,755,175,561,1561,875,0,0,0,1256803,3168,1646427,3081,S,8129,5151,144,1,18,10,5,3,23,1141555200,30564,1,278700,30597,24754,5,0
2023-01-11 21:19:25.595899,764,175,564,1592,875,0,0,0,1261387,3225,1656363,3140,R,8468,5151,148,1,20,10,5,3,23,1141555200,30980,1,278700,30980,25033,5,0
2023-01-11 21:19:25.858324,788,175,571,1604,876,0,0,0,1263871,3255,1661851,3176,S,8503,5151,149,1,24,10,5,3,23,1141555200,30980,0,278700,31011,25064,5,0
2023-01-11 21:19:26.121537,805,175,575,1622,876,0,0,0,1266913,3293,1668107,3213,S,8554,5151,149,1,25,10,5,3,23,1142079488,31011,0,278828,31011,25064,5,0
2023-01-11 21:19:26.355919,820,179,582,1636,877,0,0,0,1271143,3345,1680126,3276,S,8607,5151,151,1,27,10,5,3,23,1142292480,31304,1,278880,31304,25242,5,0
2023-01-11 21:19:26.621386,824,179,585,1680,877,0,0,0,1273987,3380,1685432,3311,S,8608,5151,151,1,27,10,5,3,23,1142292480,31304,0,278880,31304,25242,5,0
2023-01-11 21:19:26.885144,844,179,589,1696,877,0,0,0,1276693,3413,1691098,3350,S,8616,5151,151,1,30,10,5,3,23,1142292480,31304,1,278880,31304,25242,5,0
2023-01-11 21:19:27.145624,852,179,592,1729,877,0,0,0,1279627,3449,1697019,3389,S,8672,5151,151,1,30,10,5,3,23,1142292480,31304,1,278880,31304,25242,5,0
2023-01-11 21:19:27.411175,856,180,594,1775,877,0,0,0,1282867,3490,1702348,3426,S,8713,5151,151,1,31,10,5,3,23,1142292480,31304,1,278880,31304,25242,5,0
2023-01-11 21:19:27.683318,862,180,595,1816,877,0,0,0,1285909,3528,1707870,3465,S,8715,5151,151,1,32,10,5,3,23,1142292480,31305,0,278880,31322,25257,5,0
2023-01-11 21:19:27.950426,866,180,597,1860,877,0,0,0,1288747,3563,1713117,3501,S,8808,5151,151,1,32,11,5,3,23,1142292480,31322,0,278880,31322,25257,5,0
2023-01-11 21:19:28.205908,871,180,599,1901,877,0,0,0,1291657,3599,1718831,3541,S,8808,5151,151,1,33,11,5,3,23,1142292480,31322,1,278880,31322,25257,5,0
2023-01-11 21:19:28.461119,873,180,601,1946,877,0,0,0,1294459,3633,1724614,3581,S,8920,5151,163,1,35,11,5,3,23,1142505472,31737,1,278932,31754,25615,5,0
2023-01-11 21:19:28.726643,883,180,603,1981,880,0,0,0,1297417,3669,1731611,3623,S,8978,5151,163,1,35,11,5,3,23,1142505472,32089,1,278932,32089,25962,5,0
2023-01-11 21:19:28.983482,900,190,611,1992,880,0,0,0,1302439,3732,1743404,3691,S,8991,5151,163,1,37,11,5,3,23,1142505472,32089,1,278932,32089,25962,5,0
2023-01-11 21:19:29.253827,924,190,614,1997,880,0,0,0,1305955,3775,1751354,3741,S,9013,5151,163,1,38,11,5,3,23,1142505472,32089,1,278932,32089,25962,5,0
2023-01-11 21:19:29.521914,951,191,619,2010,880,0,0,0,1308979,3812,1757886,3781,R,9083,5151,163,1,39,11,5,3,23,1142710272,32199,0,278932,32177,26010,5,0
2023-01-11 21:19:29.781968,979,191,624,2014,880,0,0,0,1311907,3848,1764012,3817,S,9087,5151,163,1,41,11,5,3,23,1142505472,32178,1,278932,32178,26010,5,0
2023-01-11 21:19:30.045495,989,191,628,2038,881,0,0,0,1314553,3880,1769582,3854,S,9089,5151,163,1,41,11,5,3,23,1142505472,32178,1,278984,32178,26010,5,0
2023-01-11 21:19:30.295828,995,192,631,2071,882,0,0,0,1317553,3917,1776739,3896,S,9119,5151,164,1,42,11,5,3,23,1142718464,32178,0,278984,32178,26010,5,0
2023-01-11 21:19:30.551152,1000,192,633,2115,882,0,0,0,1321201,3962,1784870,3947,S,9119,5151,164,1,43,11,5,3,23,1142718464,32178,0,278984,32258,26050,5,0
2023-01-11 21:19:30.831899,1016,193,638,2140,882,0,0,0,1324573,4004,1791941,3994,S,9279,5151,164,1,46,11,5,3,23,1142718464,32258,1,278984,32268,26056,5,0
2023-01-11 21:19:31.095603,1035,193,641,2161,882,0,0,0,1327285,4037,1798896,4033,S,9279,5151,164,1,49,11,5,3,23,1142718464,32268,1,279034,32268,26056,5,0
