#com.kingsoft.internetbooster
#./workspace/com.kingsoft.internetbooster_0/com.kingsoft.internetbooster.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:21:18.408843,865,311,850,1983,1179,0,0,0,429426,810,692980,840,S,10266,0,1,0,14,2,0,0,15,3320008704,34453,1,810549,34453,23112,5,0
2023-01-10 05:21:18.674507,872,312,854,2013,1180,0,0,0,432804,852,699879,883,S,10279,0,1,0,14,2,0,0,15,3320008704,34453,1,810549,34453,23112,5,0
2023-01-10 05:21:18.929855,874,315,855,2049,1180,0,0,0,435648,887,705218,919,S,10279,0,1,0,14,2,0,0,15,3320008704,34453,1,810549,34453,23112,5,0
2023-01-10 05:21:19.200525,877,316,857,2098,1180,0,0,0,438270,919,710341,954,S,10281,0,1,0,14,2,0,0,15,3320008704,34454,1,810549,34454,23113,5,0
2023-01-10 05:21:19.466003,880,318,861,2128,1181,0,0,0,441090,954,715504,990,D,10354,0,1,0,14,3,0,0,15,3320008704,35009,0,810550,35126,23736,5,0
2023-01-10 05:21:19.721443,887,319,864,2164,1182,0,0,0,444042,991,720472,1023,S,10379,0,1,0,14,3,0,0,15,3320012800,35126,0,810550,35126,23736,5,0
2023-01-10 05:21:19.992061,900,326,869,2190,1183,0,0,0,447084,1029,725571,1057,S,10918,0,1,0,15,4,0,0,15,3322109952,35004,1,812598,37114,23936,5,0
2023-01-10 05:21:20.255730,923,326,873,2194,1183,0,0,0,449328,1056,730246,1087,S,13420,0,1,0,24,4,0,0,15,3330514944,37251,1,813954,38468,25008,5,0
2023-01-10 05:21:20.528526,951,327,877,2201,1184,0,0,0,451614,1084,734832,1116,S,14762,0,2,0,38,5,0,0,15,3335655424,38864,0,814369,38864,25404,5,0
2023-01-10 05:21:20.773479,974,327,882,2209,1184,0,0,0,454212,1116,739556,1146,S,14783,0,2,0,40,5,0,0,16,3333373952,38081,0,813812,38081,24621,5,0
