#com.kirbers.lowlight.demo
#./workspace/com.kirbers.lowlight.demo_0/com.kirbers.lowlight.demo.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:43:03.323736,883,329,847,1694,1308,0,0,0,359777,715,699775,781,S,13399,0,6,0,58,7,0,0,17,3331948544,38648,0,813464,38648,26472,5,0
2023-01-10 04:43:03.589382,891,329,848,1694,1308,0,0,0,361903,741,704139,808,S,13399,0,6,0,58,7,0,0,17,3331948544,38648,0,813464,38727,26487,5,0
2023-01-10 04:43:03.847453,896,331,852,1708,1308,0,0,0,364639,774,709550,846,S,13422,0,7,0,59,7,0,0,17,3331948544,38604,0,813468,38718,26541,5,0
2023-01-10 04:43:04.098443,903,332,854,1724,1308,0,0,0,367129,804,714703,880,S,14597,0,7,0,65,7,0,0,17,3332882432,39604,1,813692,39555,27371,5,0
2023-01-10 04:43:04.348744,915,334,858,1742,1309,0,0,0,369793,837,719621,913,S,14602,0,7,0,67,7,0,0,17,3332882432,39555,1,813692,39555,27371,5,0
2023-01-10 04:43:04.609590,920,334,860,1770,1309,0,0,0,372745,874,724809,949,S,14622,0,7,0,67,7,0,0,17,3332882432,39298,1,813692,39298,27371,5,0
2023-01-10 04:43:04.880377,928,337,862,1793,1309,0,0,0,376259,918,731466,989,S,14628,0,8,0,74,8,0,0,17,3332882432,38784,0,813692,38784,27371,5,0
2023-01-10 04:43:05.144696,936,337,863,1794,1309,0,0,0,378163,941,734603,1014,S,14629,0,8,0,79,8,0,0,17,3332882432,38784,0,813692,38784,27371,5,0
2023-01-10 04:43:05.408592,942,337,866,1812,1309,0,0,0,380761,973,739677,1049,S,14634,0,8,0,79,8,0,0,17,3332882432,38784,0,813692,38784,27371,5,0
2023-01-10 04:43:05.668902,946,338,868,1842,1309,0,0,0,383713,1010,744907,1086,S,14658,0,8,0,80,8,0,0,17,3332882432,38784,0,813692,38784,27371,5,0
2023-01-10 04:43:05.944880,953,338,871,1865,1309,0,0,0,386693,1047,749917,1120,S,14701,0,8,0,91,10,0,0,17,3332882432,38785,0,811982,37275,25820,5,0
2023-01-10 04:43:06.175788,963,338,873,1867,1309,0,0,0,388441,1068,753877,1142,S,14703,0,8,0,94,10,0,0,17,3328024576,37595,1,812189,37464,26017,5,0
2023-01-10 04:43:06.451366,994,339,879,1869,1310,0,0,0,391649,1107,760613,1181,S,14990,0,8,0,95,12,0,0,17,3326726144,37464,0,812189,37464,26017,5,0
2023-01-10 04:43:06.721805,1016,339,882,1871,1310,0,0,0,393553,1130,763685,1205,S,14994,0,9,0,95,12,0,0,17,3326726144,37464,1,812189,37464,26017,5,0
2023-01-10 04:43:06.967349,1025,339,885,1899,1310,0,0,0,396019,1160,768475,1236,S,15033,0,9,0,96,12,0,0,17,3326857216,37464,1,812483,37799,26230,5,0
2023-01-10 04:43:07.232846,1044,340,891,1922,1310,0,0,0,398527,1191,773219,1267,S,17658,0,11,0,100,14,0,0,17,3335254016,38886,1,816439,41128,28430,5,0
2023-01-10 04:43:07.483161,1083,340,894,1926,1310,0,0,0,401810,1231,779819,1306,R,19928,0,11,0,106,14,0,0,17,3344134144,41125,1,815819,40788,27887,5,0
2023-01-10 04:43:07.743717,1105,340,898,1927,1310,0,0,0,402863,1243,781932,1319,S,19940,0,11,0,106,14,0,0,17,3341586432,40584,1,815821,40972,27887,5,0
2023-01-10 04:43:08.007030,1124,341,902,1928,1310,0,0,0,405571,1276,787273,1355,S,20443,0,11,0,111,16,0,0,17,3341602816,41060,1,816236,41758,28372,5,0
2023-01-10 04:43:08.266134,1156,341,908,1929,1310,0,0,0,408155,1307,791911,1384,S,21289,0,11,0,116,16,0,0,17,3343302656,41758,1,814072,38202,26251,5,0
2023-01-10 04:43:08.525948,1185,341,912,1930,1310,0,0,0,410915,1340,798941,1428,S,21292,0,11,0,116,16,0,0,17,3334438912,38202,1,814279,38390,26447,5,0
2023-01-10 04:43:08.786279,1215,342,916,1930,1310,0,0,0,412729,1362,801661,1447,S,21500,0,11,0,117,17,0,0,17,3335286784,38390,1,814279,38390,26447,5,0
2023-01-10 04:43:09.056600,1232,346,922,1939,1310,0,0,0,415129,1391,806413,1477,S,21510,0,11,0,118,17,0,0,17,3335286784,38390,0,814279,38390,26447,5,0
2023-01-10 04:43:09.307116,1244,347,925,1974,1311,0,0,0,417779,1423,812225,1517,S,21512,0,11,0,118,17,0,0,17,3335286784,38392,1,814279,38392,26456,5,0
2023-01-10 04:43:09.562354,1254,351,929,1990,1311,0,0,0,420401,1455,818387,1560,S,21516,0,11,0,118,17,0,0,17,3335286784,38392,1,814279,38392,26456,5,0
2023-01-10 04:43:09.827997,1280,357,936,1996,1311,0,0,0,422579,1481,824367,1595,S,21529,0,12,0,120,17,0,0,17,3335286784,38392,0,814279,38392,26456,5,0
2023-01-10 04:43:10.113426,1309,357,941,2002,1312,0,0,0,425526,1517,829855,1631,S,21531,0,12,0,120,17,0,0,17,3335286784,38392,1,814279,36737,26456,5,0
2023-01-10 04:43:10.360039,1337,357,944,2004,1312,0,0,0,427652,1543,834559,1661,S,21536,0,12,0,121,17,0,0,17,3335286784,36737,0,814279,36737,26456,5,0
2023-01-10 04:43:10.622672,1365,357,949,2011,1312,0,0,0,430236,1574,839611,1695,S,21538,0,12,0,121,18,0,0,17,3335286784,36737,1,814279,36737,26456,5,0
2023-01-10 04:43:10.891386,1379,358,953,2031,1312,0,0,0,433188,1611,845883,1732,R,21639,0,12,0,121,19,0,0,17,3335286784,36890,1,816443,40714,28617,5,0
2023-01-10 04:43:11.154882,1406,358,957,2046,1312,0,0,0,436414,1651,851068,1768,S,25591,0,12,0,125,22,0,0,17,3344150528,40779,0,816443,40861,28690,5,0
