#com.km.launcher
#./workspace/com.km.launcher_6/app2874.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 04:58:48.390597,1242,305,928,1196,950,0,0,0,3652016,3006,746710,1116,S,81228,0,218,0,224,102,0,0,43,3610107904,75231,1,881374,75231,39985,5,0
2023-01-11 04:58:48.921924,1254,305,930,1196,950,0,0,0,3655749,3051,755374,1159,S,81230,0,218,0,224,102,0,0,43,3610107904,75231,1,881374,75231,39985,5,0
2023-01-11 04:58:49.187554,1266,306,933,1196,950,0,0,0,3657776,3074,757974,1179,S,81230,0,218,0,224,102,0,0,43,3610107904,75231,1,881374,75231,39985,5,0
2023-01-11 04:58:49.448535,1280,308,937,1196,950,0,0,0,3657932,3076,759007,1181,S,81230,0,218,0,224,102,0,0,43,3610107904,75231,1,881374,75231,39985,5,0
2023-01-11 04:58:48.661438,1257,306,930,1196,950,0,0,0,3657932,3076,759007,1181,S,81230,0,218,0,224,102,0,0,43,3610107904,75231,1,881374,75231,39985,5,0
2023-01-11 04:58:49.974685,1286,309,939,1196,950,0,0,0,3660787,3109,765027,1213,S,81230,0,218,0,224,102,0,0,43,3610107904,75231,1,881374,75231,39985,5,0
2023-01-11 04:58:49.731139,1282,308,937,1196,950,0,0,0,3661525,3118,766860,1220,S,81230,0,218,0,224,102,0,0,43,3610107904,75231,1,881374,75231,39985,5,0
2023-01-11 04:58:50.241247,1290,310,943,1196,950,0,0,0,3664106,3149,771958,1258,S,81230,0,218,0,224,102,0,0,43,3610107904,75231,1,881374,75231,39985,5,0
2023-01-11 04:58:50.487460,1300,311,951,1196,950,0,0,0,3666431,3176,777825,1288,S,81230,0,218,0,224,102,0,0,43,3610107904,75231,1,881374,75226,39980,5,0
2023-01-11 04:58:50.737808,1301,312,952,1196,950,0,0,0,3668618,3203,782500,1318,S,81230,0,218,0,224,102,0,0,43,3610107904,75226,1,881374,75226,39980,5,0
2023-01-11 04:58:51.003336,1309,313,956,1196,950,0,0,0,3670862,3230,785935,1347,S,81230,0,218,0,224,102,0,0,43,3610107904,75226,1,881374,75226,39980,5,0
2023-01-11 04:58:51.263844,1315,313,962,1196,950,0,0,0,3675628,3288,797347,1413,S,81416,0,218,0,224,102,0,0,43,3610107904,75357,1,881502,75229,39981,5,0
2023-01-11 04:58:51.529214,1327,314,964,1196,950,0,0,0,3676030,3293,798734,1420,S,81548,0,219,0,225,102,0,0,43,3610632192,75307,1,881502,75229,39981,5,0
2023-01-11 04:58:51.790940,1331,314,967,1196,950,0,0,0,3678710,3325,803974,1456,S,81548,0,219,0,225,102,0,0,43,3610632192,75229,1,881502,75229,39981,5,0
2023-01-11 04:58:52.058886,1336,315,972,1196,950,0,0,0,3680864,3351,807883,1487,S,81548,0,219,0,225,102,0,0,43,3610632192,75229,1,881502,75229,39981,5,0
2023-01-11 04:58:52.333866,1343,316,976,1196,950,0,0,0,3682792,3374,812911,1517,S,81548,0,219,0,225,102,0,0,43,3610632192,75229,1,881502,75339,40044,5,0
2023-01-11 04:58:52.599639,1348,318,981,1196,950,0,0,0,3685324,3405,818270,1552,S,81555,0,219,0,225,102,0,0,43,3610632192,75339,1,881502,75339,40044,5,0
2023-01-11 04:58:52.864751,1355,320,986,1196,950,0,0,0,3687790,3435,824342,1587,S,81555,0,219,0,225,102,0,0,43,3610632192,75339,1,881502,75339,40044,5,0
2023-01-11 04:58:53.139451,1360,322,990,1196,950,0,0,0,3690454,3468,829178,1619,S,81555,0,219,0,225,102,0,0,43,3610632192,75339,1,881502,75339,40044,5,0
2023-01-11 04:58:53.404827,1366,323,994,1196,950,0,0,0,3693034,3499,833828,1648,S,81555,0,219,0,225,102,0,0,43,3610632192,75339,1,881502,75339,40044,5,0
2023-01-11 04:58:53.669079,1369,326,997,1196,950,0,0,0,3695816,3533,839134,1686,S,81555,0,219,0,225,102,0,0,43,3610632192,75339,1,881502,75339,40044,5,0
2023-01-11 04:58:53.934988,1376,329,1001,1196,950,0,0,0,3698504,3566,845465,1722,S,81556,0,219,0,225,102,0,0,43,3610632192,75339,1,881502,75339,40044,5,0
2023-01-11 04:58:54.214527,1379,331,1005,1196,950,0,0,0,3700658,3592,851391,1760,S,81556,0,219,0,225,102,0,0,43,3610632192,75339,1,881502,75336,40041,5,0
2023-01-11 04:58:54.461105,1389,333,1008,1196,950,0,0,0,3702614,3615,854840,1788,S,81556,0,219,0,226,102,0,0,43,3610632192,75336,1,881502,75336,40041,5,0
2023-01-11 04:58:54.717177,1391,337,1011,1196,950,0,0,0,3704830,3642,859890,1820,S,81556,0,219,0,226,102,0,0,43,3610632192,75336,1,881502,75336,40041,5,0
2023-01-11 04:58:54.983406,1392,341,1014,1196,952,0,0,0,3707230,3671,865839,1857,S,81556,0,219,0,226,102,0,0,43,3610632192,75336,1,881502,75336,40041,5,0
2023-01-11 04:58:55.238537,1394,344,1020,1196,953,0,0,0,3709672,3701,871185,1891,S,81556,0,219,0,226,102,0,0,43,3610632192,75336,1,881502,75336,40041,5,0
2023-01-11 04:58:55.485401,1398,349,1025,1196,953,0,0,0,3712586,3737,876113,1924,S,81556,0,219,0,226,102,0,0,43,3610632192,75336,1,881768,75341,40042,5,0
2023-01-11 04:58:55.747783,1407,352,1030,1196,953,0,0,0,3716087,3780,884665,1971,S,81565,0,219,0,227,103,0,0,44,3611721728,75341,1,881768,75341,40042,5,0
2023-01-11 04:58:56.008096,1410,353,1033,1196,953,0,0,0,3717452,3796,888218,1990,S,81565,0,219,0,227,103,0,0,44,3611721728,75341,1,881768,75341,40042,5,0
2023-01-11 04:58:56.276188,1412,357,1037,1196,953,0,0,0,3719044,3815,891023,2011,S,81565,0,219,0,227,103,0,0,44,3611721728,75341,1,881768,75341,40042,5,0
2023-01-11 04:58:56.539188,1416,362,1041,1196,953,0,0,0,3721576,3846,896017,2045,S,81565,0,219,0,227,103,0,0,44,3611721728,75341,1,881768,75341,40042,5,0
2023-01-11 04:58:56.796797,1419,366,1044,1196,953,0,0,0,3723952,3875,900633,2074,S,81565,0,219,0,227,103,0,0,44,3611721728,75341,1,881768,75341,40042,5,0
2023-01-11 04:58:57.067365,1423,372,1048,1196,953,0,0,0,3727551,3919,907127,2112,S,81571,0,219,0,227,103,0,0,44,3611721728,75341,1,881768,75341,40042,5,0
2023-01-11 04:58:57.338109,1434,374,1052,1196,953,0,0,0,3730948,3960,916651,2158,S,81571,0,219,0,227,103,0,0,44,3611721728,75341,1,881768,75341,40042,5,0
2023-01-11 04:58:57.590456,1438,374,1055,1196,953,0,0,0,3733144,3987,919689,2182,S,81571,0,219,0,227,103,0,0,44,3611721728,75341,1,881768,75341,40042,5,0
2023-01-11 04:58:58.106244,1471,375,1067,1196,953,0,0,0,3737286,4036,927966,2231,S,81571,0,219,0,227,103,0,0,44,3611721728,75341,1,881768,75341,40042,5,0
2023-01-11 04:58:57.855847,1469,375,1064,1196,953,0,0,0,3735721,4017,924360,2212,S,81571,0,219,0,227,103,0,0,44,3611721728,75341,1,881768,75341,40042,5,0
2023-01-11 04:58:58.371962,1502,378,1075,1196,953,0,0,0,3739919,4068,934721,2268,S,81584,0,219,0,228,103,0,0,44,3611721728,75341,1,880946,74967,40042,5,0
2023-01-11 04:58:58.627192,1556,381,1084,1196,953,0,0,0,3743536,4110,940371,2308,S,81584,0,219,0,228,103,0,0,44,3611721728,75341,1,881715,74961,40042,5,0
2023-01-11 04:58:58.887948,1587,383,1091,1196,953,0,0,0,3744906,4126,942316,2322,S,81584,0,219,0,228,103,0,0,44,3611721728,75341,1,881715,74945,40058,5,0
2023-01-11 04:58:59.148305,1585,382,1090,1196,953,0,0,0,3747312,4155,949190,2350,S,81584,0,219,0,228,103,0,0,44,3611721728,75341,1,878861,74018,39474,5,0
2023-01-11 04:58:59.417470,1590,383,1094,1198,954,0,0,0,3753418,4226,964610,2409,S,81637,0,219,0,238,104,0,0,41,3611504640,74961,1,878861,74018,39474,5,0
2023-01-11 04:59:00.720066,1857,395,1131,1198,954,0,0,0,3757973,4280,973907,2469,S,82002,0,219,0,252,108,0,0,41,3611504640,75092,1,878861,74018,39474,5,0
2023-01-11 04:59:00.464578,1821,393,1127,1198,954,0,0,0,3760319,4309,980784,2503,S,81936,0,219,0,251,108,0,0,41,3611504640,75027,1,878861,74018,39474,5,0
2023-01-11 04:59:00.980632,1865,395,1133,1198,954,0,0,0,3758375,4285,975228,2475,S,81981,0,219,0,251,108,0,0,41,3611504640,75092,1,878861,74018,39474,5,0
2023-01-11 04:58:59.677765,1795,392,1124,1198,954,0,0,0,3759893,4304,979523,2498,S,81936,0,219,0,251,108,0,0,41,3611504640,75027,1,878861,74018,39474,5,0
2023-01-11 04:58:59.938221,1838,394,1128,1198,954,0,0,0,3762859,4337,983498,2524,S,82002,0,219,0,252,108,0,0,41,3611504640,75092,1,878861,74018,39474,5,0
2023-01-11 04:59:01.256661,1888,396,1136,1198,954,0,0,0,3763795,4349,986076,2540,S,82038,0,219,0,252,108,0,0,41,3599814656,74018,1,878861,74018,39474,5,0
2023-01-11 04:59:00.198829,1847,394,1131,1198,954,0,0,0,3762760,4336,983498,2524,S,82002,0,219,0,252,108,0,0,41,3611504640,75092,1,878861,74018,39474,5,0
2023-01-11 04:59:02.043197,1940,400,1146,1198,954,0,0,0,3764657,4359,987752,2550,S,82038,0,219,0,252,108,0,0,41,3599814656,74018,1,878861,74018,39474,5,0
2023-01-11 04:59:01.511887,1921,399,1141,1198,954,0,0,0,3765903,4373,990124,2559,S,82038,0,219,0,252,108,0,0,41,3599814656,74018,1,878861,74018,39474,5,0
2023-01-11 04:59:01.782629,1939,400,1146,1198,954,0,0,0,3768168,4400,995260,2592,S,82039,0,219,0,252,108,0,0,41,3599814656,74018,1,878861,74018,39474,5,0
2023-01-11 04:59:02.293901,1941,402,1149,1198,954,0,0,0,3771060,4435,999881,2631,S,82039,0,219,0,252,108,0,0,41,3599814656,74018,1,878861,74018,39474,5,0
2023-01-11 04:59:02.562860,1947,406,1157,1198,954,0,0,0,3772162,4449,1003676,2650,S,82039,0,219,0,252,108,0,0,41,3599814656,74018,1,878861,74018,39474,5,0
2023-01-11 04:59:02.829606,1945,405,1153,1198,954,0,0,0,3772810,4457,1005310,2659,S,82039,0,219,0,252,108,0,0,41,3599814656,74018,1,878861,74018,39474,5,0
2023-01-11 04:59:03.078322,1966,411,1168,1198,954,0,0,0,3774313,4475,1007724,2678,S,82039,0,219,0,252,108,0,0,41,3599814656,74018,1,878861,74018,39474,5,0
2023-01-11 04:59:03.336108,1971,413,1175,1198,954,0,0,0,3776799,4505,1011713,2712,S,82039,0,219,0,252,108,0,0,41,3599814656,74018,1,878858,73969,39471,5,0
2023-01-11 04:59:03.581274,1997,426,1188,1198,954,0,0,0,3781451,4561,1020070,2759,R,82054,0,219,0,254,108,0,0,41,3599802368,73969,1,880992,73997,39488,5,0
2023-01-11 04:59:04.102886,2093,428,1202,1198,954,0,0,0,3789868,4659,1037250,2853,R,82077,0,219,0,262,111,0,0,43,3605131264,73940,1,880992,59436,39535,5,0
2023-01-11 04:59:03.837669,2084,428,1201,1198,954,0,0,0,3790330,4664,1037484,2856,S,82181,0,220,0,268,112,0,0,43,3608543232,74013,1,880992,59421,39535,5,0
2023-01-11 04:59:04.363319,2116,428,1205,1198,954,0,0,0,3796711,4737,1053317,2922,S,82210,0,220,0,276,115,0,0,43,3608543232,74008,0,880992,59421,39535,5,0
2023-01-11 04:59:04.629017,2112,428,1204,1198,954,0,0,0,3806593,4853,1072240,3025,R,82234,0,220,0,283,116,0,0,43,3611693056,64175,1,880992,59421,39535,5,0
2023-01-11 04:59:05.671282,2268,431,1223,1198,954,0,0,0,3806593,4853,1072240,3025,S,82249,0,220,0,285,117,0,0,43,3611693056,59471,1,880992,59421,39535,5,0
2023-01-11 04:59:05.139949,2201,431,1215,1198,954,0,0,0,3806593,4853,1072240,3025,R,82235,0,220,0,283,117,0,0,43,3611693056,59473,1,880992,59421,39535,5,0
2023-01-11 04:59:05.405687,2265,431,1222,1198,954,0,0,0,3808393,4874,1077923,3046,S,82281,0,220,0,288,119,0,0,43,3605393408,59421,1,880992,59421,39535,5,0
2023-01-11 04:59:04.884526,2273,431,1224,1198,954,0,0,0,3812874,4926,1089300,3098,S,82287,0,220,0,292,119,0,0,43,3608543232,59421,1,881258,59423,39535,5,0
2023-01-11 04:59:06.713687,2458,434,1254,1198,954,0,0,0,3817095,4975,1096896,3139,S,82340,0,220,0,300,122,0,0,43,3608543232,59436,1,881258,59423,39535,5,0
2023-01-11 04:59:06.197476,2474,434,1259,1198,954,0,0,0,3818348,4990,1100122,3154,S,82341,0,220,0,304,124,0,0,43,3608543232,59421,1,881258,59423,39535,5,0
2023-01-11 04:59:07.234763,2471,434,1257,1198,954,0,0,0,3818164,4988,1100122,3154,R,82341,0,220,0,304,124,0,0,43,3608543232,59421,1,881258,59423,39535,5,0
2023-01-11 04:59:06.463503,2373,433,1242,1198,954,0,0,0,3820208,5011,1105746,3174,S,82340,0,220,0,302,123,0,0,43,3608543232,59421,1,881258,59423,39535,5,0
2023-01-11 04:59:05.926840,2479,434,1260,1198,954,0,0,0,3821074,5021,1108816,3187,S,82341,0,220,0,306,124,0,0,43,3608543232,59421,1,881258,59423,39535,5,0
2023-01-11 04:59:06.974298,2471,434,1257,1198,954,0,0,0,3822015,5032,1110407,3196,S,82341,0,220,0,306,124,0,0,43,3608543232,59421,1,881258,59423,39535,5,0
