#com.kms
#./workspace/com.kms_0/app697.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 13:36:49.681997,773,127,527,879,952,0,0,0,12579295,9422,775455,1616,S,1750,0,36,0,1,1,0,0,13,1119584256,18594,1,273336,18594,14791,5,0
2023-01-11 13:36:49.950188,779,132,531,879,952,0,0,0,12586868,9468,782153,1657,S,1750,0,36,0,1,1,0,0,13,1119584256,18594,1,273336,18594,14791,5,0
2023-01-11 13:36:50.216102,787,138,537,879,952,0,0,0,12589560,9501,786841,1687,S,1754,0,36,0,1,1,0,0,13,1119584256,18594,1,273336,18594,14791,5,0
2023-01-11 13:36:50.476117,797,141,540,879,952,0,0,0,12592701,9539,793653,1726,S,1754,0,36,0,1,1,0,0,13,1119584256,18594,1,273336,18594,14791,5,0
2023-01-11 13:36:50.731116,799,143,542,879,952,0,0,0,12593546,9549,795311,1736,S,1754,0,36,0,1,1,0,0,13,1119584256,18594,1,273336,18594,14791,5,0
2023-01-11 13:36:50.996789,807,147,546,879,952,0,0,0,12596438,9584,800581,1772,S,1754,0,36,0,1,1,0,0,13,1119584256,18594,1,-1,-1,-1,-1,-1
2023-01-11 13:36:51.271928,818,149,549,881,952,0,0,0,12602325,9653,812865,1840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 13:36:51.534387,827,152,556,881,952,0,0,0,12607559,9716,823701,1906,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 13:36:51.799811,839,154,560,881,952,0,0,0,12611171,9759,830080,1949,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 13:36:52.048323,841,155,562,881,952,0,0,0,12612757,9778,832817,1971,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 13:36:52.330415,846,160,569,881,952,0,0,0,12616952,9828,841942,2022,S,22733,0,631,0,82,47,0,0,54,3530948608,55304,0,860863,55717,43729,5,0
2023-01-11 13:36:52.601179,850,169,575,881,952,0,0,0,12625975,9919,860679,2117,S,23954,0,631,0,88,49,0,0,55,3526549504,56745,0,860661,54584,44093,5,0
2023-01-11 13:36:52.841331,861,173,580,881,952,0,0,0,12629437,9961,866925,2162,S,24232,0,632,0,89,50,0,0,55,3525251072,54584,0,860670,54738,44132,5,0
2023-01-11 13:36:53.122125,868,174,583,881,952,0,0,0,12632761,10000,872807,2195,S,24342,0,632,0,90,50,0,0,55,3525304320,54738,0,860712,54890,44174,5,0
