#com.kreuzwort.meister
#./workspace/com.kreuzwort.meister_0/com.kreuzwort.meister.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 00:22:50.187974,953,313,931,1607,1311,0,0,0,759044,967,651253,760,S,7709,0,196,0,10,6,0,0,37,3342458880,39042,0,816030,39042,32423,5,0
2023-01-10 00:22:50.459035,959,313,934,1607,1311,0,0,0,761448,996,655549,785,S,7728,0,196,0,11,6,0,0,37,3342458880,39042,0,816030,39092,32443,5,0
2023-01-10 00:22:50.726725,965,315,938,1607,1311,0,0,0,763598,1022,661419,812,S,7755,0,202,0,11,7,0,0,37,3343511552,39092,1,817664,39544,32573,5,0
2023-01-10 00:22:50.999257,973,319,943,1609,1311,0,0,0,765908,1050,665961,840,S,8434,0,206,0,14,8,0,0,43,3353444352,39746,0,818472,39984,33044,5,0
2023-01-10 00:22:51.253245,978,321,946,1611,1312,0,0,0,768152,1077,670822,871,S,9322,0,210,0,16,9,0,0,43,3358363648,41596,0,819913,41596,34600,5,0
2023-01-10 00:22:51.518333,984,323,960,1621,1320,0,0,0,771236,1116,675986,908,S,9425,0,211,0,18,9,0,0,44,3360604160,41503,0,821741,41503,34504,5,0
2023-01-10 00:22:51.781467,997,323,967,1628,1324,0,0,0,774477,1155,682715,949,S,9801,0,216,0,21,10,0,0,44,3366375424,41932,0,822718,42807,35753,5,0
2023-01-10 00:22:52.035915,1008,324,970,1628,1324,0,0,0,776901,1184,687441,979,S,10818,0,216,0,22,11,0,0,44,3369852928,42807,0,822718,42807,35753,5,0
2023-01-10 00:22:52.302372,1012,324,971,1629,1324,0,0,0,778082,1198,689841,995,R,10819,0,216,0,25,11,0,0,44,3369852928,42807,1,822718,42859,35800,5,0
2023-01-10 00:22:52.572544,1024,324,975,1631,1324,0,0,0,781767,1243,697037,1038,S,11166,0,216,0,31,12,0,0,44,3369852928,42860,1,822444,42878,35831,5,0
2023-01-10 00:22:52.828038,1030,324,976,1632,1324,0,0,0,782200,1248,698424,1045,S,11166,0,216,0,32,12,0,0,44,3369852928,42860,0,822444,42878,35831,5,0
2023-01-10 00:22:53.102562,1042,325,979,1634,1324,0,0,0,784842,1279,703590,1081,S,11532,0,217,0,35,12,0,0,43,3368730624,42803,0,822444,42835,35862,5,0
2023-01-10 00:22:53.345600,1054,325,982,1637,1324,0,0,0,787218,1308,708071,1108,S,11755,0,217,0,38,13,0,0,43,3368730624,42835,0,822476,42835,35862,5,0
2023-01-10 00:22:53.614335,1065,325,985,1639,1324,0,0,0,789174,1331,712328,1132,R,11835,0,218,0,39,14,0,0,43,3368861696,42851,0,822476,42851,35878,5,0
2023-01-10 00:22:53.869527,1071,325,987,1645,1325,0,0,0,791598,1360,718595,1167,S,11838,0,218,0,42,14,0,0,43,3368861696,42851,1,822476,42850,35879,5,0
2023-01-10 00:22:54.120751,1087,326,989,1646,1325,0,0,0,793214,1379,721487,1189,R,11882,0,218,0,45,15,0,0,43,3368861696,42850,1,822476,42850,35879,5,0
2023-01-10 00:22:54.416140,1099,326,993,1651,1326,0,0,0,795170,1402,725852,1215,R,11964,0,218,0,47,15,0,0,43,3368861696,42851,0,822476,42832,35879,5,0
2023-01-10 00:22:54.681271,1108,327,995,1652,1326,0,0,0,797480,1430,730622,1246,S,12075,0,218,0,48,16,0,0,43,3368861696,42833,1,822476,42833,35879,5,0
2023-01-10 00:22:54.954682,1119,327,999,1673,1328,0,0,0,799946,1460,735497,1279,R,12217,0,218,0,51,17,0,0,43,3368861696,42863,1,822476,42863,35909,5,0
2023-01-10 00:22:55.203436,1128,327,1002,1675,1328,0,0,0,802388,1490,739980,1306,S,12237,0,218,0,53,17,0,0,43,3368861696,42863,0,822476,42865,35909,5,0
2023-01-10 00:22:55.484223,1141,327,1004,1680,1328,0,0,0,804698,1518,745001,1341,R,12297,0,218,0,56,17,0,0,43,3368861696,42865,1,822476,42844,35909,5,0
2023-01-10 00:22:55.723645,1152,328,1006,1682,1328,0,0,0,806810,1543,749547,1369,R,12386,0,218,0,60,18,0,0,43,3368861696,42844,1,822476,42844,35909,5,0
2023-01-10 00:22:55.989358,1166,329,1011,1691,1328,0,0,0,810036,1583,757196,1414,S,12550,0,218,0,65,19,0,0,43,3368861696,42845,0,822476,42846,35909,5,0
2023-01-10 00:22:56.265506,1177,329,1013,1693,1328,0,0,0,812034,1607,760817,1441,S,12693,0,218,0,66,20,0,0,43,3368861696,42846,1,822476,42846,35909,5,0
2023-01-10 00:22:56.513526,1186,329,1016,1703,1328,0,0,0,814944,1643,768058,1475,S,12693,0,218,0,68,21,0,0,43,3368861696,42846,1,822476,42846,35909,5,0
2023-01-10 00:22:56.774245,1199,329,1019,1704,1328,0,0,0,816404,1660,770905,1497,S,12696,0,218,0,70,21,0,0,43,3368861696,42846,1,822476,42847,35909,5,0
2023-01-10 00:22:57.036214,1213,329,1022,1709,1328,0,0,0,818270,1682,775250,1523,S,12723,0,218,0,74,21,0,0,43,3368861696,42847,1,822476,42838,35909,5,0
2023-01-10 00:22:57.301536,1225,329,1025,1712,1328,0,0,0,820424,1708,779907,1553,S,12753,0,218,0,76,22,0,0,43,3368861696,42838,1,822476,42838,35909,5,0
2023-01-10 00:22:57.546806,1233,329,1028,1719,1328,0,0,0,822723,1735,784687,1584,R,12799,0,218,0,79,23,0,0,43,3368861696,42838,1,822476,42882,35935,5,0
2023-01-10 00:22:57.822081,1244,330,1031,1721,1328,0,0,0,825321,1767,790558,1616,R,12822,0,218,0,83,24,0,0,43,3368861696,42882,0,822476,42882,35935,5,0
