#com.kylaboratory.oneclicktabeta_again
#./workspace/com.kylaboratory.oneclicktabeta_again_0/com.kylaboratory.oneclicktabeta_again.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 03:26:16.271693,871,305,895,1647,1276,0,0,0,309696,646,658857,742,S,16234,1499,170,23,33,7,1,0,40,3373862912,49329,0,831349,56445,40035,5,0
2023-01-09 03:26:16.542308,881,306,899,1647,1276,0,0,0,311916,673,663753,770,S,21974,1499,221,23,45,10,1,0,45,3402248192,55840,0,830627,55840,39365,5,0
2023-01-09 03:26:16.803327,892,306,903,1647,1276,0,0,0,314546,705,670723,809,S,22743,1499,223,23,46,11,1,0,45,3405201408,56545,0,831349,56545,40147,5,0
2023-01-09 03:26:17.093274,895,309,908,1647,1278,0,0,0,316658,730,675337,838,S,22790,1499,231,23,46,11,1,0,45,3406254080,56545,0,832204,56917,40449,5,0
2023-01-09 03:26:17.341521,902,311,911,1666,1285,0,0,0,318992,758,681793,877,S,22849,1499,236,23,46,13,1,0,47,3408707584,56917,1,832204,56917,40449,5,0
2023-01-09 03:26:17.588625,912,311,913,1679,1285,0,0,0,321326,786,686629,909,S,22849,1499,236,23,46,13,1,0,47,3408707584,56917,0,832204,56917,40449,5,0
2023-01-09 03:26:17.854138,915,311,915,1723,1287,0,0,0,324080,820,691555,942,S,22891,1499,237,23,47,13,1,0,47,3408707584,57077,0,832204,57077,40573,5,0
2023-01-09 03:26:18.114574,920,313,918,1752,1288,0,0,0,326768,853,697806,979,S,22897,1499,237,23,47,13,1,0,47,3408707584,57077,1,832204,57077,40573,5,0
2023-01-09 03:26:18.385127,935,314,923,1783,1289,0,0,0,329522,887,702870,1013,S,22910,1499,238,23,48,13,1,0,47,3408707584,57077,1,832204,57077,40573,5,0
2023-01-09 03:26:18.630309,956,314,925,1788,1289,0,0,0,332144,919,708000,1048,S,22938,1499,240,23,50,13,1,0,47,3408728064,57192,0,832209,57192,40642,5,0
2023-01-09 03:26:18.902930,990,314,932,1797,1290,0,0,0,334610,949,712861,1080,S,22942,1499,240,23,50,13,1,0,47,3408728064,57192,0,832287,57257,40685,5,0
2023-01-09 03:26:19.160120,997,315,934,1820,1292,0,0,0,337142,980,717608,1111,S,23966,1499,240,23,53,13,1,0,47,3409055744,55663,0,832306,55795,40743,5,0
2023-01-09 03:26:19.416851,1024,315,938,1830,1292,0,0,0,339740,1012,722382,1142,S,24118,1499,240,23,59,13,1,0,47,3409125376,55795,0,832306,55795,40743,5,0
2023-01-09 03:26:19.672196,1054,315,942,1835,1292,0,0,0,342234,1042,727000,1171,S,24128,1499,240,23,62,13,1,0,47,3409125376,55795,0,832306,55795,40743,5,0
2023-01-09 03:26:19.932742,1084,315,944,1838,1292,0,0,0,344450,1069,731708,1201,S,24137,1499,240,23,63,13,1,0,47,3409125376,55795,1,832306,55795,40743,5,0
2023-01-09 03:26:20.195659,1090,315,947,1869,1292,0,0,0,346916,1099,737831,1236,S,24137,1499,240,23,63,13,1,0,47,3409125376,55795,0,832306,55687,40743,5,0
2023-01-09 03:26:20.456171,1145,316,954,1892,1293,0,0,0,352299,1165,747924,1299,S,24899,1499,240,23,69,14,1,0,49,3414962176,55186,0,832695,54698,40058,5,0
2023-01-09 03:26:20.722109,1170,317,959,1892,1293,0,0,0,352888,1172,749311,1306,R,25037,1499,240,23,71,14,1,0,49,3414048768,55341,0,832695,54698,40058,5,0
2023-01-09 03:26:20.987748,1174,317,961,1892,1293,0,0,0,353570,1180,752022,1314,R,25497,1499,240,23,74,14,1,0,49,3408142336,53689,0,832695,54698,40058,5,0
2023-01-09 03:26:21.258347,1205,317,966,1892,1293,0,0,0,355778,1206,755456,1342,S,26967,1499,241,23,76,15,1,0,49,3410718720,54698,0,832695,54698,40058,5,0
2023-01-09 03:26:21.523764,1221,320,972,1894,1293,0,0,0,358764,1242,761167,1384,S,26975,1499,241,23,76,15,1,0,49,3410718720,54698,0,833416,55376,40761,5,0
2023-01-09 03:26:21.774114,1261,321,977,1894,1293,0,0,0,361074,1270,765941,1415,S,27713,1499,241,23,79,16,1,0,49,3413671936,55376,0,833416,55376,40761,5,0
2023-01-09 03:26:22.035043,1288,322,980,1899,1293,0,0,0,363068,1294,770337,1441,S,27716,1499,241,23,80,16,1,0,49,3413671936,55376,0,833416,55376,40761,5,0
2023-01-09 03:26:22.296316,1307,323,982,1903,1293,0,0,0,365312,1321,775021,1471,S,27717,1499,241,23,82,16,1,0,49,3413671936,55376,1,833416,55376,40761,5,0
2023-01-09 03:26:22.551790,1318,323,984,1936,1294,0,0,0,368198,1357,780263,1508,S,27727,1499,241,23,84,16,1,0,49,3413671936,55452,0,833416,55452,40775,5,0
2023-01-09 03:26:22.812282,1323,323,987,1970,1295,0,0,0,371018,1392,785152,1540,S,27731,1499,242,23,84,16,1,0,49,3413671936,55452,1,833416,55452,40775,5,0
2023-01-09 03:26:23.082909,1326,323,990,2016,1298,0,0,0,373640,1424,790065,1572,S,27731,1499,242,23,84,16,1,0,49,3413671936,55452,1,833416,55452,40775,5,0
