#com.lazyleung
#./workspace/com.lazyleung_0/com.lazyleung.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 05:32:40.962080,895,339,870,1822,1151,0,0,0,163832,603,716553,831,S,3784,0,3,0,1,2,0,0,13,3290365952,25801,0,803312,25801,21036,5,0
2023-01-10 05:32:41.217495,911,339,874,1824,1151,0,0,0,165722,625,721092,859,S,3784,0,3,0,1,2,0,0,13,3290365952,25801,0,803312,25801,21036,5,0
2023-01-10 05:32:41.493443,919,341,876,1824,1151,0,0,0,168028,653,727195,890,S,3784,0,3,0,2,2,0,0,13,3290365952,25801,0,803312,25801,21036,5,0
2023-01-10 05:32:41.775489,929,342,880,1829,1151,0,0,0,170792,686,732485,926,S,3823,0,4,0,2,2,0,0,13,3290365952,25801,0,803312,26145,21356,5,0
2023-01-10 05:32:42.036785,939,344,883,1830,1151,0,0,0,172876,711,737063,955,S,3835,0,6,0,2,2,0,0,13,3290365952,26145,1,803312,26145,21356,5,0
2023-01-10 05:32:42.287707,947,346,885,1833,1151,0,0,0,174988,736,741353,980,S,3835,0,6,0,2,2,0,0,13,3290365952,26145,0,803312,26145,21356,5,0
2023-01-10 05:32:42.543996,953,347,888,1847,1151,0,0,0,177388,765,746267,1013,S,3836,0,6,0,2,2,0,0,13,3290365952,26145,0,803323,26357,21543,5,0
2023-01-10 05:32:42.819219,969,347,891,1869,1152,0,0,0,180052,798,751157,1046,S,4026,0,7,0,3,2,0,0,13,3290451968,26806,1,803333,26854,21948,5,0
2023-01-10 05:32:43.082114,997,351,895,1871,1152,0,0,0,181918,820,755490,1072,S,4122,0,7,0,4,2,0,0,13,3290451968,26854,1,803333,26854,21948,5,0
2023-01-10 05:32:43.342466,1028,351,901,1878,1153,0,0,0,185078,859,761878,1109,S,4291,0,7,0,5,3,0,0,13,3290451968,26892,0,803397,27618,22696,5,0
2023-01-10 05:32:43.608071,1064,351,905,1879,1153,0,0,0,187346,886,766573,1139,S,4379,0,7,0,6,3,0,0,13,3290714112,27618,0,803397,27618,22696,5,0
2023-01-10 05:32:43.858476,1083,352,908,1881,1153,0,0,0,189094,907,769814,1166,S,4379,0,7,0,6,3,0,0,13,3290714112,27618,0,803397,27618,22696,5,0
2023-01-10 05:32:44.123940,1089,352,911,1919,1154,0,0,0,191980,943,774804,1199,S,4416,0,7,0,7,3,0,0,13,3290714112,27618,0,803397,27618,22696,5,0
2023-01-10 05:32:44.383413,1096,353,913,1956,1154,0,0,0,194602,975,780058,1236,S,4416,0,7,0,7,3,0,0,13,3290714112,27618,0,803397,27618,22696,5,0
2023-01-10 05:32:44.643764,1099,353,916,2000,1155,0,0,0,197398,1010,784803,1266,S,4656,0,7,0,7,3,0,0,13,3291631616,27699,0,803621,27699,22775,5,0
2023-01-10 05:32:44.914492,1104,353,918,2042,1155,0,0,0,200020,1042,789837,1300,S,4658,0,7,0,7,3,0,0,13,3291631616,27712,0,803867,27703,22770,5,0
2023-01-10 05:32:45.174952,1118,354,921,2068,1155,0,0,0,202552,1073,794649,1331,S,5619,0,7,0,8,3,0,0,14,3295633408,28494,1,804598,28494,23554,5,0
2023-01-10 05:32:45.424370,1143,354,925,2076,1155,0,0,0,204956,1102,799233,1360,S,5636,0,7,0,9,4,0,0,14,3295633408,28494,0,804598,28501,23554,5,0
2023-01-10 05:32:45.689719,1171,354,930,2078,1155,0,0,0,207172,1129,803800,1388,S,5657,0,7,0,10,4,0,0,14,3295633408,28501,0,804598,28501,23554,5,0
2023-01-10 05:32:45.953676,1200,355,936,2087,1155,0,0,0,209680,1160,808829,1422,S,5658,0,7,0,10,4,0,0,14,3295633408,28501,0,804598,28501,23554,5,0
2023-01-10 05:32:46.206615,1226,355,939,2093,1155,0,0,0,211948,1187,813486,1451,S,5658,0,7,0,10,4,0,0,14,3295633408,28501,0,804598,28501,23554,5,0
2023-01-10 05:32:46.461448,1234,355,941,2122,1155,0,0,0,214702,1221,819127,1489,S,5677,0,7,0,11,4,0,0,14,3295633408,28501,1,804598,28501,23554,5,0
2023-01-10 05:32:46.732043,1237,355,943,2166,1157,0,0,0,217390,1254,824642,1525,S,5678,0,7,0,11,4,0,0,14,3295633408,28501,1,804598,28501,23554,5,0
2023-01-10 05:32:47.002944,1258,356,948,2190,1157,0,0,0,219568,1280,829863,1558,S,5688,0,7,0,11,4,0,0,14,3295633408,28501,1,804598,28501,23554,5,0
2023-01-10 05:32:47.255893,1284,367,954,2197,1157,0,0,0,222572,1317,837494,1598,S,5694,0,7,0,12,4,0,0,14,3295633408,28501,1,804588,28691,23725,5,0
2023-01-10 05:32:47.532023,1314,367,959,2197,1157,0,0,0,224598,1341,840640,1623,R,5694,0,7,0,12,4,0,0,14,3295592448,28691,1,804588,28723,23756,5,0
2023-01-10 05:32:47.778843,1345,368,963,2197,1157,0,0,0,227499,1376,848295,1663,S,5799,0,7,0,13,5,0,0,14,3295592448,28723,1,804588,28729,23756,5,0
2023-01-10 05:32:48.054498,1367,368,966,2197,1157,0,0,0,228816,1392,850468,1677,S,5802,0,7,0,13,5,0,0,14,3295592448,28723,1,804588,28729,23756,5,0
2023-01-10 05:32:48.297705,1393,368,971,2198,1157,0,0,0,232288,1435,857615,1722,S,5963,0,7,0,15,5,0,0,14,3295592448,28729,1,804588,28729,23756,5,0
2023-01-10 05:32:48.573217,1419,369,976,2203,1157,0,0,0,233724,1452,860233,1741,S,5963,0,7,0,15,5,0,0,14,3295592448,28729,1,804588,28794,23820,5,0
2023-01-10 05:32:48.842313,1442,369,981,2215,1157,0,0,0,236506,1486,865268,1775,S,6011,0,7,0,15,5,0,0,14,3295592448,28794,0,804588,28794,23820,5,0
2023-01-10 05:32:49.110550,1459,369,984,2224,1157,0,0,0,238656,1512,869877,1804,S,6011,0,7,0,15,5,0,0,14,3295592448,28794,1,804588,28794,23820,5,0
2023-01-10 05:32:49.360758,1464,370,986,2266,1157,0,0,0,241188,1543,874888,1838,S,6078,0,7,0,16,5,0,0,14,3295592448,28795,0,804588,28803,23820,5,0
2023-01-10 05:32:49.621285,1484,370,989,2283,1157,0,0,0,243696,1574,879431,1866,S,6276,0,7,0,17,5,0,0,14,3295592448,28835,1,804588,28835,23852,5,0
2023-01-10 05:32:49.892067,1508,371,993,2288,1157,0,0,0,245430,1594,883770,1892,S,6276,0,7,0,17,5,0,0,14,3295592448,28835,1,804588,28835,23852,5,0
2023-01-10 05:32:50.141543,1526,371,998,2307,1157,0,0,0,247764,1622,889747,1926,R,6361,0,7,0,17,6,0,0,14,3295916032,28899,1,804588,28843,23851,5,0
2023-01-10 05:32:50.417063,1559,372,1002,2312,1157,0,0,0,250528,1655,896127,1962,S,6439,0,7,0,18,6,0,0,14,3295592448,28843,0,804667,28907,23909,5,0
2023-01-10 05:32:50.670881,1582,372,1005,2317,1157,0,0,0,252432,1678,899327,1988,S,6528,0,7,0,19,6,0,0,14,3295916032,28907,0,804746,29002,24006,5,0
