#com.linh.tuvungn5
#./workspace/com.linh.tuvungn5_0/com.linh.tuvungn5.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 13:32:06.374380,956,233,665,1103,1310,0,0,0,582956,1200,828731,1248,S,9319,1522,252,1,12,6,1,1,35,3370156032,42570,0,822792,42570,36637,5,0
2023-01-11 13:32:06.645214,965,234,668,1103,1310,0,0,0,586019,1233,835214,1283,D,9374,1522,252,1,12,7,1,1,35,3370156032,42570,0,825158,45630,38249,5,0
2023-01-11 13:32:06.880370,971,235,671,1103,1310,0,0,0,588847,1266,840755,1321,S,11354,1522,289,1,14,9,1,1,38,3379847168,45630,0,825158,45630,38249,5,0
2023-01-11 13:32:07.144986,975,240,676,1103,1310,0,0,0,597006,1306,846523,1362,S,11356,1522,289,1,14,9,1,1,38,3379847168,45630,0,825158,45904,38477,5,0
2023-01-11 13:32:07.423358,983,248,684,1104,1311,0,0,0,600424,1344,852494,1401,S,11493,1522,290,1,15,10,1,1,38,3379847168,45976,0,825158,45976,38534,5,0
2023-01-11 13:32:07.670337,988,252,690,1105,1311,0,0,0,603448,1380,859202,1444,S,11620,1522,300,1,15,12,1,1,40,3384401920,46386,0,826270,46386,38842,5,0
2023-01-11 13:32:07.918818,995,262,697,1107,1312,0,0,0,623724,1427,866710,1491,S,11648,1522,302,1,15,12,1,1,40,3383877632,46421,0,826142,46421,38875,5,0
2023-01-11 13:32:08.189513,1002,269,702,1108,1319,0,0,0,643418,1468,874019,1533,S,11687,1522,302,1,16,12,1,1,40,3383877632,46523,1,826142,46523,38955,5,0
2023-01-11 13:32:08.449867,1007,274,705,1137,1319,0,0,0,674703,1525,890371,1600,S,12114,1522,302,1,18,12,1,1,40,3384270848,46613,1,826238,46613,39041,5,0
2023-01-11 13:32:08.705262,1019,276,709,1162,1320,0,0,0,705624,1598,901113,1660,S,12434,1522,306,1,20,12,1,1,39,3382624256,46734,0,825803,46721,39171,5,0
2023-01-11 13:32:08.970816,1037,277,713,1191,1322,0,0,0,714689,1645,906563,1699,S,12623,1522,307,1,22,12,1,1,39,3382489088,46721,0,825803,46722,39171,5,0
2023-01-11 13:32:09.231194,1044,279,716,1221,1325,0,0,0,717707,1683,911675,1734,S,12844,1522,307,1,23,12,1,1,39,3382489088,46739,0,825803,46739,39187,5,0
2023-01-11 13:32:09.496854,1055,284,720,1246,1326,0,0,0,720705,1720,920175,1776,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 13:32:09.747969,1083,288,725,1247,1326,0,0,0,722660,1743,924384,1801,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 13:32:09.998142,1100,300,730,1256,1326,0,0,0,725645,1779,931922,1841,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 13:32:10.277546,1127,304,732,1258,1326,0,0,0,731372,1850,942519,1918,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 13:32:10.516067,1136,314,737,1266,1326,0,0,0,734621,1890,950591,1961,S,80533,0,219,0,118,60,0,0,45,3610021888,74657,0,881353,74657,39846,5,0
2023-01-11 13:32:10.781739,1159,314,742,1270,1326,0,0,0,737081,1920,955527,1994,S,25860,0,95,0,90,15,0,0,25,3515695104,60353,1,858324,60373,43740,5,0
2023-01-11 13:32:11.041675,1179,314,747,1287,1326,0,0,0,740421,1961,964897,2039,S,26366,0,95,0,96,17,0,0,25,3515695104,60373,0,856016,57576,41452,5,0
2023-01-11 13:32:11.564801,1253,316,761,1293,1326,0,0,0,744357,2009,972619,2092,S,26499,0,95,0,98,17,0,0,25,3506241536,57576,0,856016,57576,41452,5,0
2023-01-11 13:32:11.309303,1206,315,754,1293,1326,0,0,0,744669,2013,973784,2096,S,26499,0,95,0,98,17,0,0,25,3506241536,57576,0,856016,57572,41448,5,0
2023-01-11 13:32:11.828999,1287,320,773,1293,1326,0,0,0,748676,2061,981663,2148,S,26500,0,95,0,98,18,0,0,25,3506241536,57572,0,856016,57572,41448,5,0
2023-01-11 13:32:12.084829,1306,321,779,1293,1326,0,0,0,749956,2076,985020,2164,S,26500,0,95,0,98,18,0,0,25,3506241536,57572,0,856016,57572,41448,5,0
2023-01-11 13:32:12.350286,1325,323,784,1293,1326,0,0,0,752104,2102,988480,2192,S,26500,0,95,0,98,18,0,0,25,3506241536,57572,0,856016,57572,41448,5,0
2023-01-11 13:32:12.625338,1347,326,792,1293,1326,0,0,0,754291,2129,993021,2220,S,26500,0,95,0,98,18,0,0,25,3506241536,57572,0,856016,57571,41447,5,0
2023-01-11 13:32:12.903251,1370,332,798,1293,1326,0,0,0,756691,2158,997866,2252,S,26500,0,95,0,98,18,0,0,25,3506241536,57571,0,856016,57571,41447,5,0
2023-01-11 13:32:13.164700,1391,342,803,1299,1326,0,0,0,759422,2192,1002636,2283,S,26500,0,95,0,98,18,0,0,25,3506241536,57571,0,856016,57571,41447,5,0
2023-01-11 13:32:13.430922,1413,345,807,1312,1326,0,0,0,761709,2220,1007541,2316,S,26500,0,95,0,98,18,0,0,25,3506241536,57571,0,856016,57571,41447,5,0
2023-01-11 13:32:13.681463,1419,345,811,1347,1327,0,0,0,764788,2259,1015875,2353,S,26505,0,95,0,98,18,0,0,25,3506241536,57571,0,856786,58319,42163,5,0
2023-01-11 13:32:13.936937,1446,353,816,1348,1327,0,0,0,767297,2290,1021268,2388,S,28077,0,95,0,99,18,0,0,25,3509395456,58319,0,856786,58319,42163,5,0
2023-01-11 13:32:14.214688,1459,362,819,1357,1327,0,0,0,769919,2322,1027064,2428,S,28077,0,95,0,99,18,0,0,25,3509395456,58319,0,856786,58319,42163,5,0
2023-01-11 13:32:14.481209,1488,366,825,1357,1327,0,0,0,772919,2359,1033198,2472,S,28077,0,95,0,99,18,0,0,25,3509395456,58319,0,856786,58319,42163,5,0
2023-01-11 13:32:14.727560,1521,376,833,1357,1327,0,0,0,776263,2400,1041276,2518,S,28077,0,95,0,99,18,0,0,25,3509395456,58319,0,857555,59132,42976,5,0
2023-01-11 13:32:14.985498,1539,379,835,1357,1327,0,0,0,778196,2423,1045453,2542,S,28958,0,95,0,100,18,0,0,25,3512545280,59132,1,856016,57623,41468,5,0
2023-01-11 13:32:15.261351,1570,379,843,1358,1327,0,0,0,781252,2460,1053431,2586,S,28962,0,95,0,100,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:15.516420,1609,380,849,1358,1327,0,0,0,782812,2479,1056310,2606,S,28962,0,95,0,100,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:15.760826,1627,382,855,1358,1327,0,0,0,784588,2500,1060186,2629,S,28962,0,95,0,100,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:16.029600,1652,383,864,1358,1327,0,0,0,786767,2526,1064814,2659,S,28962,0,95,0,100,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:16.284305,1675,384,871,1358,1327,0,0,0,791602,2562,1070478,2701,S,28963,0,95,0,100,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:16.555155,1698,387,881,1358,1327,0,0,0,793377,2584,1073860,2729,S,28963,0,95,0,100,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:16.810087,1719,389,889,1358,1327,0,0,0,796137,2617,1079016,2765,S,28963,0,95,0,100,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:17.084234,1730,392,893,1358,1327,0,0,0,798225,2642,1083632,2794,S,28963,0,95,0,100,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:17.344859,1738,394,895,1359,1327,0,0,0,800379,2668,1088026,2820,S,28963,0,95,0,100,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:17.596771,1744,396,899,1360,1327,0,0,0,802401,2692,1092552,2848,S,28963,0,95,0,101,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:17.857266,1764,399,906,1364,1327,0,0,0,804987,2724,1098813,2885,S,28963,0,95,0,101,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:18.122648,1779,402,913,1368,1327,0,0,0,807165,2750,1103561,2916,S,28963,0,95,0,101,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:18.408932,1794,410,924,1378,1327,0,0,0,809895,2784,1108531,2950,S,28963,0,95,0,101,18,0,0,25,3506241536,57623,1,856016,57623,41468,5,0
2023-01-11 13:32:18.664209,1818,413,934,1379,1327,0,0,0,812515,2816,1113513,2984,S,28963,0,95,0,101,18,0,0,25,3506241536,57618,1,856016,57618,41463,5,0
