#com.livewallpaper.aquarium
#./workspace/com.livewallpaper.aquarium_0/app3568.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 12:05:54.056164,802,158,504,2093,1053,0,0,0,4563729,3597,709815,980,S,8747,0,474,0,18,7,0,0,41,3381731328,44221,1,825370,44226,37310,5,0
2023-01-11 12:05:54.321817,810,158,506,2093,1054,0,0,0,4565907,3623,715700,1013,S,8823,0,475,0,18,8,0,0,40,3380822016,44226,1,825422,44330,37357,5,0
2023-01-11 12:05:54.582526,817,159,510,2093,1054,0,0,0,4568430,3653,720621,1046,S,8910,0,475,0,18,8,0,0,40,3380928512,44330,1,825396,44364,37437,5,0
2023-01-11 12:05:54.838064,821,161,513,2093,1054,0,0,0,4570211,3675,725001,1070,S,9097,0,475,0,19,8,0,0,40,3380715520,44364,1,825396,44364,37437,5,0
2023-01-11 12:05:55.106030,830,165,519,2093,1054,0,0,0,4573131,3710,731496,1107,S,9893,0,483,0,20,9,0,0,40,3385171968,45566,1,828800,46313,39258,5,0
2023-01-11 12:05:55.374128,833,168,523,2093,1054,0,0,0,4575101,3734,735902,1134,S,10711,0,487,0,22,9,0,0,42,3394650112,46286,1,828674,46497,39350,5,0
2023-01-11 12:05:55.639616,842,171,527,2093,1054,0,0,0,4577303,3760,740627,1164,S,10886,0,488,0,23,11,0,0,42,3393077248,46373,1,828388,46373,39350,5,0
2023-01-11 12:05:55.899950,847,175,534,2093,1058,0,0,0,4580345,3798,745895,1201,S,10887,0,488,0,23,11,0,0,42,3393077248,46373,1,828388,46979,39901,5,0
2023-01-11 12:05:56.155208,851,180,539,2108,1077,0,0,0,4583165,3833,750825,1233,S,10919,0,488,0,24,11,0,0,42,3393077248,46979,1,828388,47231,40073,5,0
2023-01-11 12:05:56.410584,852,180,542,2151,1080,0,0,0,4585950,3867,755965,1268,S,11013,0,489,0,24,11,0,0,42,3393077248,47231,1,828388,47231,40073,5,0
2023-01-11 12:05:56.660813,853,180,544,2187,1082,0,0,0,4588194,3894,760667,1298,S,11017,0,490,0,24,11,0,0,42,3393077248,47231,0,828388,47263,40104,5,0
2023-01-11 12:05:56.916250,868,180,547,2217,1083,0,0,0,4591080,3930,765771,1333,S,11073,0,492,0,27,11,0,0,42,3393077248,47373,1,828388,47373,40197,5,0
2023-01-11 12:05:57.181648,876,180,549,2253,1083,0,0,0,4593612,3961,770653,1365,S,11279,0,492,0,29,11,0,0,42,3393732608,47451,0,828548,47451,40260,5,0
2023-01-11 12:05:57.442037,883,181,552,2291,1086,0,0,0,4596078,3991,776812,1401,S,11350,0,492,0,30,11,0,0,42,3393732608,47452,0,828548,47452,40260,5,0
2023-01-11 12:05:57.712950,889,181,555,2333,1087,0,0,0,4598964,4027,782052,1438,S,11377,0,492,0,31,11,0,0,42,3393863680,47452,1,828580,47452,40260,5,0
2023-01-11 12:05:57.957899,894,181,557,2369,1087,0,0,0,4601916,4064,787444,1477,S,11378,0,492,0,32,11,0,0,42,3393863680,47452,1,828580,47452,40260,5,0
2023-01-11 12:05:58.223536,898,181,559,2405,1096,0,0,0,4604844,4101,792524,1512,S,11379,0,492,0,33,11,0,0,42,3393863680,47452,0,828580,47452,40260,5,0
2023-01-11 12:05:58.487527,911,181,562,2435,1096,0,0,0,4607772,4138,797472,1545,S,11382,0,492,0,34,11,0,0,42,3393863680,47452,0,828580,47452,40260,5,0
2023-01-11 12:05:58.748081,914,181,563,2477,1096,0,0,0,4610658,4174,802378,1577,S,11384,0,492,0,34,11,0,0,42,3393863680,47452,1,828580,47452,40260,5,0
2023-01-11 12:05:59.013416,922,183,568,2513,1098,0,0,0,4613478,4209,807548,1613,S,11387,0,492,0,35,11,0,0,42,3393863680,47444,0,828580,47444,40260,5,0
2023-01-11 12:05:59.273899,924,183,569,2557,1098,0,0,0,4616430,4246,812874,1651,S,11388,0,492,0,35,11,0,0,42,3393863680,47444,1,828580,47444,40260,5,0
2023-01-11 12:05:59.544626,928,183,571,2606,1098,0,0,0,4619250,4281,818044,1687,S,11390,0,492,0,36,11,0,0,42,3393863680,47444,0,828580,47444,40260,5,0
2023-01-11 12:05:59.814618,934,184,574,2639,1104,0,0,0,4622070,4316,823284,1724,S,11417,0,493,0,37,11,0,0,42,3393863680,47444,0,828580,47444,40260,5,0
2023-01-11 12:06:00.090846,957,194,579,2650,1104,0,0,0,4624824,4350,828324,1758,S,11438,0,493,0,39,11,0,0,42,3393863680,47444,0,828580,47444,40260,5,0
2023-01-11 12:06:00.336432,972,194,583,2655,1104,0,0,0,4627578,4384,833454,1793,S,11438,0,493,0,40,11,0,0,42,3393863680,47444,0,828580,47444,40260,5,0
2023-01-11 12:06:00.613958,999,194,588,2666,1104,0,0,0,4630416,4420,838002,1821,S,11441,0,493,0,41,11,0,0,42,3393863680,47444,1,828580,47574,40378,5,0
