#com.luisjr
#./workspace/com.luisjr_0/com.luisjr.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:47:01.458857,581,122,642,618,841,0,0,0,96024,414,579300,605,S,3745,0,2,0,1,2,0,0,14,3291635712,25898,1,803622,25898,21228,5,0
2023-01-10 04:47:01.721007,589,123,643,618,841,0,0,0,95868,412,578291,603,S,3745,0,2,0,1,2,0,0,14,3291635712,25898,1,803622,25898,21228,5,0
2023-01-10 04:47:01.979580,594,125,646,618,841,0,0,0,99040,450,586203,648,S,3759,0,2,0,1,2,0,0,14,3291635712,25898,1,803622,25898,21228,5,0
2023-01-10 04:47:02.248479,599,127,649,618,841,0,0,0,100902,472,590551,674,S,3759,0,2,0,1,2,0,0,14,3291635712,25898,1,803889,26161,21459,5,0
2023-01-10 04:47:02.509485,607,131,651,618,841,0,0,0,103921,508,597072,711,R,3815,0,3,0,2,2,0,0,15,3292729344,26161,1,803889,26624,21823,5,0
2023-01-10 04:47:02.786479,612,132,653,618,841,0,0,0,106283,536,601803,742,S,4213,0,4,0,3,2,0,0,15,3293753344,26837,1,803889,26624,21823,5,0
2023-01-10 04:47:03.055056,643,135,659,618,841,0,0,0,107941,556,605706,763,S,4253,0,4,0,4,2,0,0,15,3292729344,26624,1,803889,27034,22155,5,0
2023-01-10 04:47:03.315851,666,138,663,618,841,0,0,0,110110,582,610301,791,S,4253,0,4,0,4,2,0,0,15,3292729344,26624,1,803889,27170,22264,5,0
2023-01-10 04:47:03.575537,670,142,666,618,841,0,0,0,112354,609,614553,816,S,4368,0,7,0,4,2,0,0,15,3292729344,27128,1,803889,27170,22264,5,0
2023-01-10 04:47:03.841183,705,149,674,618,841,0,0,0,114154,630,617287,836,S,4461,0,7,0,5,2,0,0,15,3292729344,27170,1,803968,27272,22353,5,0
2023-01-10 04:47:04.099239,712,157,681,618,841,0,0,0,116800,662,623453,870,S,4634,0,7,0,6,2,0,0,15,3292729344,27244,1,803953,28084,23156,5,0
2023-01-10 04:47:04.361999,756,162,689,618,841,0,0,0,119881,699,629213,911,S,4720,0,7,0,7,2,0,0,15,3292991488,28084,1,803953,28084,23156,5,0
2023-01-10 04:47:04.634820,758,166,693,618,841,0,0,0,120470,706,630690,919,S,4721,0,7,0,7,2,0,0,15,3292991488,28084,1,803953,28084,23156,5,0
2023-01-10 04:47:04.903403,776,175,707,618,841,0,0,0,123330,740,635975,956,S,4765,0,7,0,7,3,0,0,15,3293122560,28100,1,803985,28101,23171,5,0
2023-01-10 04:47:05.165630,786,184,719,618,841,0,0,0,125796,770,640790,988,S,4823,0,7,0,8,3,0,0,15,3293122560,28101,1,804145,28150,23219,5,0
2023-01-10 04:47:05.421042,802,193,728,618,841,0,0,0,128304,801,645360,1017,S,5026,0,7,0,8,3,0,0,15,3293777920,28150,1,804145,28150,23219,5,0
2023-01-10 04:47:05.675991,811,204,741,618,841,0,0,0,130680,830,651299,1051,S,5029,0,7,0,8,3,0,0,15,3293777920,28150,1,804145,28150,23219,5,0
2023-01-10 04:47:05.931800,827,212,750,618,841,0,0,0,133080,859,656028,1082,S,5750,0,8,0,9,3,0,0,15,3296731136,28824,1,804866,28824,23910,5,0
2023-01-10 04:47:06.197407,845,222,758,618,842,0,0,0,135942,895,660823,1114,S,5750,0,8,0,9,3,0,0,15,3296731136,28824,1,804866,28824,23910,5,0
2023-01-10 04:47:06.452683,859,232,768,619,843,0,0,0,138630,928,665733,1147,S,5750,0,8,0,10,3,0,0,15,3296731136,28824,1,804898,28860,23942,5,0
2023-01-10 04:47:06.713042,872,244,777,622,843,0,0,0,141162,959,670733,1181,S,5983,0,8,0,10,3,0,0,15,3296862208,28860,1,804898,28860,23942,5,0
2023-01-10 04:47:06.973751,887,253,788,629,843,0,0,0,143604,989,675487,1212,S,5984,0,8,0,10,3,0,0,15,3296862208,28922,1,804898,28922,24003,5,0
2023-01-10 04:47:07.249157,905,265,797,632,843,0,0,0,146070,1019,680265,1243,S,5984,0,8,0,10,3,0,0,15,3296862208,28922,1,804898,28922,24003,5,0
2023-01-10 04:47:07.499415,923,273,802,632,843,0,0,0,148800,1053,685241,1277,S,5990,0,9,0,11,3,0,0,15,3296862208,28922,1,804898,28922,24003,5,0
2023-01-10 04:47:07.767218,935,287,809,633,843,0,0,0,151332,1084,690217,1311,S,6058,0,9,0,11,3,0,0,15,3296862208,28947,1,804898,28947,24019,5,0
2023-01-10 04:47:08.043202,960,290,815,636,843,0,0,0,153939,1116,695091,1344,S,6059,0,9,0,11,3,0,0,15,3296862208,28947,1,804898,28947,24019,5,0
2023-01-10 04:47:08.281718,985,292,822,636,843,0,0,0,156598,1148,700121,1379,S,6063,0,9,0,11,3,0,0,15,3296862208,28999,1,804898,29033,24093,5,0
2023-01-10 04:47:08.548811,1028,294,828,638,843,0,0,0,159835,1187,707628,1426,S,6248,0,9,0,12,4,0,0,15,3296862208,29033,1,804898,29033,24093,5,0
2023-01-10 04:47:08.801882,1050,294,831,638,843,0,0,0,160680,1197,709171,1435,S,6248,0,9,0,12,4,0,0,15,3296862208,29033,1,804898,29033,24093,5,0
2023-01-10 04:47:09.062694,1057,305,837,642,843,0,0,0,163680,1234,714594,1474,S,6249,0,9,0,12,4,0,0,15,3296862208,29033,1,804898,29033,24093,5,0
2023-01-10 04:47:09.314848,1069,314,843,651,845,0,0,0,166080,1263,719530,1507,S,6249,0,9,0,13,4,0,0,15,3296862208,29033,1,804898,29033,24093,5,0
2023-01-10 04:47:09.574850,1081,320,848,668,845,0,0,0,168834,1297,724688,1543,S,6253,0,9,0,13,4,0,0,15,3296862208,29033,1,804898,29024,24092,5,0
2023-01-10 04:47:09.835470,1117,322,855,674,845,0,0,0,171919,1334,731202,1582,S,6629,0,9,0,14,5,0,0,15,3296862208,29056,0,804898,29056,24123,5,0
2023-01-10 04:47:10.098589,1133,325,858,676,845,0,0,0,173208,1350,733510,1597,S,6629,0,9,0,14,5,0,0,15,3296862208,29056,0,804898,29056,24123,5,0
2023-01-10 04:47:10.369621,1155,327,863,677,845,0,0,0,175750,1380,738441,1630,S,6691,0,9,0,14,5,0,0,15,3296862208,29081,0,804898,29110,24122,5,0
2023-01-10 04:47:10.619365,1196,328,869,678,845,0,0,0,179185,1422,745491,1674,S,6832,0,9,0,16,5,0,0,15,3296862208,29110,0,804977,29176,24180,5,0
2023-01-10 04:47:10.894844,1218,329,872,679,845,0,0,0,180730,1440,748244,1694,S,6908,0,9,0,16,5,0,0,15,3296862208,29111,0,805056,29242,24246,5,0
