#com.lydia.pro
#./workspace/com.lydia.pro_0/com.lydia.pro.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:45:33.976176,960,322,888,1715,1243,0,0,0,2581918,2272,704733,1045,S,13024,0,12,0,53,6,0,0,16,3336617984,37985,1,814828,38850,25868,5,0
2023-01-10 02:45:34.246972,970,322,891,1715,1243,0,0,0,2584564,2304,711020,1078,S,13256,0,12,0,59,6,0,0,16,3337535488,38850,1,814828,38850,25868,5,0
2023-01-10 02:45:34.512073,980,325,895,1720,1244,0,0,0,2586742,2330,715625,1107,S,13285,0,13,0,59,6,0,0,16,3337535488,39090,1,814828,39090,26061,5,0
2023-01-10 02:45:34.767672,983,329,897,1738,1244,0,0,0,2589760,2368,720820,1142,S,13291,0,13,0,60,6,0,0,16,3337535488,39090,0,814828,39090,26061,5,0
2023-01-10 02:45:35.032905,986,330,899,1777,1244,0,0,0,2592424,2401,725760,1175,D,13292,0,13,0,61,6,0,0,16,3337535488,39090,0,814828,39090,26061,5,0
2023-01-10 02:45:35.314151,997,331,902,1791,1246,0,0,0,2595286,2437,730655,1208,S,13331,0,14,0,63,6,0,0,16,3337535488,39090,0,814829,39491,26373,5,0
2023-01-10 02:45:35.571380,1006,331,907,1809,1247,0,0,0,2597686,2466,735533,1240,S,13430,0,15,0,63,6,0,0,16,3337539584,39491,0,814829,39491,26373,5,0
2023-01-10 02:45:35.826410,1041,332,911,1830,1247,0,0,0,2600960,2506,742394,1283,S,13447,0,15,0,86,7,0,0,16,3337539584,39491,0,814829,39492,26373,5,0
2023-01-10 02:45:36.081962,1060,332,915,1832,1247,0,0,0,2602396,2523,744947,1302,S,13455,0,15,0,86,8,0,0,16,3337539584,39491,0,814829,39492,26373,5,0
2023-01-10 02:45:36.352458,1082,333,918,1837,1247,0,0,0,2604886,2553,749893,1334,S,13524,0,15,0,88,8,0,0,16,3337539584,39492,0,814829,39492,26373,5,0
2023-01-10 02:45:36.602501,1092,333,921,1869,1247,0,0,0,2607838,2590,755150,1371,S,13560,0,15,0,88,9,0,0,16,3337539584,39492,0,814829,39492,26373,5,0
2023-01-10 02:45:36.857691,1098,333,925,1904,1249,0,0,0,2610922,2629,760161,1405,S,13561,0,15,0,90,9,0,0,16,3337539584,39492,1,814834,39384,26446,5,0
2023-01-10 02:45:37.123286,1116,333,929,1934,1251,0,0,0,2613298,2658,764903,1436,S,14506,0,18,0,105,9,0,0,16,3337576448,39910,1,814838,39910,26446,5,0
2023-01-10 02:45:37.378567,1138,333,932,1935,1251,0,0,0,2615608,2686,769448,1464,S,14506,0,18,0,114,12,0,0,16,3337576448,39910,1,814838,39910,26446,5,0
