#com.m_twmnpshx
#./workspace/com.m_twmnpshx_0/app2068.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 03:10:15.151141,797,135,653,3052,725,0,0,0,289631,666,631445,778,S,6057,0,21,0,17,14,0,0,19,3303608320,30981,1,806545,30981,25415,5,0
2023-01-11 03:10:15.422158,802,136,655,3052,725,0,0,0,291242,685,635349,800,S,6067,0,21,0,17,15,0,0,19,3303608320,30981,1,806545,31046,25415,5,0
2023-01-11 03:10:15.672431,806,140,660,3052,725,0,0,0,293458,712,639940,828,S,6129,0,21,0,20,18,0,0,19,3303608320,31046,1,806545,31117,25415,5,0
2023-01-11 03:10:15.947338,811,142,665,3052,725,0,0,0,295858,741,644587,858,S,6250,0,21,0,23,20,0,0,19,3303133184,30836,1,806429,30902,25456,5,0
2023-01-11 03:10:16.208371,818,144,669,3052,725,0,0,0,298522,774,649372,889,S,6371,0,21,0,26,23,0,0,19,3303133184,30902,1,806429,30968,25456,5,0
2023-01-11 03:10:16.463726,822,147,673,3052,725,0,0,0,301546,811,655992,927,S,6421,0,21,0,28,24,0,0,19,3303133184,30968,1,806429,30968,25456,5,0
2023-01-11 03:10:16.733079,827,151,678,3052,725,0,0,0,303988,841,660577,956,S,6518,0,21,0,31,27,0,0,19,3303133184,31034,1,806429,31100,25456,5,0
2023-01-11 03:10:16.986329,833,155,683,3052,725,0,0,0,306388,870,665494,989,S,6574,0,21,0,34,29,0,0,19,3303133184,31100,1,806645,31472,25530,5,0
2023-01-11 03:10:17.231601,838,157,686,3052,725,0,0,0,308958,901,670351,1021,S,7402,0,21,0,38,31,0,0,18,3304017920,31472,1,806645,30951,25530,5,0
2023-01-11 03:10:17.523027,854,159,691,3052,725,0,0,0,312472,943,677729,1067,S,7440,0,21,0,40,32,0,0,18,3304017920,30951,1,806645,31017,25530,5,0
2023-01-11 03:10:17.757619,854,159,692,3052,725,0,0,0,312874,948,679596,1076,S,7451,0,21,0,40,32,0,0,18,3304017920,30951,1,806645,31017,25530,5,0
2023-01-11 03:10:18.039774,861,165,699,3052,725,0,0,0,317056,999,689679,1137,S,7539,0,21,0,45,36,0,0,18,3304017920,31253,1,806770,31227,25521,5,0
2023-01-11 03:10:18.318051,875,168,707,3052,725,0,0,0,320464,1039,696705,1174,S,7809,0,21,0,49,40,0,0,19,3304529920,31227,1,806770,31274,25521,5,0
2023-01-11 03:10:18.833897,878,169,709,3052,725,0,0,0,321496,1051,698338,1184,S,7822,0,21,0,49,41,0,0,19,3304529920,31274,1,806732,30916,25509,5,0
2023-01-11 03:10:18.568329,877,169,708,3052,725,0,0,0,321926,1056,699593,1189,S,7822,0,21,0,49,41,0,0,19,3304529920,31274,1,806732,30996,25525,5,0
2023-01-11 03:10:19.080177,884,172,713,3052,725,0,0,0,324626,1088,704899,1224,S,7964,0,21,0,52,43,0,0,19,3304374272,30916,1,806732,31062,25525,5,0
2023-01-11 03:10:19.344880,888,174,717,3052,725,0,0,0,326960,1116,709662,1255,S,8117,0,21,0,54,47,0,0,19,3304378368,31276,1,806733,31342,25697,5,0
2023-01-11 03:10:19.610228,896,177,727,3063,725,0,0,0,329516,1147,716062,1294,S,8211,0,21,0,58,50,0,0,19,3304378368,31342,1,806733,31409,25697,5,0
2023-01-11 03:10:19.860727,908,180,736,3068,725,0,0,0,332454,1183,721248,1330,R,8349,0,21,0,62,53,0,0,19,3304378368,31806,1,806185,31904,26089,5,0
