#com.magicsms.own
#./workspace/com.magicsms.own_0/app3233.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:57:08.916318,749,99,511,1205,705,0,0,0,429154,1851,1423850,2177,S,4902,0,12,0,4,4,0,0,12,3289559040,24645,1,803115,24645,19031,5,0
2023-01-11 23:57:09.177032,760,99,514,1205,705,0,0,0,433195,1900,1438104,2228,S,4902,0,12,0,4,4,0,0,12,3289559040,24645,1,803115,24645,19031,5,0
2023-01-11 23:57:09.447384,764,100,515,1205,705,0,0,0,433940,1909,1440436,2237,S,4902,0,12,0,4,4,0,0,12,3289559040,24645,1,803115,24645,19031,5,0
2023-01-11 23:57:09.706461,771,102,518,1205,705,0,0,0,438294,1962,1454746,2292,S,4902,0,12,0,4,4,0,0,12,3289559040,24645,1,803115,24645,19031,5,0
2023-01-11 23:57:09.972085,779,104,520,1205,706,0,0,0,441120,1996,1462923,2327,S,4902,0,12,0,4,4,0,0,12,3289559040,24645,1,803115,24645,19031,5,0
2023-01-11 23:57:10.240785,786,107,523,1206,706,0,0,0,444522,2038,1472048,2374,S,4902,0,12,0,4,4,0,0,12,3289559040,24645,1,803115,24645,19031,5,0
2023-01-11 23:57:10.491493,791,110,525,1208,706,0,0,0,510592,2128,1482443,2447,S,4902,0,12,0,4,4,0,0,12,3289559040,24645,1,803115,24645,19031,5,0
2023-01-11 23:57:10.749209,798,116,530,1209,706,0,0,0,514198,2172,1489577,2493,S,4902,0,12,0,4,4,0,0,12,3289559040,24645,1,803115,24645,19031,5,0
2023-01-11 23:57:11.013605,806,117,532,1222,707,0,0,0,517372,2212,1509206,2541,S,4902,0,12,0,4,4,0,0,12,3289559040,24645,1,803115,24645,19031,5,0
2023-01-11 23:57:11.274038,808,117,533,1267,708,0,0,0,521555,2254,1515323,2584,S,4902,0,12,0,4,4,0,0,12,3289436160,24650,1,803085,24650,19036,5,0
2023-01-11 23:57:11.565869,822,117,536,1281,708,0,0,0,524021,2284,1520131,2615,S,4902,0,12,0,4,4,0,0,12,3289436160,24650,1,803085,24650,19036,5,0
