#com.matsumo.auchk
#./workspace/com.matsumo.auchk_0/com.matsumo.auchk.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 00:04:17.931768,1140,308,908,1376,1148,0,0,0,326504,1007,634635,1073,S,9566,0,221,0,13,8,0,0,38,3346395136,42414,1,818971,44586,36725,5,0
2023-01-10 00:04:18.463709,1151,308,915,1377,1149,0,0,0,329436,1042,640262,1112,S,12321,0,241,0,16,9,0,0,38,3351552000,43845,0,818250,43845,35983,5,0
2023-01-10 00:04:18.197405,1145,308,912,1377,1148,0,0,0,329682,1045,641493,1117,S,12307,0,241,0,16,9,0,0,38,3351552000,43845,0,818250,43845,35983,5,0
2023-01-10 00:04:18.728439,1167,308,918,1377,1149,0,0,0,332764,1082,647264,1160,S,12332,0,241,0,16,9,0,0,38,3351552000,43845,0,818250,43740,36099,5,0
2023-01-10 00:04:18.993033,1173,308,923,1379,1150,0,0,0,336010,1122,654374,1203,S,12393,0,249,0,17,9,0,0,38,3352870912,43952,0,819084,44217,36320,5,0
2023-01-10 00:04:19.275353,1178,314,936,1384,1162,0,0,0,338296,1150,659126,1233,S,13328,0,250,0,18,9,0,0,38,3354968064,44493,1,819805,45193,37037,5,0
2023-01-10 00:04:19.535239,1190,314,948,1389,1173,0,0,0,341158,1186,664076,1266,S,14105,0,252,0,20,10,0,0,40,3360108544,45398,1,820339,45398,37192,5,0
2023-01-10 00:04:19.780487,1198,318,952,1408,1178,0,0,0,343978,1221,669203,1301,R,14331,0,256,0,21,11,0,0,40,3360448512,45715,1,820339,45714,37361,5,0
2023-01-10 00:04:20.031169,1253,321,963,1411,1178,0,0,0,346977,1257,675118,1331,R,14707,0,257,0,22,12,0,0,40,3360501760,45738,1,821495,45836,37378,5,0
2023-01-10 00:04:20.291770,1262,322,966,1411,1178,0,0,0,348909,1280,679174,1353,S,14925,0,257,0,24,12,0,0,42,3365457920,45931,1,821495,45836,37378,5,0
2023-01-10 00:04:20.805463,1304,323,974,1411,1178,0,0,0,351804,1315,685031,1394,S,14930,0,257,0,24,12,0,0,42,3364843520,45836,1,821495,45836,37378,5,0
2023-01-10 00:04:20.557279,1286,323,972,1411,1178,0,0,0,352206,1320,686508,1402,S,14927,0,257,0,24,12,0,0,42,3364843520,45836,1,821495,45836,37378,5,0
2023-01-10 00:04:21.079639,1336,324,982,1414,1179,0,0,0,355802,1364,692372,1446,S,14935,0,257,0,25,13,0,0,42,3364843520,45836,0,821617,45982,37475,5,0
2023-01-10 00:04:21.339534,1362,325,987,1418,1179,0,0,0,358244,1394,697010,1475,S,15325,0,257,0,27,13,0,0,42,3365683200,46048,1,821483,45840,37328,5,0
2023-01-10 00:04:21.588069,1396,326,990,1418,1179,0,0,0,361235,1430,703655,1515,S,15406,0,257,0,28,13,0,0,42,3364794368,45840,1,821483,45840,37328,5,0
2023-01-10 00:04:21.848636,1412,326,992,1420,1179,0,0,0,363455,1457,708199,1544,R,15442,0,257,0,28,13,0,0,42,3364794368,45840,1,821483,45840,37328,5,0
2023-01-10 00:04:22.099234,1435,326,995,1421,1179,0,0,0,364536,1470,710518,1558,S,15442,0,257,0,28,13,0,0,42,3364794368,45840,1,821483,45840,37328,5,0
2023-01-10 00:04:22.364822,1464,327,1001,1442,1180,0,0,0,367910,1511,717082,1595,S,15658,0,257,0,30,14,0,0,42,3364794368,45863,1,821483,45863,37328,5,0
2023-01-10 00:04:22.620404,1489,327,1003,1444,1180,0,0,0,369922,1536,720043,1618,S,15659,0,257,0,30,14,0,0,42,3364794368,45863,1,821483,45863,37328,5,0
2023-01-10 00:04:22.873323,1505,327,1008,1451,1180,0,0,0,372322,1565,724904,1650,S,15659,0,257,0,31,14,0,0,42,3364794368,45863,1,821649,45581,37474,5,0
2023-01-10 00:04:23.136463,1530,328,1014,1466,1180,0,0,0,374816,1595,729699,1681,S,15861,0,257,0,32,14,0,0,42,3365474304,45581,1,821483,45435,37328,5,0
2023-01-10 00:04:23.396934,1557,328,1017,1470,1180,0,0,0,377008,1622,734158,1708,S,15863,0,257,0,32,14,0,0,42,3364794368,45435,1,821483,45435,37328,5,0
2023-01-10 00:04:23.648486,1582,329,1021,1478,1180,0,0,0,379432,1651,739223,1742,S,15863,0,257,0,33,14,0,0,42,3364794368,45435,0,821483,45435,37328,5,0
2023-01-10 00:04:23.903710,1607,329,1028,1500,1181,0,0,0,382370,1687,744375,1777,D,15986,0,258,0,36,15,0,0,42,3364864000,45448,1,822237,46249,38097,5,0
2023-01-10 00:04:24.166112,1630,330,1032,1503,1181,0,0,0,384274,1710,748768,1803,S,16916,0,259,0,37,15,0,0,42,3367882752,46249,0,823678,46987,38827,5,0
2023-01-10 00:04:24.426857,1654,330,1037,1506,1182,0,0,0,386764,1740,753692,1836,R,17686,0,261,0,37,16,0,0,42,3364925440,45513,1,821515,45513,37352,5,0
2023-01-10 00:04:24.682629,1669,330,1041,1525,1182,0,0,0,389122,1768,758949,1873,S,17689,0,261,0,37,16,0,0,42,3364925440,45513,1,821515,45523,37361,5,0
2023-01-10 00:04:24.942923,1671,330,1044,1566,1184,0,0,0,391942,1803,764104,1908,S,17792,0,261,0,38,16,0,0,42,3364925440,45536,0,821515,45536,37370,5,0
2023-01-10 00:04:25.208468,1678,335,1046,1601,1185,0,0,0,394408,1833,769905,1948,S,17796,0,261,0,38,16,0,0,42,3364925440,45536,1,821515,45553,37386,5,0
2023-01-10 00:04:25.460645,1698,341,1052,1606,1185,0,0,0,396586,1859,775286,1983,S,17964,0,262,0,40,17,0,0,42,3364925440,45553,0,821515,45553,37386,5,0
