#com.meiwaku.number
#./workspace/com.meiwaku.number_1/com.meiwaku.number721087CAC434C73F87330A1DFAF3EC5B8204AB00.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 08:23:32.186093,941,304,873,1707,1193,0,0,0,572767,798,649228,765,S,11713,0,73,0,26,8,0,0,18,3323805696,40297,0,811476,40297,28575,5,0
2023-01-09 08:23:32.451770,944,304,875,1747,1193,0,0,0,576187,841,656133,806,S,12149,0,73,0,26,8,0,0,18,3325505536,40759,0,811891,40183,29176,5,0
2023-01-09 08:23:32.712505,956,305,879,1761,1193,0,0,0,578587,870,661175,839,S,13259,0,73,0,39,12,0,0,18,3326423040,41616,0,812121,41682,29942,5,0
2023-01-09 08:23:32.983226,973,306,881,1773,1193,0,0,0,581095,901,665847,869,R,13336,0,73,0,58,12,0,0,18,3326447616,41682,0,812121,41698,29958,5,0
2023-01-09 08:23:33.240293,985,306,884,1782,1193,0,0,0,583495,930,670462,897,S,13379,0,73,0,69,13,0,0,18,3326447616,41698,1,812121,41303,29958,5,0
2023-01-09 08:23:33.506037,998,307,887,1787,1193,0,0,0,586343,965,675617,933,S,13389,0,74,0,81,15,0,0,18,3326447616,41008,0,812121,41008,29958,5,0
2023-01-09 08:23:33.753185,1009,308,889,1788,1193,0,0,0,588653,993,680227,962,S,13399,0,74,0,96,16,0,0,18,3326447616,41008,0,812121,41008,29958,5,0
2023-01-09 08:23:34.013198,1018,309,890,1791,1193,0,0,0,591209,1024,685354,997,S,13399,0,74,0,105,16,0,0,18,3326447616,41008,0,812121,41008,29958,5,0
2023-01-09 08:23:34.278690,1030,310,894,1801,1193,0,0,0,593849,1057,690163,1029,S,13403,0,74,0,119,18,0,0,18,3326447616,40997,0,812121,40992,29958,5,0
2023-01-09 08:23:34.539894,1042,310,897,1807,1193,0,0,0,596381,1088,694978,1060,S,13405,0,74,0,132,21,0,0,18,3326447616,40987,0,812121,40986,29958,5,0
2023-01-09 08:23:34.778343,1053,310,901,1812,1193,0,0,0,598937,1119,699950,1093,S,13448,0,74,0,146,22,0,0,18,3326447616,40986,0,812121,40970,29958,5,0
2023-01-09 08:23:35.053892,1072,310,905,1827,1193,0,0,0,601601,1152,704851,1126,S,13525,0,74,0,159,24,0,0,18,3326447616,41010,0,812121,41001,29958,5,0
2023-01-09 08:23:35.297475,1086,310,906,1838,1193,0,0,0,604067,1182,709752,1159,S,13539,0,74,0,169,25,0,0,18,3326447616,40998,0,812121,40988,29958,5,0
2023-01-09 08:23:35.568846,1104,310,910,1846,1193,0,0,0,606665,1214,714635,1191,S,13596,0,74,0,186,29,0,0,18,3326447616,40988,1,812633,40991,29958,5,0
2023-01-09 08:23:35.833670,1116,310,913,1855,1193,0,0,0,609221,1245,719741,1226,S,13604,0,74,0,195,29,0,0,18,3328544768,40985,0,812633,40975,29958,5,0
2023-01-09 08:23:36.099404,1133,311,916,1866,1193,0,0,0,612017,1280,724733,1260,S,13621,0,74,0,210,31,0,0,18,3328544768,41082,0,812633,41082,30045,5,0
2023-01-09 08:23:36.349355,1142,311,919,1886,1194,0,0,0,614855,1316,729305,1288,S,13622,0,74,0,218,32,0,0,18,3328544768,41082,0,812633,41082,30045,5,0
2023-01-09 08:23:36.609918,1160,311,923,1896,1194,0,0,0,617075,1343,733829,1316,S,13626,0,74,0,233,34,0,0,18,3328544768,41082,0,812633,41089,30045,5,0
2023-01-09 08:23:36.875517,1172,311,925,1903,1194,0,0,0,619649,1375,738533,1346,S,13626,0,74,0,248,36,0,0,18,3328544768,41067,0,812633,41067,30045,5,0
2023-01-09 08:23:37.135022,1187,311,928,1922,1194,0,0,0,622181,1406,743417,1378,S,13626,0,74,0,259,37,0,0,18,3328544768,41067,0,812633,41067,30045,5,0
2023-01-09 08:23:37.410278,1202,311,930,1930,1194,0,0,0,624755,1438,747989,1406,S,13637,0,74,0,278,40,0,0,18,3328544768,41062,1,812633,41062,30045,5,0
2023-01-09 08:23:37.658271,1213,311,934,1936,1195,0,0,0,626777,1462,752579,1435,S,13797,0,74,0,283,40,0,0,18,3328585728,41204,1,812643,41204,30075,5,0
2023-01-09 08:23:37.933067,1221,315,937,1946,1195,0,0,0,629201,1491,757638,1470,S,14422,0,74,0,285,40,0,0,18,3325186048,40576,1,811397,40192,28877,5,0
