#com.mileexercisepocket.active
#./workspace/com.mileexercisepocket.active_0/com.mileexercisepocket.active.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:00:55.132398,900,327,873,2054,1075,0,0,0,4569740,3619,716720,1019,S,11749,0,2,0,23,5,0,0,19,4000092160,37247,1,976585,37247,25629,5,0
2023-01-10 01:00:55.394844,906,331,878,2057,1076,0,0,0,4573052,3660,723758,1062,S,12189,0,2,0,23,6,0,0,19,4001792000,37642,1,977000,37642,26024,5,0
2023-01-10 01:00:55.645036,912,334,880,2063,1076,0,0,0,4575674,3692,728781,1094,S,12189,0,2,0,23,6,0,0,19,4001792000,37642,1,977000,37642,26024,5,0
2023-01-10 01:00:55.910618,917,336,882,2097,1076,0,0,0,4578470,3727,733545,1125,S,12190,0,2,0,24,6,0,0,19,4001792000,37642,0,977000,37642,26024,5,0
2023-01-10 01:00:56.176193,921,336,884,2136,1076,0,0,0,4581332,3763,738466,1158,S,12235,0,3,0,25,6,0,0,19,4001792000,37911,0,977000,37911,26243,5,0
2023-01-10 01:00:56.441637,927,336,887,2172,1079,0,0,0,4584062,3797,743279,1189,S,12303,0,4,0,26,6,0,0,19,4001792000,38262,1,977000,37173,26556,5,0
2023-01-10 01:00:56.708185,937,338,892,2195,1080,0,0,0,4586750,3830,748381,1224,S,12528,0,4,0,26,7,0,0,19,4002709504,37996,1,977224,37996,27371,5,0
2023-01-10 01:00:56.973876,958,339,896,2224,1080,0,0,0,4589348,3862,753393,1258,S,12558,0,4,0,27,8,0,0,19,4002709504,37996,0,977224,37997,27371,5,0
2023-01-10 01:00:57.234388,968,339,899,2245,1081,0,0,0,4591856,3893,757961,1286,S,12623,0,4,0,27,8,0,0,19,4002709504,37997,0,977224,37997,27371,5,0
2023-01-10 01:00:57.494697,974,340,902,2283,1081,0,0,0,4594718,3929,762775,1317,S,12647,0,4,0,28,9,0,0,19,4002709504,37997,0,977224,37997,27371,5,0
2023-01-10 01:00:57.760180,992,340,905,2305,1081,0,0,0,4597472,3963,767967,1353,S,12687,0,4,0,29,9,0,0,19,4002709504,37997,0,977224,37997,27371,5,0
2023-01-10 01:00:58.012190,997,341,907,2343,1081,0,0,0,4600160,3996,773291,1391,S,12688,0,4,0,30,9,0,0,19,4002709504,37997,0,977224,37997,27371,5,0
2023-01-10 01:00:58.262419,1001,341,909,2387,1081,0,0,0,4602824,4029,778304,1425,S,12689,0,4,0,30,9,0,0,19,4002709504,38022,0,977230,38742,27391,5,0
2023-01-10 01:00:58.542793,1019,341,912,2408,1082,0,0,0,4605224,4058,783095,1456,S,13691,0,4,0,37,9,0,0,19,4002865152,38742,1,977262,38742,27391,5,0
2023-01-10 01:00:58.787942,1028,351,915,2426,1082,0,0,0,4607714,4088,788042,1489,S,13695,0,4,0,37,9,0,0,19,4002865152,38732,1,977262,38732,27391,5,0
2023-01-10 01:00:59.044046,1050,358,920,2431,1083,0,0,0,4610066,4117,792563,1517,S,13699,0,4,0,37,9,0,0,19,4002865152,38732,1,977262,38732,27391,5,0
2023-01-10 01:00:59.303589,1067,359,922,2445,1083,0,0,0,4612688,4149,797492,1549,S,13701,0,4,0,38,9,0,0,19,4002865152,38732,1,977262,38732,27391,5,0
2023-01-10 01:00:59.559043,1073,359,923,2489,1083,0,0,0,4615418,4183,802242,1579,S,13701,0,4,0,39,9,0,0,19,4002865152,38732,1,977262,38099,27391,5,0
2023-01-10 01:00:59.834614,1083,359,926,2522,1086,0,0,0,4617974,4214,807299,1614,S,15748,0,10,0,48,9,0,0,19,4004986880,40308,0,977790,40553,27936,5,0
2023-01-10 01:01:00.089905,1101,359,929,2543,1086,0,0,0,4620572,4246,812200,1647,S,16284,0,10,0,64,9,0,0,19,4005908480,40751,1,978007,40751,28098,5,0
2023-01-10 01:01:00.350409,1108,359,931,2582,1086,0,0,0,4623194,4278,817395,1683,S,16701,0,10,0,67,9,0,0,19,4007612416,41147,0,978421,41147,28490,5,0
2023-01-10 01:01:00.615948,1117,365,934,2610,1088,0,0,0,4625858,4311,822164,1714,S,16718,0,10,0,67,9,0,0,19,4007612416,41147,1,978421,41147,28490,5,0
2023-01-10 01:01:00.885876,1142,365,941,2617,1088,0,0,0,4628168,4339,827209,1749,S,16718,0,10,0,68,9,0,0,19,4007612416,41147,1,978421,41147,28490,5,0
2023-01-10 01:01:01.144026,1171,366,948,2619,1088,0,0,0,4630766,4371,832093,1781,S,16720,0,10,0,76,10,0,0,19,4007612416,40315,1,978421,40315,28551,5,0
2023-01-10 01:01:01.403094,1193,366,951,2624,1088,0,0,0,4632944,4397,836833,1812,S,16739,0,10,0,76,10,0,0,19,4005076992,39700,1,977802,39781,28015,5,0
2023-01-10 01:01:01.683561,1216,367,955,2637,1088,0,0,0,4635698,4431,842555,1850,S,16800,0,10,0,78,11,0,0,19,4005076992,39781,1,977802,39781,28015,5,0
2023-01-10 01:01:01.918393,1225,367,958,2666,1088,0,0,0,4638518,4466,848385,1890,S,16803,0,10,0,80,11,0,0,19,4005076992,39781,1,977802,39781,28015,5,0
2023-01-10 01:01:02.178807,1231,368,960,2708,1088,0,0,0,4641446,4503,853813,1925,S,16804,0,10,0,81,11,0,0,19,4005076992,39781,1,977802,39781,28015,5,0
2023-01-10 01:01:02.444439,1242,368,964,2743,1088,0,0,0,4644332,4539,860298,1964,R,16865,0,10,0,82,12,0,0,19,4005076992,39471,1,977802,39845,28094,5,0
2023-01-10 01:01:02.705424,1267,369,969,2750,1088,0,0,0,4646666,4567,865026,1994,S,17456,0,10,0,86,12,0,0,19,4005076992,39845,0,977802,39845,28094,5,0
2023-01-10 01:01:02.965096,1288,371,973,2759,1089,0,0,0,4649420,4601,869976,2027,S,17461,0,10,0,86,12,0,0,19,4005076992,39845,0,977802,39845,28094,5,0
2023-01-10 01:01:03.229582,1317,372,979,2768,1089,0,0,0,4652354,4637,876668,2069,S,17468,0,10,0,87,12,0,0,19,4005076992,39845,0,977802,39564,28094,5,0
