#com.miteksystems.android.mobiledeposit.brandable.safefcu
#./workspace/com.miteksystems.android.mobiledeposit.brandable.safefcu_0/com.miteksystems.android.mobiledeposit.brandable.safefcu.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 05:47:41.400051,895,320,872,1891,1129,0,0,0,223049,547,631716,709,S,3728,0,3,0,3,2,0,0,14,3291271168,26235,1,803948,26675,21387,5,0
2023-01-09 05:47:41.680911,907,320,876,1900,1130,0,0,0,226247,587,638264,747,S,4185,0,4,0,4,2,0,0,15,3294064640,26678,0,804215,26678,21387,5,0
2023-01-09 05:47:41.935703,917,324,879,1908,1130,0,0,0,228803,618,643390,781,S,4189,0,4,0,4,2,0,0,15,3294064640,26678,0,804215,26894,21577,5,0
2023-01-09 05:47:42.203026,925,324,883,1930,1132,0,0,0,231113,646,648059,811,S,4201,0,5,0,5,2,0,0,15,3294064640,26894,0,804215,26894,21577,5,0
2023-01-09 05:47:42.470168,934,325,885,1959,1132,0,0,0,234263,686,652956,843,S,4237,0,5,0,5,2,0,0,15,3294064640,26894,0,804439,27799,22471,5,0
2023-01-09 05:47:42.725420,949,325,888,1989,1133,0,0,0,236823,717,657716,874,S,4720,0,8,0,7,2,0,0,15,3294982144,28409,0,804439,28409,22977,5,0
2023-01-09 05:47:43.001099,971,326,894,1993,1133,0,0,0,238841,741,662303,902,S,4722,0,8,0,7,2,0,0,15,3294982144,28409,0,804439,28409,22977,5,0
2023-01-09 05:47:43.261425,986,329,900,2011,1134,0,0,0,241439,773,667112,933,S,4826,0,8,0,8,2,0,0,15,3294982144,28439,0,804444,28441,22990,5,0
2023-01-09 05:47:43.533071,1012,329,904,2019,1135,0,0,0,243947,804,671850,964,S,4864,0,9,0,9,2,0,0,15,3295002624,28441,0,804444,28441,22990,5,0
2023-01-09 05:47:43.805119,1028,329,908,2042,1135,0,0,0,247083,843,677017,1000,S,5297,0,10,0,11,3,0,0,15,3295264768,28443,1,804435,28407,23176,5,0
2023-01-09 05:47:44.055461,1054,332,912,2045,1135,0,0,0,249299,870,681782,1031,S,5300,0,10,0,11,3,0,0,15,3294965760,28407,1,804435,28407,23176,5,0
2023-01-09 05:47:44.320927,1075,334,918,2051,1135,0,0,0,251723,899,686884,1066,S,5302,0,10,0,12,3,0,0,15,3294965760,28407,1,804435,28407,23176,5,0
2023-01-09 05:47:44.576206,1098,334,921,2065,1135,0,0,0,254477,933,691855,1099,S,5307,0,10,0,15,3,0,0,15,3294965760,28407,1,804437,28407,23176,5,0
2023-01-09 05:47:44.833222,1120,334,926,2080,1135,0,0,0,257075,965,696712,1131,S,5322,0,10,0,15,3,0,0,15,3294965760,28470,0,804435,28470,23223,5,0
2023-01-09 05:47:45.088542,1140,335,929,2101,1135,0,0,0,259385,993,701588,1164,S,5349,0,10,0,17,4,0,0,15,3295096832,28470,0,804467,28470,23223,5,0
2023-01-09 05:47:45.354125,1151,335,932,2133,1135,0,0,0,262271,1029,706470,1196,S,5349,0,10,0,17,4,0,0,15,3295096832,28474,0,804467,28475,23223,5,0
