#com.mj.ball
#./workspace/com.mj.ball_0/app2473.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 23:23:19.090626,872,153,583,1856,867,0,0,0,1772684,3349,1580599,2965,S,7245,0,19,0,13,4,0,0,13,3301543936,27514,0,806553,28042,18815,5,0
2023-01-11 23:23:19.361504,891,158,592,1859,868,0,0,0,1778228,3418,1599085,3043,S,8262,0,19,0,14,4,0,0,13,3307835392,28503,0,808355,29125,18889,5,0
2023-01-11 23:23:19.611782,906,158,597,1877,870,0,0,0,1781162,3454,1606036,3084,S,9216,0,19,0,16,4,0,0,14,3313119232,29520,0,809411,29915,18889,5,0
2023-01-11 23:23:19.884402,915,158,600,1909,870,0,0,0,1784006,3489,1611765,3123,S,10067,0,19,0,18,4,0,0,14,3317444608,30309,1,810435,30507,18889,5,0
2023-01-11 23:23:20.144848,925,158,602,1944,870,0,0,0,1786742,3522,1618797,3165,S,11101,0,19,0,20,4,0,0,14,3321532416,30943,0,810921,31007,18937,5,0
2023-01-11 23:23:20.394981,936,159,606,1975,870,0,0,0,1794002,3613,1653517,3266,Z,11602,0,20,0,22,5,0,0,2,0,0,1,-1,-1,-1,-1,-1
2023-01-11 23:23:20.641290,959,160,615,1977,870,0,0,0,1796765,3646,1659155,3303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 23:23:20.911838,980,165,622,1983,870,0,0,0,1802010,3710,1673454,3371,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 23:23:21.172476,1006,166,627,1983,870,0,0,0,1803980,3734,1677089,3399,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-11 23:23:21.448061,1034,166,635,1988,870,0,0,0,1806992,3770,1685406,3443,S,129076,0,211,0,186,72,0,0,44,3621466112,65852,0,884147,65852,41775,5,0
2023-01-11 23:23:21.698234,1051,167,639,1996,870,0,0,0,1809506,3800,1693444,3482,S,29259,0,70,0,320,56,0,0,26,3454193664,56630,1,843317,56691,40740,5,0
2023-01-11 23:23:21.968807,1079,167,644,2012,870,0,0,0,1813623,3851,1703332,3535,S,30239,0,70,0,346,56,0,0,26,3456356352,57537,1,843837,57639,40783,5,0
2023-01-11 23:23:22.224091,1121,167,651,2017,871,0,0,0,1817521,3899,1711375,3584,S,30292,0,70,0,370,56,0,0,26,3456356352,57639,1,843837,57639,40783,5,0
2023-01-11 23:23:22.481905,1139,167,655,2020,871,0,0,0,1819594,3923,1714860,3609,S,30292,0,70,0,371,56,0,0,26,3456356352,57639,0,843837,57639,40783,5,0
2023-01-11 23:23:22.758287,1162,167,660,2033,871,0,0,0,1822268,3955,1722200,3645,S,30300,0,70,0,378,56,0,0,26,3456356352,57140,0,843837,56636,40799,5,0
2023-01-11 23:23:22.998131,1181,167,662,2036,871,0,0,0,1824290,3979,1725645,3672,R,30301,0,70,0,382,56,0,0,26,3456356352,56636,0,843837,56637,40799,5,0
2023-01-11 23:23:23.258569,1206,168,668,2039,871,0,0,0,1826662,4008,1730953,3702,S,30420,0,70,0,385,56,0,0,26,3456356352,56637,0,843837,56627,40799,5,0
2023-01-11 23:23:23.545765,1250,168,679,2045,871,0,0,0,1837455,4138,1754956,3832,S,30435,0,70,0,388,57,0,0,26,3446902784,54301,0,841529,54301,38495,5,0
2023-01-11 23:23:23.801539,1264,169,684,2045,871,0,0,0,1839794,4167,1759801,3861,S,30435,0,70,0,388,57,0,0,26,3446902784,54301,0,841529,54301,38495,5,0
2023-01-11 23:23:24.055412,1288,170,696,2045,871,0,0,0,1849090,4282,1782862,3980,S,30437,0,70,0,388,57,0,0,26,3446902784,54301,0,841529,54301,38495,5,0
