#com.mk_publisher.kulinar_vypechka
#./workspace/com.mk_publisher.kulinar_vypechka_0/com.mk_publisher.kulinar_vypechka.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 07:41:31.804189,1015,332,920,1209,1324,0,0,0,679454,1190,690305,1104,S,10253,0,1,0,8,5,0,0,15,3320528896,33818,0,810676,33818,22909,5,0
2023-01-09 07:41:32.075227,1020,333,923,1238,1325,0,0,0,683054,1235,697962,1152,S,10265,0,1,0,8,6,0,0,15,3320528896,34232,0,810676,34232,23291,5,0
2023-01-09 07:41:32.335138,1022,336,925,1278,1325,0,0,0,685676,1267,703866,1192,S,10265,0,1,0,8,6,0,0,15,3320528896,34232,0,810869,34444,23758,5,0
2023-01-09 07:41:32.844465,1040,337,932,1306,1326,0,0,0,690442,1326,714866,1252,S,14136,0,11,0,15,7,0,0,18,3340718080,43199,0,821921,47576,36173,5,0
2023-01-09 07:41:32.608159,1031,337,930,1306,1325,0,0,0,691121,1334,716620,1260,S,14125,0,11,0,15,7,0,0,18,3340697600,43206,0,822195,47958,36513,5,0
2023-01-09 07:41:33.119765,1046,337,933,1306,1326,0,0,0,691744,1341,718097,1268,D,14690,0,11,0,16,8,0,0,24,3354189824,45204,0,824058,49528,37439,5,0
2023-01-09 07:41:33.381547,1054,339,939,1306,1326,0,0,0,695422,1385,725645,1318,S,21442,1525,15,1,29,11,1,0,39,3388760064,52939,0,829504,55724,40223,5,0
2023-01-09 07:41:33.646869,1060,340,942,1306,1326,0,0,0,696730,1400,729127,1336,S,21848,1525,15,1,34,11,1,0,39,3391741952,53238,0,832858,58360,40310,5,0
2023-01-09 07:41:33.912606,1070,341,945,1306,1326,0,0,0,699244,1430,735264,1368,S,27255,1525,18,1,48,15,1,0,40,3411406848,58360,0,833379,58748,40310,5,0
2023-01-09 07:41:34.158021,1076,342,945,1306,1326,0,0,0,700860,1449,738226,1391,S,27684,1525,18,1,52,16,1,0,40,3413520384,58748,0,833382,58812,40310,5,0
2023-01-09 07:41:34.427400,1086,342,947,1307,1326,0,0,0,703434,1481,742841,1420,S,28403,1525,18,1,64,16,1,0,40,3413540864,58812,0,835231,60085,40458,5,0
2023-01-09 07:41:34.952245,1104,343,951,1313,1326,0,0,0,707462,1530,751158,1467,S,32891,1525,20,1,94,19,1,0,45,3427360768,62152,0,837482,62526,42500,5,0
2023-01-09 07:41:34.674280,1103,343,951,1313,1326,0,0,0,707060,1525,749813,1461,S,32891,1525,20,1,94,19,1,0,45,3427360768,62152,0,835318,60941,40885,5,0
2023-01-09 07:41:35.194981,1118,343,956,1319,1326,0,0,0,710548,1567,756465,1504,S,34750,1525,24,1,116,23,1,0,48,3424968704,61241,0,836312,61279,41033,5,0
2023-01-09 07:41:35.460305,1138,345,963,1319,1327,0,0,0,712320,1588,760637,1527,S,35122,1525,25,1,130,23,1,0,48,3425128448,61275,0,836321,61505,41204,5,0
2023-01-09 07:41:35.744331,1169,346,976,1325,1330,0,0,0,714828,1619,766530,1560,S,37796,1525,29,1,152,23,1,0,48,3435106304,63002,1,838649,63002,42419,5,0
2023-01-09 07:41:36.006337,1204,349,981,1325,1330,0,0,0,717880,1656,773339,1601,S,38003,1525,29,1,157,24,1,0,48,3437203456,63132,1,839164,63132,42419,5,0
2023-01-09 07:41:36.263094,1212,351,982,1325,1330,0,0,0,719184,1671,776098,1622,S,38028,1525,29,1,164,24,1,0,48,3437215744,63132,1,839169,63192,42419,5,0
2023-01-09 07:41:36.528320,1240,352,989,1336,1332,0,0,0,721782,1703,781026,1655,S,38250,1525,43,1,187,24,1,0,48,3437137920,63579,1,839268,63926,43026,5,0
2023-01-09 07:41:36.805888,1273,353,993,1345,1332,0,0,0,724498,1736,785864,1687,R,38988,1525,43,1,207,24,1,0,48,3437654016,63926,1,839508,64236,42387,5,0
