#com.mobile.app.writer.zhongguoyang
#./workspace/com.mobile.app.writer.zhongguoyang_0/app3807.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 16:19:54.820884,649,149,532,2757,914,0,0,0,419248,1638,755510,1744,S,3057,0,29,0,2,2,0,0,11,3284439040,25903,1,801865,25903,21007,5,0
2023-01-11 16:19:55.086558,659,150,536,2764,914,0,0,0,422002,1672,763325,1785,S,3072,0,30,0,3,2,0,0,11,3284439040,25920,1,801865,25920,21023,5,0
2023-01-11 16:19:55.362890,670,152,540,2768,914,0,0,0,424156,1698,767818,1813,S,3072,0,30,0,4,2,0,0,11,3284439040,25920,1,802652,26351,21372,5,0
2023-01-11 16:19:55.632690,680,154,544,2783,915,0,0,0,427702,1742,775385,1860,S,4268,0,39,0,6,3,0,0,14,3291578368,28632,0,803847,28778,23487,5,0
2023-01-11 16:19:55.888011,690,158,547,2785,915,0,0,0,429866,1767,779470,1894,S,4516,0,39,0,7,4,0,0,14,3292557312,28778,0,803958,28373,23074,5,0
2023-01-11 16:19:56.152374,730,162,553,2786,915,0,0,0,432856,1803,788209,1944,S,4559,0,39,0,8,4,0,0,16,3293011968,28373,0,804232,28374,23074,5,0
2023-01-11 16:19:56.412680,756,164,555,2786,915,0,0,0,435667,1837,794163,1983,S,4575,0,39,0,8,4,0,0,17,3294134272,28374,0,804232,28374,23074,5,0
2023-01-11 16:19:56.686467,778,166,559,2786,915,0,0,0,436290,1844,795550,1990,S,4575,0,39,0,8,4,0,0,17,3294134272,28374,0,803958,28588,23275,5,0
2023-01-11 16:19:56.936702,829,171,567,2790,915,0,0,0,442067,1884,802852,2038,S,4580,0,39,0,9,4,0,0,16,3292667904,28506,0,803874,28506,23191,5,0
2023-01-11 16:19:57.202245,832,171,568,2791,915,0,0,0,442968,1895,805052,2052,S,4584,0,39,0,9,4,0,0,16,3292667904,28506,0,803874,28506,23191,5,0
2023-01-11 16:19:57.474118,856,171,572,2805,915,0,0,0,445894,1930,810662,2093,S,4587,0,39,0,9,4,0,0,16,3292667904,28506,0,803874,28506,23191,5,0
2023-01-11 16:19:57.729388,857,171,574,2851,916,0,0,0,448780,1966,816264,2131,S,4709,0,39,0,9,4,0,0,17,3293790208,28793,1,804148,28793,23405,5,0
2023-01-11 16:19:57.999974,859,171,576,2897,916,0,0,0,451402,1998,821885,2169,S,4710,0,39,0,9,4,0,0,17,3293790208,28793,1,804148,28793,23405,5,0
2023-01-11 16:19:58.261528,873,172,579,2926,916,0,0,0,454306,2034,827861,2209,S,4982,0,39,0,10,4,0,0,17,3293790208,28811,1,804148,28811,23421,5,0
2023-01-11 16:19:58.521536,891,172,583,2945,916,0,0,0,456970,2067,833950,2244,S,5086,0,39,0,11,5,0,0,17,3293921280,28812,0,804180,28814,23421,5,0
2023-01-11 16:19:58.797215,907,172,587,2975,916,0,0,0,459304,2095,838812,2276,S,5331,0,39,0,12,5,0,0,17,3293921280,28872,0,804180,28872,23459,5,0
2023-01-11 16:19:59.052419,909,173,588,3017,916,0,0,0,461794,2125,843870,2310,S,5331,0,39,0,12,5,0,0,17,3293921280,28872,0,804180,28872,23459,5,0
2023-01-11 16:19:59.307837,925,173,591,3048,916,0,0,0,464392,2157,848946,2345,S,5414,0,39,0,12,5,0,0,17,3293921280,28872,1,804180,28872,23459,5,0
2023-01-11 16:19:59.583522,941,174,598,3067,916,0,0,0,469545,2219,858771,2413,S,5414,0,39,0,12,5,0,0,17,3293921280,28872,0,804180,28872,23459,5,0
2023-01-11 16:19:59.843809,946,174,601,3106,916,0,0,0,472563,2257,863961,2449,S,5415,0,39,0,12,5,0,0,17,3293921280,28872,1,803743,28538,23108,5,0
2023-01-11 16:20:00.104157,974,174,608,3121,917,0,0,0,476322,2300,871080,2492,S,5441,0,39,0,12,5,0,0,17,3292131328,28538,1,803743,28538,23108,5,0
2023-01-11 16:20:00.360220,996,175,612,3121,917,0,0,0,476752,2305,872311,2497,S,5441,0,39,0,12,5,0,0,17,3292131328,28538,1,803748,28538,23108,5,0
2023-01-11 16:20:00.633545,1029,175,616,3121,917,0,0,0,479502,2338,878113,2536,S,5452,0,39,0,12,5,0,0,17,3292151808,28538,1,803748,28538,23108,5,0
2023-01-11 16:20:00.884569,1071,179,623,3122,917,0,0,0,484385,2386,885398,2583,S,5456,0,39,0,12,5,0,0,16,3291029504,28598,1,803474,28598,23156,5,0
2023-01-11 16:20:01.160061,1093,181,626,3122,917,0,0,0,485792,2403,887373,2597,S,5456,0,39,0,12,5,0,0,16,3291029504,28598,1,803474,28598,23156,5,0
2023-01-11 16:20:01.404852,1119,183,630,3123,917,0,0,0,488632,2438,894089,2639,S,5456,0,39,0,12,5,0,0,16,3291029504,28598,1,803474,28598,23156,5,0
2023-01-11 16:20:01.680007,1142,187,634,3128,918,0,0,0,491410,2472,899470,2676,S,5456,0,39,0,12,5,0,0,16,3291029504,28598,1,803474,28598,23156,5,0
