#com.mogo.aiqingllk
#./workspace/com.mogo.aiqingllk_0/app4577.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 15:23:11.476040,872,146,482,2065,793,0,0,0,8873114,6778,766284,1890,S,3264,0,56,0,4,1,0,0,14,1124020224,24625,0,274419,24995,20552,5,0
2023-01-11 15:23:11.729143,889,148,484,2065,794,0,0,0,9211995,7052,774867,1946,S,3280,0,56,0,4,1,0,0,14,1124020224,24995,0,274419,25101,20656,5,0
2023-01-11 15:23:12.024083,898,150,488,2068,794,0,0,0,9228513,7088,780684,1978,S,3310,0,58,0,4,2,0,0,14,1124544512,25226,0,274547,25226,20770,5,0
2023-01-11 15:23:12.274402,906,151,490,2090,794,0,0,0,10300884,7882,807345,2101,S,3318,0,58,0,5,2,0,0,14,1124544512,25226,0,274547,25226,20770,5,0
2023-01-11 15:23:12.520672,910,152,492,2126,796,0,0,0,10303770,7918,812468,2136,S,3320,0,58,0,5,2,0,0,14,1124544512,25226,1,274547,25226,20770,5,0
2023-01-11 15:23:12.781022,913,152,494,2166,796,0,0,0,11152206,8537,821546,2212,S,3343,0,58,0,5,2,0,0,14,1124544512,25226,1,274548,25516,20999,5,0
2023-01-11 15:23:13.036400,918,152,497,2215,798,0,0,0,12742612,9681,831194,2312,S,3423,0,59,0,6,2,0,0,14,1124548608,25516,0,274751,26310,21681,5,0
2023-01-11 15:23:13.316956,927,153,501,2232,802,0,0,0,12946097,9848,837020,2353,R,3923,0,81,0,7,2,0,0,14,1125695488,26591,1,275001,27618,22736,5,0
2023-01-11 15:23:13.562302,959,155,506,2235,803,0,0,0,13588155,10324,843906,2406,S,4264,0,82,0,9,3,0,0,14,1126404096,27618,1,275001,27635,22752,5,0
2023-01-11 15:23:13.835627,981,155,509,2242,803,0,0,0,13590305,10350,849177,2439,S,4384,0,82,0,9,3,0,0,14,1126404096,27635,1,275001,27635,22752,5,0
2023-01-11 15:23:14.102001,988,155,511,2278,805,0,0,0,13593389,10389,855315,2474,S,4431,0,83,0,10,3,0,0,14,1126404096,27636,0,275001,27636,22752,5,0
2023-01-11 15:23:14.352019,995,156,513,2315,805,0,0,0,15836305,12004,874728,2548,R,4804,0,84,0,12,3,0,0,14,1127288832,27953,0,279574,32561,27324,5,0
2023-01-11 15:23:14.623852,1051,157,524,2318,805,0,0,0,16247777,12329,882270,2598,D,6285,0,131,0,14,5,0,0,18,1145135104,33025,1,282327,35034,29721,5,0
2023-01-11 15:23:14.874138,1052,157,524,2318,805,0,0,0,16248868,12342,884439,2614,D,6476,0,164,0,15,6,0,0,21,1149415424,33667,1,283812,35723,30377,5,0
2023-01-11 15:23:15.150467,1064,169,535,2318,812,0,0,0,16608716,12625,894175,2668,S,7575,0,386,0,18,8,0,0,38,1180917760,40038,1,290422,42347,35524,5,0
2023-01-11 15:23:15.405905,1087,175,542,2319,814,0,0,0,16610086,12641,896799,2687,S,8880,0,401,0,21,9,0,0,42,1189560320,42325,1,290565,43366,36502,5,0
2023-01-11 15:23:15.671447,1125,176,550,2320,817,0,0,0,16952853,12924,904902,2744,S,9265,0,423,0,25,10,0,0,42,1188986880,43258,0,290604,43598,36578,5,0
2023-01-11 15:23:15.941930,1145,176,553,2320,817,0,0,0,16953660,12933,906446,2753,S,9319,0,426,0,26,10,0,0,42,1188995072,43347,0,290604,43679,36633,5,0
2023-01-11 15:23:16.199321,1179,179,563,2320,818,0,0,0,16972007,12975,911283,2784,S,9432,0,429,0,28,10,0,0,42,1190313984,43679,0,290890,44005,36954,5,0
2023-01-11 15:23:16.459476,1189,182,570,2320,822,0,0,0,16974317,13003,915896,2813,S,9880,0,429,0,30,12,0,0,42,1191485440,44150,0,290890,44023,36970,5,0
2023-01-11 15:23:16.732033,1206,192,577,2325,824,0,0,0,16976915,13035,920667,2844,S,10018,0,429,0,32,12,0,0,42,1191485440,44042,1,290890,44042,36986,5,0
2023-01-11 15:23:16.992463,1217,194,594,2330,837,0,0,0,17001125,13084,925714,2880,S,10116,0,429,0,35,13,0,0,42,1191485440,44059,0,290890,44059,37001,5,0
2023-01-11 15:23:17.262242,1223,195,596,2347,850,0,0,0,17004011,13120,932212,2920,S,10140,0,429,0,36,13,0,0,42,1191485440,44075,0,290890,44075,37017,5,0
2023-01-11 15:23:17.512392,1230,197,603,2365,865,0,0,0,17016713,13160,937338,2956,S,10212,0,429,0,37,13,0,0,42,1191485440,44076,0,290890,44076,37017,5,0
2023-01-11 15:23:17.777823,1234,209,607,2373,876,0,0,0,17019509,13195,942176,2988,S,10230,0,429,0,38,14,0,0,42,1191485440,44076,0,290890,44093,37032,5,0
2023-01-11 15:23:18.040489,1248,210,613,2374,879,0,0,0,17029253,13232,946900,3019,S,10332,0,430,0,39,14,0,0,42,1191485440,44093,0,290890,44278,37203,5,0
2023-01-11 15:23:18.305987,1259,211,617,2375,881,0,0,0,17031521,13259,951645,3050,R,10371,0,430,0,41,14,0,0,42,1191485440,44278,1,290419,43631,37024,5,0
2023-01-11 15:23:18.565028,1280,211,621,2378,883,0,0,0,17059511,13303,957053,3091,S,10816,0,430,0,42,16,0,0,42,1189556224,43631,0,290419,43631,37024,5,0
2023-01-11 15:23:18.845773,1290,218,626,2385,884,0,0,0,17062265,13337,962481,3130,S,10826,0,430,0,43,16,0,0,42,1189556224,43631,0,290419,43631,37024,5,0
2023-01-11 15:23:19.100962,1295,229,630,2402,887,0,0,0,17064887,13369,967680,3166,S,10827,0,430,0,43,16,0,0,42,1189556224,43631,0,290419,43646,37039,5,0
2023-01-11 15:23:19.356311,1300,244,635,2420,889,0,0,0,17082114,13414,973216,3207,S,10946,0,430,0,44,17,0,0,42,1189556224,43683,0,290419,43683,37071,5,0
2023-01-11 15:23:19.631933,1315,260,642,2424,892,0,0,0,17084670,13445,978301,3242,S,11044,0,431,0,46,17,0,0,43,1190645760,43685,0,290685,43685,37071,5,0
2023-01-11 15:23:19.899334,1337,262,647,2429,895,0,0,0,17087214,13476,983320,3276,S,11045,0,431,0,47,17,0,0,43,1190645760,43685,0,290685,43712,37085,5,0
2023-01-11 15:23:20.154664,1348,267,652,2446,902,0,0,0,17090596,13518,989092,3319,S,11099,0,431,0,49,17,0,0,43,1190645760,43716,1,290685,43721,37090,5,0
2023-01-11 15:23:20.418027,1370,273,656,2449,903,0,0,0,17092458,13540,993530,3346,S,11164,0,431,0,49,18,0,0,43,1190645760,43721,1,290685,43722,37090,5,0
