#com.mogo.katongllk
#./workspace/com.mogo.katongllk_0/app3078.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 17:56:40.970502,723,145,558,2453,840,0,0,0,1614001,2413,793086,1764,S,3868,729,70,0,2,5,0,0,18,1130651648,25360,0,276038,25360,20495,5,0
2023-01-11 17:56:41.236563,732,146,562,2454,840,0,0,0,1622503,2453,798662,1798,S,3868,729,70,0,2,5,0,0,18,1130651648,25360,0,276038,25360,20495,5,0
2023-01-11 17:56:41.501840,744,147,565,2457,840,0,0,0,1624927,2482,804943,1831,S,3868,729,70,0,2,5,0,0,18,1130651648,25360,0,276038,25487,20613,5,0
2023-01-11 17:56:41.763196,754,149,569,2463,840,0,0,0,1627327,2511,810134,1866,S,3895,729,72,0,3,5,0,0,18,1130651648,25487,0,276038,25487,20613,5,0
2023-01-11 17:56:42.012204,760,149,571,2495,840,0,0,0,1630216,2546,815263,1901,S,4246,729,73,0,4,6,0,0,18,1131458560,26553,0,276235,26553,21615,5,0
2023-01-11 17:56:42.282632,764,149,574,2532,841,0,0,0,1632838,2578,820453,1937,S,4249,729,74,0,4,6,0,0,18,1131458560,26553,0,276363,26606,21616,5,0
2023-01-11 17:56:42.543036,768,149,575,2572,845,0,0,0,1635727,2613,826669,1978,S,4357,729,76,0,4,6,0,0,18,1131982848,26926,1,276363,26926,21875,5,0
2023-01-11 17:56:42.797692,770,149,577,2606,845,0,0,0,1638349,2645,832375,2017,S,4357,729,76,0,4,6,0,0,18,1131982848,26926,1,277368,27927,22701,5,0
2023-01-11 17:56:43.057683,789,153,585,2628,846,0,0,0,1641329,2682,838334,2050,S,7858,1449,92,0,12,6,0,0,22,1147150336,30063,0,280066,30129,23801,5,0
2023-01-11 17:56:43.310452,809,158,588,2628,847,0,0,0,1643437,2707,843105,2078,S,7912,1449,93,0,15,7,0,0,22,1147150336,30129,0,279722,30561,24083,5,0
