#com.mortgagemapp.bradfish
#./workspace/com.mortgagemapp.bradfish_0/com.mortgagemapp.bradfish.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 08:13:31.605601,888,302,869,1823,1098,0,0,0,223078,631,662589,777,D,5860,0,80,0,5,2,0,0,24,3327164416,33018,0,813638,34821,29717,5,0
2023-01-09 08:13:31.867070,895,302,872,1823,1099,0,0,0,225162,656,667130,805,S,6628,0,155,0,7,3,0,0,34,3335016448,35476,1,818137,38931,32580,5,0
2023-01-09 08:13:32.145683,901,302,876,1823,1101,0,0,0,227874,689,673700,843,S,8912,0,189,0,9,5,0,0,39,3351089152,39339,0,817948,40536,33711,5,0
2023-01-09 08:13:32.413832,915,304,881,1823,1102,0,0,0,230662,722,680147,878,S,9362,0,197,0,10,6,0,0,39,3350315008,40536,1,816506,39348,32499,5,0
2023-01-09 08:13:32.669220,920,304,883,1823,1103,0,0,0,232278,741,682998,899,S,9369,0,198,0,10,6,0,0,39,3344408576,39348,1,817018,39358,32499,5,0
2023-01-09 08:13:32.909547,925,311,887,1824,1107,0,0,0,234588,769,687835,930,S,9431,0,203,0,11,7,0,0,39,3346509824,39358,0,817340,39599,32730,5,0
2023-01-09 08:13:33.180393,930,313,900,1828,1129,0,0,0,237318,803,692821,964,S,9625,0,210,0,13,7,0,0,39,3348348928,39875,1,819758,41452,34767,5,0
2023-01-09 08:13:33.450584,939,314,910,1829,1137,0,0,0,239850,834,697563,995,S,11726,0,215,0,16,10,0,0,39,3361927168,42373,1,820783,42390,35640,5,0
2023-01-09 08:13:33.695882,946,314,913,1849,1140,0,0,0,242670,869,702821,1032,S,11754,0,215,0,16,10,0,0,39,3361927168,42390,0,820783,42391,35640,5,0
2023-01-09 08:13:33.963650,956,316,918,1872,1141,0,0,0,245400,903,707809,1066,S,12084,0,215,0,18,10,0,0,39,3361927168,42426,1,820783,42443,35688,5,0
2023-01-09 08:13:34.213123,986,317,922,1881,1141,0,0,0,248022,935,712864,1101,S,12314,0,215,0,19,10,0,0,39,3361927168,42509,1,820783,42509,35735,5,0
2023-01-09 08:13:34.463273,990,317,925,1915,1141,0,0,0,250356,963,717811,1135,S,12314,0,215,0,19,10,0,0,39,3361927168,42509,1,820783,42521,35746,5,0
2023-01-09 08:13:34.734036,1000,318,927,1947,1141,0,0,0,252690,991,722761,1168,S,12408,0,215,0,20,10,0,0,39,3361927168,42524,0,820783,42524,35746,5,0
2023-01-09 08:13:34.999364,1016,318,931,1974,1141,0,0,0,255420,1025,727579,1199,S,12437,0,216,0,21,10,0,0,39,3361927168,42540,0,820815,42540,35762,5,0
2023-01-09 08:13:35.254766,1019,319,934,2016,1141,0,0,0,258174,1059,732511,1231,S,12466,0,216,0,22,10,0,0,39,3362058240,42540,0,820815,42540,35762,5,0
