#com.mouseperks.mouseperksplus
#./workspace/com.mouseperks.mouseperksplus_2/com.mouseperks.mouseperksplus89A7644393E976B8739ABC12AED3C88C30DDF8DE.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:18:32.292083,885,297,871,1859,1166,0,0,0,984655,1320,690005,1056,S,10258,0,16,0,20,5,0,0,15,3322970112,36681,0,811274,36681,24756,5,0
2023-01-10 02:18:32.557816,896,298,875,1859,1166,0,0,0,987211,1351,694860,1088,S,10264,0,16,0,22,5,0,0,15,3322978304,36681,0,811278,36028,24756,5,0
2023-01-10 02:18:32.810951,903,298,879,1859,1166,0,0,0,989635,1380,700833,1119,S,11018,0,16,0,26,6,0,0,15,3323002880,36453,0,811286,36453,24756,5,0
2023-01-10 02:18:33.347070,916,299,884,1859,1166,0,0,0,992595,1415,706141,1154,S,11062,0,16,0,32,7,0,0,15,3323027456,36453,0,811288,36516,24756,5,0
2023-01-10 02:18:33.087838,907,299,882,1859,1166,0,0,0,993333,1424,708958,1164,S,11043,0,16,0,28,6,0,0,15,3323011072,36453,0,811292,36496,24756,5,0
2023-01-10 02:18:33.598293,920,300,886,1859,1166,0,0,0,996505,1462,716168,1207,S,11077,0,16,0,32,8,0,0,15,3323035648,36516,0,811299,36673,24901,5,0
2023-01-10 02:18:33.869317,934,301,889,1859,1166,0,0,0,998551,1486,720311,1230,S,11892,0,17,0,36,9,0,0,15,3323080704,36673,0,811299,36673,24901,5,0
2023-01-10 02:18:34.137750,939,302,890,1859,1166,0,0,0,1000233,1506,723228,1252,S,11892,0,17,0,36,9,0,0,15,3323080704,36673,0,811299,36673,24901,5,0
2023-01-10 02:18:34.394067,948,304,891,1859,1166,0,0,0,1002519,1534,727527,1277,S,11892,0,17,0,36,9,0,0,15,3323080704,36673,0,812742,37742,26347,5,0
2023-01-10 02:18:34.644438,962,304,894,1859,1166,0,0,0,1006114,1578,734608,1320,S,14085,0,18,0,38,11,0,0,15,3331944448,38468,0,813463,38468,27068,5,0
