#com.nanolabs.preguntalealbastardo
#./workspace/com.nanolabs.preguntalealbastardo_0/com.nanolabs.preguntalealbastardo.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:41:53.783725,929,319,894,1762,1317,0,0,0,345923,644,648592,702,S,9890,0,2,0,19,5,0,0,15,3317768192,34298,1,810002,34298,23445,5,0
2023-01-10 01:41:54.049419,933,319,898,1793,1318,0,0,0,348989,682,655074,739,S,9902,0,2,0,19,5,0,0,15,3317768192,34298,1,810002,34298,23445,5,0
2023-01-10 01:41:54.320115,940,323,903,1812,1319,0,0,0,351875,718,660424,776,S,9902,0,2,0,19,5,0,0,15,3317768192,34298,0,810002,34298,23445,5,0
2023-01-10 01:41:54.575277,943,325,904,1850,1319,0,0,0,354761,754,665611,812,S,9904,0,2,0,19,5,0,0,15,3317768192,34299,0,810002,34299,23446,5,0
2023-01-10 01:41:54.835704,945,325,906,1895,1319,0,0,0,357647,790,670840,849,S,9923,0,2,0,19,5,0,0,15,3317768192,34299,0,810515,35193,24171,5,0
2023-01-10 01:41:55.116184,963,326,910,1922,1320,0,0,0,360467,825,675984,885,S,11508,0,5,0,34,5,0,0,15,3319910400,35545,0,810525,35545,24171,5,0
2023-01-10 01:41:55.370001,984,327,913,1934,1320,0,0,0,363155,858,681082,920,S,11509,0,5,0,34,5,0,0,15,3319910400,35545,1,810525,35545,24171,5,0
2023-01-10 01:41:55.630346,1012,328,919,1950,1320,0,0,0,365843,891,685960,952,S,11794,0,5,0,36,5,0,0,15,3320172544,36424,0,810589,36424,25027,5,0
2023-01-10 01:41:55.896699,1026,328,922,1958,1321,0,0,0,368531,924,691061,987,S,11794,0,5,0,36,5,0,0,15,3320172544,36424,1,810572,36407,25011,5,0
2023-01-10 01:41:56.152964,1038,328,926,1981,1321,0,0,0,370931,953,696072,1021,S,11830,0,5,0,37,5,0,0,15,3320102912,36407,0,810572,36407,25011,5,0
2023-01-10 01:41:56.418478,1059,329,930,2003,1321,0,0,0,373817,989,701305,1058,S,11830,0,5,0,37,5,0,0,15,3320102912,36407,1,810572,36407,25011,5,0
2023-01-10 01:41:56.696526,1068,329,932,2038,1321,0,0,0,376439,1021,706275,1091,S,11830,0,5,0,37,5,0,0,15,3320102912,36407,0,810572,36407,25011,5,0
2023-01-10 01:41:56.956949,1071,329,935,2078,1323,0,0,0,378905,1051,711156,1123,S,11831,0,5,0,37,5,0,0,15,3320102912,36407,0,810572,36407,25011,5,0
2023-01-10 01:41:57.212276,1073,329,937,2120,1323,0,0,0,381923,1089,716152,1156,S,11831,0,5,0,37,5,0,0,15,3320102912,36407,0,810572,36407,25011,5,0
2023-01-10 01:41:57.477848,1077,329,939,2164,1324,0,0,0,384479,1120,721082,1188,S,11835,0,5,0,37,5,0,0,15,3320233984,36407,0,810604,36407,25011,5,0
2023-01-10 01:41:57.733201,1084,330,942,2199,1324,0,0,0,387101,1152,726408,1226,S,11835,0,5,0,38,5,0,0,15,3320233984,36407,0,810604,36407,25011,5,0
2023-01-10 01:41:57.998657,1087,330,943,2248,1324,0,0,0,389633,1183,731266,1258,S,11835,0,5,0,38,5,0,0,15,3320233984,36407,0,810604,36407,25011,5,0
2023-01-10 01:41:58.259035,1091,331,946,2284,1328,0,0,0,392519,1219,736148,1290,S,11835,0,5,0,38,5,0,0,15,3320233984,36407,1,810604,36407,25011,5,0
2023-01-10 01:41:58.514336,1093,331,948,2327,1329,0,0,0,394961,1249,740958,1322,S,11835,0,5,0,38,5,0,0,15,3320233984,36407,0,810604,36407,25011,5,0
2023-01-10 01:41:58.785446,1104,331,951,2364,1330,0,0,0,397559,1281,745972,1356,S,11838,0,5,0,38,5,0,0,15,3320233984,36407,0,810604,36407,25011,5,0
2023-01-10 01:41:59.030539,1114,336,955,2373,1332,0,0,0,400001,1311,751178,1393,S,11846,0,5,0,38,5,0,0,15,3320233984,36407,0,810604,36407,25011,5,0
2023-01-10 01:41:59.300047,1127,336,958,2384,1332,0,0,0,402755,1345,757032,1433,S,11846,0,5,0,38,5,0,0,15,3320233984,36407,0,810604,36407,25011,5,0
2023-01-10 01:41:59.556847,1137,336,961,2390,1332,0,0,0,405377,1377,762520,1469,S,11846,0,5,0,39,5,0,0,15,3320233984,36407,0,810604,35620,25043,5,0
2023-01-10 01:41:59.820273,1165,337,967,2396,1332,0,0,0,408041,1410,767900,1504,S,12062,0,5,0,40,5,0,0,15,3320233984,35620,1,810604,35620,25043,5,0
2023-01-10 01:42:00.106972,1174,337,970,2420,1332,0,0,0,410795,1444,774263,1542,S,12063,0,5,0,40,5,0,0,15,3320233984,35620,1,810604,35620,25043,5,0
2023-01-10 01:42:00.364081,1176,337,971,2459,1333,0,0,0,413591,1479,779055,1573,S,12063,0,5,0,40,5,0,0,15,3320233984,35620,1,810604,35620,25043,5,0
2023-01-10 01:42:00.603982,1179,337,975,2494,1336,0,0,0,416213,1511,784069,1607,S,12063,0,5,0,40,6,0,0,15,3320233984,35620,1,810604,35620,25043,5,0
2023-01-10 01:42:00.860587,1188,338,978,2528,1336,0,0,0,418457,1538,788837,1638,S,12370,0,5,0,41,7,0,0,15,3320496128,35743,1,810668,35743,25151,5,0
2023-01-10 01:42:01.125289,1211,338,982,2543,1336,0,0,0,421145,1571,795134,1675,S,12371,0,5,0,41,7,0,0,15,3320496128,35743,1,810668,35743,25151,5,0
2023-01-10 01:42:01.378990,1223,338,986,2579,1336,0,0,0,423677,1602,799926,1706,S,12658,0,5,0,43,7,0,0,15,3320496128,35756,1,810668,35756,25151,5,0
2023-01-10 01:42:01.639430,1245,339,988,2582,1336,0,0,0,425855,1628,804670,1737,S,12669,0,5,0,43,7,0,0,15,3320496128,35756,1,810760,35821,25202,5,0
