#com.ness.identificadorgt
#./workspace/com.ness.identificadorgt_1/com.ness.identificadorgtc8af76cf840781887160e947833fbdd8d2482fb2.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:52:12.662028,545,118,622,1030,1082,0,0,0,806925,823,597818,562,S,12487,0,4,0,49,6,0,0,15,3329269760,38080,0,812810,38080,25138,5,0
2023-01-10 03:52:12.937807,551,122,627,1030,1082,0,0,0,811797,884,607418,625,S,12487,0,4,0,49,6,0,0,15,3329269760,38080,0,812813,37948,25203,5,0
2023-01-10 03:52:13.193954,555,125,629,1030,1082,0,0,0,813975,910,612053,653,S,12850,0,4,0,54,6,0,0,15,3329282048,37948,1,812813,37948,25203,5,0
2023-01-10 03:52:13.470756,566,141,640,1030,1082,0,0,0,817322,951,618828,695,S,12864,0,4,0,56,7,0,0,15,3329282048,38167,1,813045,39390,26149,5,0
2023-01-10 03:52:13.731019,583,150,647,1030,1082,0,0,0,818942,970,621516,715,S,13909,0,4,0,67,7,0,0,15,3330224128,39390,1,813045,39390,26149,5,0
2023-01-10 03:52:13.991700,610,154,655,1030,1082,0,0,0,821399,999,627469,747,D,14194,0,6,0,77,8,0,0,15,3330232320,39921,1,813045,39792,26483,5,0
2023-01-10 03:52:14.245175,627,156,662,1030,1082,0,0,0,823847,1028,632213,778,S,14421,0,7,0,81,8,0,0,15,3330232320,39792,1,813045,39858,26536,5,0
2023-01-10 03:52:14.510513,656,159,670,1030,1082,0,0,0,826341,1058,637106,811,S,14429,0,8,0,87,10,0,0,15,3330232320,39039,1,813311,39081,26535,5,0
2023-01-10 03:52:14.777510,677,161,677,1030,1082,0,0,0,828928,1089,642142,843,S,14552,0,9,0,93,11,0,0,16,3331321856,39081,1,813311,39082,26535,5,0
2023-01-10 03:52:15.042529,704,166,685,1030,1082,0,0,0,829955,1101,645355,858,S,14553,0,9,0,93,11,0,0,16,3331321856,39081,1,813311,39082,26535,5,0
2023-01-10 03:52:15.320276,724,168,691,1030,1082,0,0,0,831944,1125,648603,884,S,14600,0,9,0,95,11,0,0,16,3331321856,39082,1,813328,39892,26565,5,0
2023-01-10 03:52:15.580710,749,174,703,1030,1082,0,0,0,835203,1165,654922,920,S,15642,0,9,0,102,13,0,0,16,3331391488,39892,1,813328,39892,26565,5,0
2023-01-10 03:52:15.846275,779,181,711,1030,1082,0,0,0,837111,1188,658994,943,S,15642,0,9,0,103,13,0,0,16,3331391488,39892,1,813328,39892,26565,5,0
