#com.netaddictfree.nafbrowser
#./workspace/com.netaddictfree.nafbrowser_0/com.netaddictfree.nafbrowser.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:00:55.837132,913,358,867,1644,1164,0,0,0,1274642,1341,696898,888,S,14919,0,196,0,28,11,0,0,42,3381178368,50385,1,826329,51088,36699,5,0
2023-01-10 04:00:56.108158,921,359,869,1644,1164,0,0,0,1276532,1363,701165,912,S,15379,0,207,0,38,14,0,0,42,3384635392,51088,1,826334,51154,36699,5,0
2023-01-10 04:00:56.627934,932,362,875,1644,1164,0,0,0,1279914,1403,709548,960,S,16240,0,207,0,49,15,0,0,42,3387658240,51908,1,827067,52457,37602,5,0
2023-01-10 04:00:56.373661,928,361,872,1644,1164,0,0,0,1278890,1391,707188,944,S,15922,0,207,0,48,15,0,0,42,3387658240,51644,1,827067,52193,37538,5,0
2023-01-10 04:00:56.893455,942,366,880,1644,1164,0,0,0,1283180,1442,716489,1001,S,21696,0,223,0,66,18,0,0,42,3421679616,57543,1,836029,58383,39804,5,0
2023-01-10 04:00:57.138152,947,366,882,1644,1164,0,0,0,1285448,1469,720788,1026,S,22790,0,230,0,67,19,0,0,44,3424374784,58383,1,837573,59519,39804,5,0
2023-01-10 04:00:57.429421,954,367,885,1644,1164,0,0,0,1287650,1495,725446,1055,S,23949,0,230,0,74,20,0,0,44,3430690816,59519,1,837851,59693,39971,5,0
2023-01-10 04:00:57.695444,959,369,887,1644,1164,0,0,0,1289242,1514,727963,1072,S,24004,0,231,0,85,20,0,0,45,3431837696,59693,1,837853,59693,39971,5,0
2023-01-10 04:00:57.932901,967,370,891,1659,1167,0,0,0,1291576,1542,732909,1105,S,24009,0,231,0,89,21,0,0,45,3431845888,59693,0,837853,59693,39971,5,0
2023-01-10 04:00:58.198756,978,371,894,1682,1167,0,0,0,1294396,1577,737987,1140,S,24159,0,231,0,90,21,0,0,45,3431845888,59845,1,837055,59115,40128,5,0
2023-01-10 04:00:58.476449,992,371,898,1698,1167,0,0,0,1296961,1608,743078,1175,S,24521,0,234,0,98,21,0,0,45,3428593664,59180,1,837059,59180,40144,5,0
2023-01-10 04:00:58.726051,1023,372,902,1704,1167,0,0,0,1299295,1636,747912,1207,S,24705,0,234,0,99,21,0,0,45,3428593664,59246,0,837059,59278,40212,5,0
2023-01-10 04:00:58.991699,1043,376,906,1718,1167,0,0,0,1301893,1668,752928,1241,S,25005,0,234,0,101,21,0,0,45,3428593664,59345,1,837059,59362,40228,5,0
2023-01-10 04:00:59.261926,1061,377,909,1730,1167,0,0,0,1304137,1695,757674,1272,S,25150,0,234,0,102,21,0,0,45,3428593664,59362,0,837059,59362,40228,5,0
2023-01-10 04:00:59.527559,1065,377,912,1771,1167,0,0,0,1306759,1727,762804,1307,S,25209,0,234,0,103,21,0,0,45,3428724736,59374,1,837091,59374,40239,5,0
2023-01-10 04:00:59.787886,1071,377,915,1813,1167,0,0,0,1309645,1763,767976,1343,S,25280,0,234,0,103,21,0,0,45,3428724736,59375,0,837091,59369,40255,5,0
2023-01-10 04:01:00.048394,1075,378,917,1852,1167,0,0,0,1312465,1798,773082,1378,S,25307,0,234,0,103,22,0,0,45,3428724736,59369,0,837091,59369,40255,5,0
2023-01-10 04:01:00.303954,1078,378,919,1895,1169,0,0,0,1315153,1831,778345,1415,S,25310,0,234,0,104,22,0,0,45,3428724736,59369,1,837091,59369,40255,5,0
2023-01-10 04:01:00.569373,1083,379,922,1933,1170,0,0,0,1317775,1863,783523,1451,S,25325,0,234,0,104,22,0,0,45,3428724736,59369,0,837091,59369,40255,5,0
2023-01-10 04:01:00.829886,1089,379,925,1977,1170,0,0,0,1320463,1896,788739,1487,S,25413,0,234,0,105,23,0,0,45,3428724736,59386,0,837091,57583,40272,5,0
2023-01-10 04:01:01.080011,1093,379,926,2012,1171,0,0,0,1323151,1929,793895,1522,S,25449,0,236,0,107,23,0,0,45,3428724736,57600,0,837091,57601,40288,5,0
2023-01-10 04:01:01.350618,1098,380,929,2057,1171,0,0,0,1325707,1960,799657,1561,S,25497,0,237,0,107,23,0,0,45,3428724736,57607,0,837091,57607,40293,5,0
