#com.netspark.android.graphic
#./workspace/com.netspark.android.graphic_0/com.netspark.android.graphic.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:48:08.079986,923,319,851,1729,1187,0,0,0,170124,553,656140,732,S,11361,0,5,0,28,6,0,0,18,3329691648,36824,0,812913,36824,25287,5,0
2023-01-10 02:48:08.350197,933,320,854,1733,1187,0,0,0,173412,594,662893,771,S,11361,0,5,0,28,6,0,0,18,3329691648,36824,0,812913,36824,25287,5,0
2023-01-10 02:48:08.610749,942,321,858,1742,1187,0,0,0,175968,625,667853,805,S,12097,0,6,0,28,6,0,0,18,3332644864,37550,0,813634,37319,26065,5,0
2023-01-10 02:48:08.874505,949,326,861,1755,1187,0,0,0,178566,657,672892,838,S,12098,0,6,0,29,6,0,0,18,3332644864,37319,1,813634,37319,26065,5,0
2023-01-10 02:48:09.128871,956,326,864,1778,1187,0,0,0,181320,691,678146,875,S,12098,0,6,0,29,6,0,0,18,3332644864,36762,1,813634,36762,26065,5,0
2023-01-10 02:48:09.379193,960,326,865,1816,1187,0,0,0,183786,721,683196,910,S,12120,0,7,0,30,6,0,0,18,3332644864,36956,1,813635,37200,26411,5,0
2023-01-10 02:48:09.654798,981,327,869,1843,1187,0,0,0,186582,756,688271,945,R,12299,0,10,0,32,6,0,0,18,3332648960,37278,1,813635,37278,26442,5,0
2023-01-10 02:48:09.914684,998,327,873,1856,1188,0,0,0,189006,785,693304,979,S,12299,0,10,0,33,6,0,0,18,3332648960,37278,0,813650,37379,26488,5,0
2023-01-10 02:48:10.180381,1015,328,877,1875,1188,0,0,0,191382,814,698200,1012,S,12597,0,10,0,36,7,0,0,18,3333566464,38203,0,813859,38203,27302,5,0
2023-01-10 02:48:10.440685,1034,334,881,1888,1188,0,0,0,194244,850,702922,1042,S,12624,0,10,0,36,7,0,0,18,3333566464,38203,0,813859,38203,27302,5,0
2023-01-10 02:48:10.701371,1041,335,884,1919,1190,0,0,0,197106,886,707669,1072,S,12663,0,10,0,36,8,0,0,18,3333566464,38185,0,813859,38185,27302,5,0
2023-01-10 02:48:10.957706,1060,335,888,1936,1190,0,0,0,199590,917,712186,1100,S,12699,0,10,0,36,8,0,0,18,3333566464,38185,0,813859,38185,27302,5,0
2023-01-10 02:48:11.213026,1088,336,894,1937,1191,0,0,0,202651,954,718490,1136,S,12699,0,10,0,36,8,0,0,18,3333566464,38185,0,811993,36029,25142,5,0
2023-01-10 02:48:11.468438,1124,336,898,1938,1191,0,0,0,204673,978,722967,1163,S,12716,0,10,0,36,9,0,0,19,3325923328,36029,1,811993,36029,25142,5,0
2023-01-10 02:48:11.746389,1146,337,902,1938,1191,0,0,0,206506,1000,726013,1187,S,12716,0,10,0,36,9,0,0,19,3325923328,36029,1,814157,38360,27340,5,0
2023-01-10 02:48:12.000411,1188,343,909,1939,1191,0,0,0,209878,1040,732674,1224,S,15114,0,11,0,39,9,0,0,19,3325923328,36207,1,814765,38783,27358,5,0
2023-01-10 02:48:12.255933,1209,344,911,1939,1191,0,0,0,210124,1043,733749,1227,S,15114,0,11,0,39,9,0,0,19,3325923328,36207,1,814765,38536,27358,5,0
2023-01-10 02:48:12.804149,1282,349,922,1939,1191,0,0,0,215172,1103,745529,1299,S,17747,0,11,0,43,10,0,0,19,3337277440,38536,1,814765,38536,27358,5,0
2023-01-10 02:48:12.533200,1273,348,918,1939,1191,0,0,0,215172,1103,745529,1299,S,17747,0,11,0,43,10,0,0,19,3337277440,38536,1,814765,38536,27358,5,0
2023-01-10 02:48:13.074451,1284,349,923,1939,1191,0,0,0,214832,1099,744418,1295,S,17747,0,11,0,43,10,0,0,19,3337277440,38536,1,814765,38536,27358,5,0
2023-01-10 02:48:13.335105,1302,350,930,1941,1191,0,0,0,218620,1144,753242,1350,S,17777,0,11,0,43,11,0,0,19,3337277440,38536,1,812601,36398,25251,5,0
2023-01-10 02:48:13.599026,1337,350,936,1942,1191,0,0,0,221951,1184,761601,1399,S,17777,0,11,0,43,11,0,0,19,3337277440,38536,1,813323,37339,25965,5,0
2023-01-10 02:48:13.854419,1372,351,942,1943,1191,0,0,0,224511,1215,767225,1434,S,18729,0,11,0,46,11,0,0,19,3331371008,37260,1,814755,38432,27417,5,0
2023-01-10 02:48:14.113631,1393,352,947,1943,1191,0,0,0,227535,1252,773572,1466,S,20296,0,11,0,46,12,0,0,19,3337236480,38432,1,814755,38432,27417,5,0
2023-01-10 02:48:14.409723,1438,354,953,1943,1191,0,0,0,228753,1266,775592,1478,S,20297,0,11,0,47,12,0,0,19,3337236480,38432,1,814755,38432,27417,5,0
