#com.nw.gjj
#./workspace/com.nw.gjj_0/com.nw.gjj.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 12:06:39.851369,950,172,537,1329,1011,0,0,0,388335,758,732940,838,S,5862,655,22,0,6,2,0,0,15,3298594816,31503,1,805412,31626,25920,5,0
2023-01-11 12:06:40.126296,969,174,541,1329,1011,0,0,0,391075,791,737804,871,S,6926,655,22,0,8,3,0,0,15,3302576128,32687,1,806293,32687,26976,5,0
2023-01-11 12:06:40.381347,985,175,545,1329,1011,0,0,0,393093,815,742417,898,S,6926,655,22,0,8,3,0,0,15,3302576128,32687,1,806293,32687,26976,5,0
2023-01-11 12:06:40.646897,993,176,547,1329,1011,0,0,0,395427,843,748009,926,S,6926,655,22,0,8,3,0,0,15,3302576128,32687,1,806020,32462,26746,5,0
2023-01-11 12:06:40.917420,1008,178,554,1333,1011,0,0,0,398899,886,754960,968,R,6963,655,23,0,8,4,0,0,15,3301457920,32462,1,806020,32462,26746,5,0
2023-01-11 12:06:41.168408,1013,178,557,1334,1011,0,0,0,400803,909,757979,992,S,6963,655,23,0,9,4,0,0,15,3301457920,32462,1,806020,32462,26746,5,0
2023-01-11 12:06:41.452317,1025,178,563,1346,1012,0,0,0,403623,944,763073,1027,S,6984,655,26,0,9,4,0,0,15,3301478400,32658,1,806025,32658,26909,5,0
2023-01-11 12:06:41.701890,1035,178,568,1352,1012,0,0,0,406089,974,767831,1058,S,7005,655,26,0,9,4,0,0,15,3301478400,32658,1,806025,32888,27072,5,0
2023-01-11 12:06:41.932944,1044,180,575,1367,1013,0,0,0,408829,1007,772899,1093,R,7095,655,26,0,11,5,0,0,15,3301478400,32899,0,806025,32899,27072,5,0
2023-01-11 12:06:42.218867,1061,180,579,1378,1014,0,0,0,410733,1030,777035,1116,S,7095,655,26,0,13,5,0,0,15,3301478400,32899,0,806025,32906,27072,5,0
2023-01-11 12:06:42.472223,1091,181,585,1379,1014,0,0,0,413019,1058,781459,1143,R,7134,655,26,0,14,5,0,0,15,3301478400,32906,0,806025,32907,27072,5,0
2023-01-11 12:06:42.732045,1119,181,589,1383,1014,0,0,0,415551,1089,786220,1174,S,7209,655,26,0,16,5,0,0,15,3301478400,32907,0,806025,32907,27072,5,0
2023-01-11 12:06:42.977200,1132,182,595,1393,1014,0,0,0,418083,1120,790981,1205,S,7209,655,26,0,17,5,0,0,15,3301478400,32907,0,806025,32907,27072,5,0
2023-01-11 12:06:43.247306,1141,182,602,1416,1014,0,0,0,420705,1152,795982,1240,S,7245,655,26,0,17,5,0,0,15,3301478400,32907,0,806025,32944,27086,5,0
2023-01-11 12:06:43.507775,1154,183,611,1438,1014,0,0,0,423147,1182,801888,1273,S,7483,655,26,0,18,5,0,0,15,3301609472,32959,0,806057,32959,27101,5,0
2023-01-11 12:06:43.752957,1165,183,616,1457,1014,0,0,0,425607,1213,806221,1299,R,7486,655,26,0,20,5,0,0,15,3301609472,32957,0,806057,32948,27101,5,0
2023-01-11 12:06:44.039456,1194,183,623,1466,1014,0,0,0,428337,1247,811073,1331,S,7486,655,26,0,23,5,0,0,15,3301609472,32948,0,806057,32948,27101,5,0
2023-01-11 12:06:44.294678,1202,185,631,1486,1014,0,0,0,431223,1283,816064,1364,S,7486,655,26,0,23,5,0,0,15,3301609472,32948,0,806057,32971,27131,5,0
2023-01-11 12:06:44.565248,1222,185,638,1504,1014,0,0,0,433887,1316,820809,1394,S,7499,655,26,0,24,5,0,0,15,3301609472,32972,0,806057,32972,27131,5,0
2023-01-11 12:06:44.816545,1236,185,644,1515,1014,0,0,0,436353,1346,825573,1425,R,7510,655,26,0,25,5,0,0,15,3301609472,32981,0,806057,33006,27147,5,0
2023-01-11 12:06:45.065250,1270,188,651,1520,1014,0,0,0,438975,1378,831104,1466,S,7588,655,26,0,28,5,0,0,15,3301609472,33006,0,806057,33006,27147,5,0
2023-01-11 12:06:45.330828,1279,188,657,1531,1014,0,0,0,441399,1407,836269,1502,S,7588,655,26,0,28,5,0,0,15,3301609472,33006,0,806057,33006,27147,5,0
