#com.nyoffline.low
#./workspace/com.nyoffline.low_0/com.nyoffline.low.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:07:51.664303,931,302,860,1826,1127,0,0,0,312971,790,655505,913,S,3396,0,2,0,1,2,0,0,13,3291840512,24609,0,803672,24609,18955,5,0
2023-01-10 01:07:51.936346,944,303,864,1827,1127,0,0,0,315333,818,660267,944,S,3396,0,2,0,1,2,0,0,13,3291840512,24609,0,803672,24609,18955,5,0
2023-01-10 01:07:52.186453,953,303,866,1829,1127,0,0,0,318665,859,667305,986,S,3396,0,2,0,1,2,0,0,13,3291840512,24609,0,803672,24835,19168,5,0
2023-01-10 01:07:52.449709,960,306,870,1832,1129,0,0,0,321221,890,672134,1018,S,3437,0,3,0,1,2,0,0,13,3291840512,24835,0,803815,25025,19352,5,0
2023-01-10 01:07:52.700060,966,310,873,1838,1129,0,0,0,323975,924,677279,1052,S,3588,0,3,0,2,2,0,0,13,3292426240,25025,0,803815,25025,19352,5,0
2023-01-10 01:07:52.960446,972,311,875,1867,1129,0,0,0,326861,960,682336,1086,S,3593,0,3,0,3,2,0,0,13,3292426240,25026,1,803815,25026,19353,5,0
2023-01-10 01:07:53.220801,978,312,878,1901,1129,0,0,0,329747,996,687261,1118,S,3619,0,3,0,3,2,0,0,13,3292426240,25026,1,803816,26152,20370,5,0
2023-01-10 01:07:53.495292,1001,313,884,1914,1131,0,0,0,332279,1027,692314,1153,R,3845,0,6,0,4,3,0,0,13,3292430336,26152,0,803816,26152,20370,5,0
2023-01-10 01:07:53.760895,1024,313,888,1921,1132,0,0,0,334235,1050,696742,1180,S,4079,0,7,0,5,3,0,0,13,3293347840,26957,1,804040,27032,21230,5,0
2023-01-10 01:07:54.020933,1057,316,894,1931,1133,0,0,0,337125,1086,701572,1212,S,4167,0,7,0,7,4,0,0,13,3293347840,27032,1,804040,27033,21230,5,0
2023-01-10 01:07:54.276497,1078,317,897,1933,1133,0,0,0,339143,1110,706045,1239,R,4287,0,7,0,7,4,0,0,13,3293347840,27033,0,804040,27033,21230,5,0
2023-01-10 01:07:54.547042,1084,317,899,1969,1133,0,0,0,341411,1137,710899,1271,S,4325,0,7,0,7,4,0,0,13,3293347840,27050,1,804040,27050,21246,5,0
2023-01-10 01:07:54.813441,1103,318,902,1989,1133,0,0,0,343853,1167,715442,1299,S,4374,0,7,0,8,4,0,0,13,3293347840,27051,1,804040,27051,21246,5,0
2023-01-10 01:07:55.088578,1118,319,904,2015,1133,0,0,0,346739,1203,720543,1334,S,4374,0,7,0,9,4,0,0,13,3293347840,27051,1,804040,27051,21246,5,0
2023-01-10 01:07:55.333694,1123,319,907,2049,1133,0,0,0,349139,1232,725309,1365,S,4415,0,7,0,9,4,0,0,13,3293478912,27051,0,804072,27051,21246,5,0
2023-01-10 01:07:55.588861,1130,319,909,2090,1133,0,0,0,351695,1263,730208,1398,S,4416,0,7,0,10,5,0,0,13,3293478912,27051,1,804072,27051,21246,5,0
2023-01-10 01:07:55.844222,1136,319,911,2130,1133,0,0,0,354515,1298,735336,1433,S,4429,0,7,0,11,5,0,0,13,3293478912,27067,1,804072,27067,21262,5,0
2023-01-10 01:07:56.114921,1157,320,915,2154,1133,0,0,0,357005,1328,740242,1465,S,4432,0,7,0,12,5,0,0,13,3293478912,27067,0,804072,27067,21262,5,0
2023-01-10 01:07:56.384473,1173,320,919,2174,1135,0,0,0,359513,1359,744986,1496,S,4432,0,7,0,13,5,0,0,13,3293478912,27068,0,804072,27068,21262,5,0
2023-01-10 01:07:56.636689,1181,320,922,2203,1135,0,0,0,362333,1394,750024,1530,S,4432,0,7,0,14,5,0,0,13,3293478912,27068,1,804072,27068,21262,5,0
2023-01-10 01:07:56.897210,1197,320,925,2233,1136,0,0,0,364775,1424,754726,1560,S,4446,0,7,0,15,5,0,0,13,3293478912,27084,1,804072,27084,21278,5,0
2023-01-10 01:07:57.149194,1215,321,927,2248,1136,0,0,0,367199,1453,759722,1593,S,4483,0,7,0,16,5,0,0,13,3293478912,27084,0,804072,27084,21278,5,0
2023-01-10 01:07:57.414524,1232,328,933,2259,1138,0,0,0,370061,1489,764514,1624,S,4491,0,7,0,17,5,0,0,13,3293478912,27084,0,804072,27084,21278,5,0
2023-01-10 01:07:57.694274,1255,328,937,2262,1140,0,0,0,372864,1524,769096,1652,S,4491,0,7,0,17,5,0,0,13,3293478912,27084,1,804072,27084,21278,5,0
2023-01-10 01:07:57.945414,1284,329,944,2268,1140,0,0,0,375462,1556,773888,1683,S,4492,0,7,0,17,6,0,0,13,3293478912,27084,1,804072,27084,21278,5,0
2023-01-10 01:07:58.210629,1314,329,948,2272,1140,0,0,0,377886,1585,779412,1724,S,4536,0,7,0,18,6,0,0,13,3293478912,27143,0,804072,27143,21326,5,0
2023-01-10 01:07:58.474778,1342,329,951,2274,1140,0,0,0,379842,1608,783736,1749,S,4536,0,7,0,18,6,0,0,13,3293478912,27143,0,804072,27143,21326,5,0
2023-01-10 01:07:58.740090,1353,330,954,2305,1140,0,0,0,382530,1641,789040,1785,S,4538,0,7,0,19,6,0,0,13,3293478912,27143,1,804072,27143,21326,5,0
2023-01-10 01:07:58.995416,1359,330,956,2343,1141,0,0,0,385218,1674,795102,1829,S,4539,0,7,0,19,6,0,0,13,3293478912,27143,1,804072,27143,21326,5,0
2023-01-10 01:07:59.261392,1374,330,960,2376,1141,0,0,0,388222,1711,801562,1875,S,4737,0,8,0,20,7,0,0,13,3293478912,27226,1,804072,27226,21388,5,0
2023-01-10 01:07:59.506033,1398,331,965,2380,1141,0,0,0,390306,1736,806840,1907,S,4737,0,8,0,20,7,0,0,13,3293478912,27226,1,804072,27226,21388,5,0
2023-01-10 01:07:59.766563,1405,331,968,2406,1141,0,0,0,392862,1767,812601,1943,S,4737,0,8,0,20,7,0,0,13,3293478912,27226,1,804142,27386,21540,5,0
2023-01-10 01:08:00.032376,1441,332,974,2410,1142,0,0,0,395484,1799,817567,1977,S,4987,0,9,0,21,8,0,0,13,3293478912,27361,1,804072,27361,21515,5,0
2023-01-10 01:08:00.292893,1469,332,978,2411,1142,0,0,0,398082,1831,822245,2007,R,5065,0,9,0,22,8,0,0,13,3293622272,27410,0,804142,27474,21619,5,0
