#com.ojwalch.ucquizapp
#./workspace/com.ojwalch.ucquizapp_0/com.ojwalch.ucquizapp.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 23:46:00.459155,746,273,802,1585,1389,0,0,0,1790049,1559,664175,785,S,13367,0,2,0,32,8,0,0,16,3336437760,38096,0,814560,38096,24489,5,0
2023-01-09 23:46:00.740487,754,273,805,1586,1389,0,0,0,1792629,1590,670349,817,S,13367,0,2,0,32,8,0,0,16,3336437760,38096,0,817875,40822,25438,5,0
2023-01-09 23:46:01.005157,769,276,809,1590,1390,0,0,0,1795341,1623,675343,850,S,16398,0,2,0,40,8,0,0,16,3350016000,40897,1,817879,40897,25496,5,0
2023-01-09 23:46:01.263640,795,280,813,1591,1391,0,0,0,1797543,1649,680067,880,S,16402,0,2,0,47,8,0,0,16,3350032384,40897,1,817185,40220,24806,5,0
2023-01-09 23:46:01.527424,821,281,817,1597,1391,0,0,0,1799967,1678,685154,913,S,17135,0,3,0,48,9,0,0,16,3347189760,40220,1,817185,40220,24806,5,0
2023-01-09 23:46:01.782711,829,282,820,1628,1392,0,0,0,1802499,1709,690096,946,S,17136,0,3,0,49,9,0,0,16,3347189760,40220,1,817148,40581,25326,5,0
2023-01-09 23:46:02.053243,851,285,824,1639,1392,0,0,0,1804983,1740,694613,974,S,19741,0,8,0,60,10,0,0,16,3352961024,42212,1,819315,42938,27524,5,0
2023-01-09 23:46:02.319711,885,286,829,1643,1393,0,0,0,1807671,1773,699713,1009,S,20703,0,10,0,63,11,0,0,16,3350921216,42334,0,818096,42255,26916,5,0
2023-01-09 23:46:02.574373,904,293,833,1647,1393,0,0,0,1810269,1805,704633,1042,S,20705,0,10,0,66,11,0,0,16,3350921216,42255,1,818096,41906,27015,5,0
2023-01-09 23:46:02.840018,929,293,837,1661,1393,0,0,0,1812645,1834,709265,1071,S,20715,0,10,0,70,12,0,0,16,3350921216,40143,1,818096,40143,27015,5,0
