#com.onlinelanguagehelp.dictionary.guey
#./workspace/com.onlinelanguagehelp.dictionary.guey_0/com.onlinelanguagehelp.dictionary.guey.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 15:01:16.443605,922,331,909,1755,1159,0,0,0,629906,1212,668699,1106,S,2915,0,1,0,2,1,0,0,13,3287814144,24398,0,802689,24398,19771,5,0
2023-01-09 15:01:16.722748,927,333,911,1755,1159,0,0,0,631772,1234,672969,1131,S,2915,0,1,0,2,1,0,0,13,3287814144,24398,0,802689,24398,19771,5,0
2023-01-09 15:01:16.982939,933,337,914,1756,1159,0,0,0,634682,1270,679405,1168,S,2915,0,1,0,2,1,0,0,13,3287814144,24398,0,802689,24491,19859,5,0
2023-01-09 15:01:17.236063,942,343,918,1756,1160,0,0,0,637526,1305,684557,1203,S,2938,0,2,0,2,1,0,0,13,3287814144,24491,0,802689,24491,19859,5,0
2023-01-09 15:01:17.502417,946,347,922,1766,1160,0,0,0,640280,1339,689523,1236,S,2952,0,2,0,2,1,0,0,13,3287814144,24491,0,802689,24491,19859,5,0
2023-01-09 15:01:17.767678,950,348,923,1809,1160,0,0,0,643142,1375,694217,1266,S,2981,0,2,0,2,1,0,0,13,3287814144,24508,0,802694,25184,20304,5,0
2023-01-09 15:01:18.023707,959,348,926,1813,1160,0,0,0,646359,1414,700696,1304,S,4960,0,4,0,4,2,0,0,13,3296665600,26800,0,804850,26800,21771,5,0
2023-01-09 15:01:18.289229,966,349,928,1814,1160,0,0,0,647540,1428,703159,1321,S,4960,0,4,0,4,2,0,0,13,3296665600,26800,0,804850,26800,21771,5,0
2023-01-09 15:01:18.560966,976,351,930,1814,1160,0,0,0,650493,1463,709506,1357,S,4960,0,4,0,4,2,0,0,13,3296665600,26800,0,804850,26800,21771,5,0
2023-01-09 15:01:18.824010,980,352,931,1814,1160,0,0,0,651698,1477,711795,1371,S,4960,0,4,0,4,2,0,0,13,3296665600,26800,0,804850,26800,21771,5,0
2023-01-09 15:01:19.066785,985,354,932,1815,1160,0,0,0,653994,1504,716379,1400,S,4967,0,4,0,4,2,0,0,13,3296665600,26800,0,805363,27798,22318,5,0
2023-01-09 15:01:19.347374,996,356,936,1816,1160,0,0,0,656616,1536,722459,1433,S,6208,0,9,0,7,2,0,0,13,3296669696,27834,0,806805,29419,23878,5,0
2023-01-09 15:01:19.603542,1034,358,943,1816,1160,0,0,0,659167,1566,727290,1465,S,7734,0,10,0,9,2,0,0,13,3304673280,29419,0,804883,27986,22444,5,0
2023-01-09 15:01:19.860466,1064,360,946,1816,1160,0,0,0,660348,1580,730852,1481,R,7743,0,10,0,9,3,0,0,13,3304804352,29419,0,804883,28050,22482,5,0
2023-01-09 15:01:20.135458,1083,361,954,1816,1160,0,0,0,663273,1615,736515,1520,S,7762,0,10,0,9,3,0,0,13,3296800768,27986,1,804883,28050,22482,5,0
2023-01-09 15:01:20.381251,1105,362,958,1816,1160,0,0,0,663862,1622,737992,1528,S,7792,0,10,0,10,3,0,0,13,3296800768,28050,1,804883,28050,22482,5,0
2023-01-09 15:01:20.667256,1126,368,964,1818,1160,0,0,0,666788,1657,743629,1569,S,7794,0,10,0,10,3,0,0,13,3296800768,28050,1,804883,28050,22482,5,0
2023-01-09 15:01:20.910822,1139,369,968,1839,1160,0,0,0,669674,1693,748755,1604,S,7797,0,10,0,11,3,0,0,13,3296800768,28050,1,804883,28050,22482,5,0
2023-01-09 15:01:21.171270,1146,371,972,1876,1160,0,0,0,672494,1728,753680,1636,R,8064,0,10,0,12,3,0,0,13,3297718272,28845,0,805878,29465,23476,5,0
