#com.openitemapp.openitem
#./workspace/com.openitemapp.openitem_0/com.openitemapp.openitem.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 02:28:36.733000,908,314,871,1928,1161,0,0,0,978654,1086,667282,756,S,17518,0,8,0,33,7,0,0,18,3355955200,42780,1,819333,42908,25312,5,0
2023-01-10 02:28:36.462220,910,314,872,1928,1161,0,0,0,980336,1106,670382,778,S,17689,0,8,0,41,7,0,0,18,3355987968,42908,1,821565,44408,26727,5,0
2023-01-10 02:28:36.988612,912,315,873,1928,1161,0,0,0,981299,1117,672118,789,S,17689,0,8,0,42,7,0,0,18,3355987968,42908,1,822286,45134,27453,5,0
2023-01-10 02:28:37.269415,923,316,877,1928,1161,0,0,0,983837,1147,678519,825,S,19910,0,8,0,47,9,0,0,19,3368083456,45134,1,820843,43606,26032,5,0
2023-01-10 02:28:37.540109,932,316,879,1928,1161,0,0,0,986729,1182,685314,864,S,19913,0,8,0,47,9,0,0,19,3362172928,43606,1,820843,43606,26032,5,0
2023-01-10 02:28:37.778366,936,318,884,1930,1162,0,0,0,988730,1206,688572,891,S,19921,0,8,0,47,9,0,0,19,3362172928,43606,1,820844,43606,26032,5,0
2023-01-10 02:28:38.047144,947,320,889,1932,1162,0,0,0,991314,1237,693481,922,S,19937,0,10,0,47,9,0,0,19,3362177024,43606,1,820844,43606,26032,5,0
2023-01-10 02:28:38.303094,952,322,890,1934,1162,0,0,0,993242,1260,698198,953,S,19938,0,10,0,47,10,0,0,19,3362177024,43606,0,820844,43606,26032,5,0
2023-01-10 02:28:38.563603,964,322,894,1948,1162,0,0,0,996194,1297,703299,988,S,19938,0,10,0,47,10,0,0,19,3362177024,43606,0,820844,43923,26313,5,0
2023-01-10 02:28:38.822716,969,322,897,1967,1163,0,0,0,998792,1329,708154,1020,S,19978,0,11,0,48,10,0,0,19,3362177024,43923,0,820844,43923,26313,5,0
2023-01-10 02:28:39.082975,975,323,899,2005,1163,0,0,0,1001348,1360,713125,1053,S,19988,0,12,0,48,10,0,0,19,3362177024,43923,0,820844,43923,26313,5,0
2023-01-10 02:28:39.338340,981,323,901,2042,1163,0,0,0,1003592,1387,717760,1082,R,19990,0,12,0,48,10,0,0,19,3362177024,43470,0,820844,43470,26313,5,0
2023-01-10 02:28:39.603907,994,324,904,2071,1165,0,0,0,1006412,1422,722798,1116,S,20000,0,13,0,49,11,0,0,19,3362177024,43338,0,820844,43338,26313,5,0
