#com.ory.comeandgo
#./workspace/com.ory.comeandgo_0/com.ory.comeandgo.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 00:35:38.556678,875,288,861,2197,1048,0,0,0,746023,983,629496,800,S,12052,0,5,0,29,2,0,0,18,3331117056,37763,1,813261,37763,25623,5,0
2023-01-10 00:35:38.832481,880,291,865,2224,1050,0,0,0,748711,1016,634825,837,S,12809,0,7,0,32,3,0,0,18,3334074368,38691,1,814009,38691,26498,5,0
2023-01-10 00:35:39.097859,887,292,868,2251,1052,0,0,0,751375,1049,639589,868,S,12828,0,7,0,34,3,0,0,18,3334287360,38691,0,814035,38056,26550,5,0
2023-01-10 00:35:39.353245,897,293,869,2287,1052,0,0,0,754147,1084,644287,898,S,12831,0,7,0,37,3,0,0,18,3334287360,38056,0,814035,38356,26814,5,0
2023-01-10 00:35:39.618629,910,298,873,2314,1053,0,0,0,756769,1116,649363,933,S,12877,0,9,0,39,3,0,0,18,3334287360,38356,0,814035,38356,26814,5,0
2023-01-10 00:35:39.879388,922,298,875,2338,1053,0,0,0,759391,1148,654487,968,S,12881,0,9,0,42,3,0,0,18,3334287360,38356,1,814035,38559,26997,5,0
2023-01-10 00:35:40.140166,935,298,878,2366,1056,0,0,0,761701,1176,659251,999,S,12893,0,9,0,44,3,0,0,18,3334287360,38559,1,814035,38559,26997,5,0
2023-01-10 00:35:40.405408,951,299,880,2394,1056,0,0,0,764587,1212,664443,1035,S,12899,0,10,0,49,3,0,0,18,3334287360,38120,0,814035,38120,27008,5,0
2023-01-10 00:35:40.649827,960,299,884,2421,1056,0,0,0,766921,1240,669323,1067,S,13164,0,10,0,54,3,0,0,18,3335204864,38914,0,814259,38914,27792,5,0
2023-01-10 00:35:40.910186,967,299,886,2460,1056,0,0,0,769609,1273,674582,1104,S,13223,0,10,0,54,3,0,0,18,3335204864,38914,1,814259,38914,27792,5,0
2023-01-10 00:35:41.180953,975,300,888,2498,1056,0,0,0,772297,1306,679553,1137,S,13228,0,10,0,58,3,0,0,18,3335204864,38914,1,814259,38914,27792,5,0
2023-01-10 00:35:41.446367,981,300,891,2537,1058,0,0,0,775183,1342,684656,1172,S,13230,0,10,0,58,4,0,0,18,3335204864,38914,0,814259,38914,27792,5,0
2023-01-10 00:35:41.696885,987,300,893,2573,1058,0,0,0,778003,1377,689717,1206,S,13230,0,10,0,58,4,0,0,18,3335204864,38914,1,814259,38914,27792,5,0
2023-01-10 00:35:41.972288,995,301,895,2612,1058,0,0,0,780691,1410,694712,1239,S,13234,0,10,0,60,4,0,0,18,3335204864,38914,1,814264,39168,27809,5,0
2023-01-10 00:35:42.227794,1028,301,900,2625,1060,0,0,0,783341,1442,699594,1271,S,14764,0,13,0,70,5,0,0,18,3335241728,40055,1,814268,40055,27809,5,0
2023-01-10 00:35:42.501283,1045,302,906,2626,1061,0,0,0,785269,1465,704074,1298,S,14767,0,13,0,72,5,0,0,18,3335241728,40055,1,814268,39560,27809,5,0
2023-01-10 00:35:42.765353,1080,304,912,2633,1062,0,0,0,787933,1498,708866,1329,S,14785,0,13,0,78,5,0,0,18,3335241728,39560,0,814268,39308,27809,5,0
2023-01-10 00:35:43.005493,1085,304,913,2646,1062,0,0,0,790219,1526,713435,1358,S,14787,0,13,0,79,5,0,0,18,3335241728,39308,0,814268,39308,27809,5,0
2023-01-10 00:35:43.271293,1094,305,915,2686,1062,0,0,0,793039,1561,719619,1393,S,14790,0,13,0,82,5,0,0,18,3335241728,39308,0,814268,39308,27809,5,0
2023-01-10 00:35:43.551385,1110,313,919,2703,1064,0,0,0,796652,1606,726323,1433,S,14802,0,13,0,82,5,0,0,18,3335241728,39308,0,814268,39308,27809,5,0
2023-01-10 00:35:43.812049,1136,314,923,2703,1064,0,0,0,798334,1626,729281,1456,S,14806,0,13,0,86,5,0,0,18,3335241728,39308,0,814268,39308,27809,5,0
2023-01-10 00:35:44.077286,1162,314,927,2708,1064,0,0,0,800536,1652,734026,1487,S,14864,0,13,0,91,5,0,0,18,3335241728,39308,0,814268,39308,27809,5,0
2023-01-10 00:35:44.337947,1192,314,935,2712,1064,0,0,0,803036,1682,738831,1518,S,14865,0,13,0,92,5,0,0,18,3335241728,39308,0,814268,39308,27809,5,0
2023-01-10 00:35:44.608659,1214,315,938,2716,1065,0,0,0,805460,1711,743738,1550,S,14865,0,13,0,93,5,0,0,18,3335241728,39308,0,814268,39308,27809,5,0
2023-01-10 00:35:44.868897,1226,315,941,2750,1065,0,0,0,808124,1744,748688,1583,R,14895,0,13,0,96,6,0,0,18,3335241728,39324,0,814268,39155,27944,5,0
2023-01-10 00:35:45.120369,1240,316,944,2768,1065,0,0,0,810878,1778,753620,1615,S,14898,0,13,0,102,7,0,0,18,3335241728,39155,1,814268,39155,27944,5,0
2023-01-10 00:35:45.380665,1250,316,946,2799,1066,0,0,0,813632,1812,758816,1651,S,14901,0,13,0,105,7,0,0,18,3335241728,39155,0,814268,39203,27992,5,0
2023-01-10 00:35:45.646272,1259,317,949,2840,1068,0,0,0,816122,1842,763880,1685,S,15018,0,13,0,105,7,0,0,18,3335241728,39203,0,814268,39203,27992,5,0
2023-01-10 00:35:45.896490,1266,317,951,2869,1068,0,0,0,818588,1872,768872,1719,S,15020,0,13,0,108,7,0,0,18,3335241728,39203,0,814268,39203,27992,5,0
2023-01-10 00:35:46.167290,1289,317,956,2892,1068,0,0,0,821120,1903,773822,1752,S,15020,0,13,0,108,7,0,0,18,3335241728,39203,0,814268,39203,27992,5,0
