#com.outlier.spoke
#./workspace/com.outlier.spoke_0/com.outlier.spoke.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 00:50:48.479223,925,333,899,1778,1179,0,0,0,950356,1240,690267,937,S,12775,0,6,0,41,6,0,0,21,3336699904,39356,1,814624,39356,27137,5,0
2023-01-10 00:50:48.765187,934,335,903,1783,1181,0,0,0,953068,1273,696552,973,S,12775,0,6,0,41,6,0,0,21,3336699904,39356,1,815346,40222,27948,5,0
2023-01-10 00:50:49.020427,943,342,907,1793,1183,0,0,0,956690,1319,703237,1012,S,16041,0,9,0,49,7,0,0,21,3350425600,43040,0,819421,44558,30232,5,0
2023-01-10 00:50:49.282718,973,346,913,1793,1184,0,0,0,959813,1357,708865,1051,S,18261,0,10,0,54,7,0,0,21,3359301632,45218,1,818252,43067,28793,5,0
2023-01-10 00:50:49.537776,994,346,916,1794,1184,0,0,0,960842,1369,710720,1064,S,18282,0,10,0,54,8,0,0,22,3351560192,43067,1,818252,43067,28793,5,0
2023-01-10 00:50:49.799300,1024,347,922,1796,1184,0,0,0,963058,1396,715464,1094,S,18284,0,10,0,54,8,0,0,22,3351560192,43067,0,818252,43230,28904,5,0
2023-01-10 00:50:50.046842,1038,347,926,1819,1184,0,0,0,965746,1429,720634,1130,S,18322,0,10,0,55,8,0,0,22,3351560192,43230,1,818252,41222,29095,5,0
2023-01-10 00:50:50.311204,1066,348,930,1829,1185,0,0,0,967990,1456,725246,1159,S,18447,0,13,0,58,8,0,0,22,3351560192,41222,1,818252,41222,29095,5,0
2023-01-10 00:50:50.601981,1091,348,934,1840,1186,0,0,0,970390,1485,730219,1192,S,20830,0,13,0,62,10,0,0,22,3354517504,43531,1,820445,44409,30562,5,0
2023-01-10 00:50:50.868414,1123,348,940,1844,1186,0,0,0,973409,1521,737197,1236,S,22571,0,13,0,66,12,0,0,22,3361198080,45216,0,818412,43079,29202,5,0
2023-01-10 00:50:51.118617,1146,349,943,1844,1186,0,0,0,975308,1544,741308,1267,S,22578,0,13,0,69,12,0,0,22,3352215552,43079,0,818412,43079,29202,5,0
2023-01-10 00:50:51.389344,1177,349,947,1845,1186,0,0,0,977482,1570,746125,1298,S,22584,0,13,0,71,12,0,0,22,3352215552,43079,0,818412,43079,29202,5,0
2023-01-10 00:50:51.651353,1190,350,950,1860,1186,0,0,0,980344,1606,751464,1332,S,23633,0,13,0,85,12,0,0,23,3353350144,43806,1,818692,43806,29202,5,0
2023-01-10 00:50:51.917634,1222,350,954,1871,1186,0,0,0,982838,1636,758146,1371,S,23697,0,13,0,93,12,0,0,23,3353362432,43807,0,818692,42037,29202,5,0
2023-01-10 00:50:52.167899,1243,350,957,1876,1186,0,0,0,984610,1657,762489,1397,S,23708,0,13,0,95,13,0,0,23,3353362432,43807,1,818692,42037,29202,5,0
2023-01-10 00:50:52.428282,1276,350,961,1880,1186,0,0,0,987010,1686,767306,1428,S,23744,0,13,0,98,14,0,0,23,3353362432,42037,1,818697,42096,29243,5,0
2023-01-10 00:50:52.690623,1306,351,967,1884,1187,0,0,0,989320,1714,771920,1457,S,24681,0,14,0,110,14,0,0,23,3353391104,42778,1,818701,42836,29243,5,0
2023-01-10 00:50:52.947309,1339,351,972,1890,1187,0,0,0,991814,1744,777991,1492,S,24691,0,14,0,117,15,0,0,23,3353399296,42836,0,818701,42836,29243,5,0
2023-01-10 00:50:53.204177,1364,352,975,1893,1187,0,0,0,993496,1764,782203,1516,S,24691,0,14,0,120,15,0,0,23,3353399296,42836,0,818701,42836,29243,5,0
2023-01-10 00:50:53.485394,1392,352,979,1898,1187,0,0,0,995698,1790,786949,1547,S,24691,0,14,0,122,15,0,0,23,3353399296,42262,1,818701,42227,29243,5,0
2023-01-10 00:50:53.734276,1419,353,983,1903,1187,0,0,0,998032,1818,791767,1578,S,24693,0,14,0,127,16,0,0,23,3353399296,42036,0,818701,42036,29243,5,0
2023-01-10 00:50:54.002850,1451,353,986,1908,1187,0,0,0,1000210,1844,796249,1605,S,24697,0,14,0,133,16,0,0,23,3353399296,42036,0,818701,42036,29243,5,0
2023-01-10 00:50:54.263291,1474,354,989,1912,1187,0,0,0,1002700,1874,801463,1642,S,24700,0,15,0,135,17,0,0,23,3353399296,42036,0,818701,42036,29243,5,0
2023-01-10 00:50:54.539094,1515,354,995,1919,1187,0,0,0,1005813,1911,808276,1684,S,24702,0,15,0,140,18,0,0,23,3353399296,42036,0,818701,42036,29243,5,0
2023-01-10 00:50:54.789339,1530,354,997,1920,1188,0,0,0,1006804,1923,810456,1698,S,24702,0,15,0,141,19,0,0,23,3353399296,42036,1,818701,42036,29243,5,0
2023-01-10 00:50:55.049897,1540,354,1001,1927,1188,0,0,0,1010060,1963,817069,1738,S,25720,0,15,0,148,20,0,0,23,3353399296,42720,1,820546,44724,29596,5,0
2023-01-10 00:50:55.310210,1565,354,1005,1935,1188,0,0,0,1012866,1997,823602,1777,S,28373,0,15,0,157,21,0,0,23,3360956416,45120,1,820546,45120,29992,5,0
2023-01-10 00:50:55.580867,1591,355,1008,1935,1188,0,0,0,1014978,2022,828325,1808,S,28373,0,15,0,157,21,0,0,23,3360956416,45120,1,820546,45120,29992,5,0
2023-01-10 00:50:55.832144,1608,357,1012,1936,1188,0,0,0,1016636,2042,830998,1827,S,28373,0,15,0,157,21,0,0,23,3360956416,45120,1,819103,43506,28601,5,0
2023-01-10 00:50:56.074411,1631,365,1018,1944,1188,0,0,0,1019196,2073,835655,1857,S,29826,0,15,0,159,22,0,0,23,3357999104,44438,1,819824,44438,29658,5,0
2023-01-10 00:50:56.349974,1655,365,1021,1945,1189,0,0,0,1021728,2104,841743,1890,S,30428,0,15,0,164,23,0,0,23,3357999104,44907,1,821991,47133,31879,5,0
2023-01-10 00:50:56.625875,1690,367,1028,1945,1189,0,0,0,1024756,2141,846460,1919,S,30480,0,15,0,169,23,0,0,23,3360964608,44970,1,821991,46884,31879,5,0
2023-01-10 00:50:56.880303,1741,368,1033,1945,1189,0,0,0,1028435,2185,853879,1966,S,32647,0,15,0,175,24,0,0,23,3366875136,46884,1,819827,44319,29719,5,0
2023-01-10 00:50:57.145812,1753,368,1036,1945,1189,0,0,0,1029315,2196,855879,1978,S,32647,0,15,0,175,24,0,0,23,3366875136,46884,1,819827,44319,29719,5,0
2023-01-10 00:50:57.411352,1773,368,1039,1945,1189,0,0,0,1030500,2210,857891,1992,S,32661,0,15,0,177,25,0,0,23,3358011392,44434,1,819827,44319,29719,5,0
2023-01-10 00:50:57.660342,1816,371,1047,1945,1189,0,0,0,1033515,2246,864596,2032,S,32661,0,15,0,179,26,0,0,23,3358011392,44319,1,819827,44319,29719,5,0
2023-01-10 00:50:57.931902,1830,371,1049,1948,1189,0,0,0,1034540,2258,866776,2046,S,32661,0,15,0,180,27,0,0,23,3358011392,44319,0,819827,43598,29719,5,0
2023-01-10 00:50:58.170519,1855,371,1053,1952,1189,0,0,0,1037908,2299,873662,2088,R,32724,0,15,0,185,27,0,0,23,3358011392,42382,0,819827,42382,29719,5,0
2023-01-10 00:50:58.443731,1890,371,1056,1953,1189,0,0,0,1039368,2316,876443,2109,S,32777,0,15,0,192,27,0,0,24,3359133696,42383,0,820101,42380,29719,5,0
2023-01-10 00:50:58.709016,1917,371,1059,1958,1189,0,0,0,1041432,2341,880790,2135,S,32778,0,15,0,195,28,0,0,24,3359133696,42380,1,820101,42374,29719,5,0
2023-01-10 00:50:58.952021,1943,371,1063,1963,1189,0,0,0,1043992,2372,886618,2167,S,32918,0,15,0,201,28,0,0,24,3359133696,42469,1,820101,42517,29767,5,0
2023-01-10 00:50:59.225466,1973,372,1068,1965,1189,0,0,0,1046340,2401,891391,2198,S,33023,0,15,0,204,29,0,0,24,3359133696,42517,1,820375,42600,29783,5,0
2023-01-10 00:50:59.476053,2001,373,1073,1967,1189,0,0,0,1049146,2435,897667,2233,S,33377,0,15,0,208,30,0,0,25,3360215040,42402,0,820380,42402,29782,5,0
2023-01-10 00:50:59.751901,2019,373,1076,1969,1189,0,0,0,1050870,2456,900268,2252,S,33409,0,15,0,210,30,0,0,25,3360276480,42402,0,820365,42409,29782,5,0
2023-01-10 00:51:00.019942,2054,374,1081,1972,1189,0,0,0,1053558,2489,905310,2286,R,33436,0,15,0,216,30,0,0,25,3360215040,42442,1,820380,42436,29782,5,0
