#com.pereng.mp3downloader
#./workspace/com.pereng.mp3downloader_0/com.pereng.mp3downloader.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 02:54:28.271415,1193,268,752,1790,775,0,0,0,970234,1026,603826,739,R,6105,0,3,0,43,10,0,0,15,3306614784,30163,0,807279,29495,21835,5,0
2023-01-11 02:54:28.542383,1223,270,757,1790,775,0,0,0,973588,1066,611286,787,R,6176,0,3,0,59,10,0,0,15,3306614784,29495,0,807969,33115,25095,5,0
2023-01-11 02:54:28.792860,1224,270,758,1790,775,0,0,0,974174,1073,613998,798,R,6183,0,3,0,60,10,0,0,15,3306614784,29495,0,808063,33179,25437,5,0
2023-01-11 02:54:29.074494,1231,272,762,1790,775,0,0,0,977232,1110,619318,835,D,8280,0,41,0,74,13,0,0,18,3312308224,34142,0,814223,38768,30648,5,0
2023-01-11 02:54:29.333965,1245,275,772,1790,775,0,0,0,980199,1146,625774,873,S,9406,0,229,0,84,21,0,0,38,3343106048,39452,0,822964,48119,34794,5,0
2023-01-11 02:54:29.615133,1264,279,784,1790,775,0,0,0,982557,1174,631967,904,S,15224,0,229,0,98,23,0,0,41,3370622976,48210,0,825016,49693,34794,5,0
2023-01-11 02:54:29.860118,1274,282,787,1790,775,0,0,0,983960,1191,634641,923,S,16988,0,229,0,113,24,0,0,41,3379265536,49693,0,825022,50027,34842,5,0
2023-01-11 02:54:30.115497,1281,284,790,1790,775,0,0,0,986384,1220,639606,957,S,17311,0,229,0,129,26,0,0,41,3379290112,50027,0,825028,50027,34842,5,0
2023-01-11 02:54:30.391304,1291,287,793,1790,775,0,0,0,989454,1258,645213,999,S,17340,0,229,0,161,29,0,0,41,3379335168,50091,0,826805,52498,36691,5,0
2023-01-11 02:54:30.655660,1319,289,800,1790,776,0,0,0,993398,1305,654585,1050,S,18854,0,230,0,190,30,0,0,42,3386585088,52498,0,826671,52540,37071,5,0
2023-01-11 02:54:30.905767,1328,290,802,1790,776,0,0,0,993989,1312,655972,1057,S,18854,0,230,0,190,30,0,0,42,3386585088,52498,0,826673,52540,37071,5,0
2023-01-11 02:54:31.178058,1354,292,813,1790,776,0,0,0,997095,1349,662607,1107,S,19011,0,230,0,211,30,0,0,42,3386605568,52962,0,828122,54053,38512,5,0
2023-01-11 02:54:31.445753,1373,296,823,1790,776,0,0,0,999499,1378,668821,1140,S,20517,0,230,0,230,30,0,0,42,3391975424,53987,0,828122,54077,38508,5,0
2023-01-11 02:54:31.695160,1421,301,836,1790,776,0,0,0,1000860,1394,672876,1162,S,20562,0,230,0,248,30,0,0,42,3391987712,54053,0,828122,54077,38508,5,0
2023-01-11 02:54:31.971008,1438,304,844,1790,776,0,0,0,1003501,1425,677843,1196,S,20568,0,230,0,251,30,0,0,42,3391987712,54077,0,828381,54200,38584,5,0
2023-01-11 02:54:32.236511,1457,308,854,1790,776,0,0,0,1005117,1444,681586,1215,S,20745,0,230,0,268,31,0,0,42,3391987712,54121,0,828381,54280,38600,5,0
2023-01-11 02:54:32.506381,1476,311,861,1790,776,0,0,0,1006888,1465,684482,1237,S,21018,0,230,0,274,31,0,0,42,3392917504,54455,0,828381,54250,38632,5,0
2023-01-11 02:54:33.027521,1543,317,878,1791,776,0,0,0,1011964,1526,697066,1303,S,21294,0,230,0,306,32,0,0,42,3393048576,54250,0,828381,53363,38632,5,0
2023-01-11 02:54:33.297614,1546,318,881,1791,776,0,0,0,1015406,1568,703451,1344,S,21295,0,230,0,307,33,0,0,42,3393048576,54250,0,828381,53977,38632,5,0
2023-01-11 02:54:32.751937,1538,316,877,1791,776,0,0,0,1013977,1551,700693,1323,S,21294,0,230,0,307,33,0,0,42,3393048576,54250,0,828381,53911,38632,5,0
2023-01-11 02:54:33.533417,1569,320,895,1791,776,0,0,0,1016963,1586,707062,1361,S,21483,0,230,0,341,35,0,0,42,3393048576,53365,0,828385,54174,38632,5,0
2023-01-11 02:54:33.793902,1622,322,906,1791,776,0,0,0,1018079,1600,709755,1380,S,21483,0,230,0,342,35,0,0,42,3393048576,53339,0,828387,54174,38632,5,0
2023-01-11 02:54:34.064641,1630,323,912,1791,776,0,0,0,1019988,1623,713611,1403,S,22265,0,230,0,347,36,0,0,42,3393048576,53911,0,828387,54307,38675,5,0
2023-01-11 02:54:34.341467,1658,324,926,1791,776,0,0,0,1024136,1673,721367,1456,S,22660,0,230,0,386,40,0,0,42,3393073152,54242,0,828387,53350,38675,5,0
2023-01-11 02:54:34.876279,1711,328,937,1791,776,0,0,0,1027975,1720,731394,1517,S,22746,0,230,0,413,42,0,0,42,3393073152,53350,0,828387,54070,38711,5,0
