#com.ponomarsoft.flashlight_ua
#./workspace/com.ponomarsoft.flashlight_ua_0/com.ponomarsoft.flashlight_ua.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 22:43:23.305018,893,291,879,1860,1170,0,0,0,287769,706,686614,830,S,4120,0,2,0,3,2,0,0,16,3293679616,27678,1,804121,27678,23075,5,0
2023-01-09 22:43:23.575667,900,296,884,1860,1173,0,0,0,290457,739,692921,866,S,4120,0,2,0,3,2,0,0,16,3293679616,27678,1,804121,27678,23075,5,0
2023-01-09 22:43:23.831245,905,301,887,1860,1179,0,0,0,292857,768,697849,898,S,4149,0,4,0,4,2,0,0,16,3293683712,27678,1,804122,27678,23075,5,0
2023-01-09 22:43:24.091644,910,305,891,1860,1180,0,0,0,295191,796,702741,931,S,4155,0,4,0,4,2,0,0,16,3293683712,27678,1,804122,27678,23075,5,0
2023-01-09 22:43:24.379938,919,308,894,1868,1180,0,0,0,297699,827,707613,964,S,4160,0,4,0,4,2,0,0,16,3293683712,27678,1,804122,27678,23075,5,0
2023-01-09 22:43:24.624930,928,310,898,1893,1182,0,0,0,300141,857,712175,992,S,4225,0,7,0,4,3,0,0,16,3293720576,27982,1,804131,28341,23630,5,0
2023-01-09 22:43:24.889920,956,313,905,1895,1182,0,0,0,302475,885,716959,1023,S,4305,0,7,0,5,3,0,0,16,3293720576,28341,1,804127,28385,23674,5,0
2023-01-09 22:43:25.166560,978,313,908,1903,1182,0,0,0,304653,911,721786,1055,S,4307,0,7,0,5,3,0,0,16,3293704192,28385,1,804127,28385,23674,5,0
2023-01-09 22:43:25.416644,994,314,911,1923,1182,0,0,0,306963,939,726613,1087,S,4325,0,7,0,5,3,0,0,16,3293704192,28385,1,804127,28385,23674,5,0
2023-01-09 22:43:25.682587,1019,315,915,1931,1182,0,0,0,309717,973,731712,1122,S,4326,0,7,0,6,3,0,0,16,3293704192,28385,1,804127,28385,23674,5,0
2023-01-09 22:43:25.937959,1024,315,917,1969,1184,0,0,0,312519,1007,738721,1162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023-01-09 22:43:26.214594,1054,317,925,1971,1185,0,0,0,315612,1045,743880,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
