#com.probaseballapps.justinupton
#./workspace/com.probaseballapps.justinupton_0/com.probaseballapps.justinupton.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 03:03:58.546893,885,308,865,1977,1085,0,0,0,75285,832,653943,1075,S,7644,0,198,0,11,8,0,0,39,3343183872,39393,0,816478,40132,33285,5,0
2023-01-09 03:03:58.822761,889,308,867,1977,1085,0,0,0,76023,841,655660,1084,S,7806,0,198,0,11,8,0,0,39,3343769600,39589,0,816606,40025,33300,5,0
2023-01-09 03:03:58.281422,877,308,863,1977,1085,0,0,0,74533,823,650143,1065,S,7644,0,198,0,11,8,0,0,39,3343183872,39393,0,816606,40025,33300,5,0
2023-01-09 03:03:59.075429,897,309,870,1977,1085,0,0,0,79007,876,660855,1118,S,8016,0,202,0,11,9,0,0,39,3344293888,40132,0,816928,40047,33565,5,0
2023-01-09 03:03:59.342357,903,310,873,1977,1085,0,0,0,80533,894,663527,1137,S,8208,0,210,0,11,10,0,0,39,3346137088,40047,0,816928,40047,33565,5,0
2023-01-09 03:03:59.594719,906,312,877,1977,1085,0,0,0,83159,926,668385,1169,S,8227,0,212,0,12,10,0,0,39,3350921216,40047,0,818096,40095,33612,5,0
2023-01-09 03:03:59.847800,915,314,880,1977,1085,0,0,0,86207,963,677739,1212,S,8425,0,212,0,13,10,0,0,39,3350921216,40095,0,817960,40423,33893,5,0
2023-01-09 03:04:00.118286,922,314,883,1977,1085,0,0,0,89112,998,682667,1244,D,8494,0,214,0,15,10,0,0,39,3350364160,40423,0,818004,40513,33925,5,0
2023-01-09 03:04:00.661217,971,318,890,1977,1085,0,0,0,92882,1043,690934,1290,S,8617,0,215,0,16,10,0,0,39,3350544384,40513,1,818004,40587,33978,5,0
2023-01-09 03:04:00.392523,960,317,888,1977,1085,0,0,0,91422,1026,687212,1272,S,8617,0,215,0,16,10,0,0,39,3350544384,40513,1,818004,40587,33978,5,0
2023-01-09 03:04:00.946145,988,323,893,1977,1085,0,0,0,94777,1066,694336,1318,R,8765,0,215,0,17,10,0,0,39,3350544384,40587,1,818004,40603,33994,5,0
2023-01-09 03:04:01.202807,1010,331,899,1977,1086,0,0,0,97309,1097,699014,1348,S,9002,0,217,0,19,10,0,0,39,3350544384,40744,1,818004,40744,34077,5,0
2023-01-09 03:04:01.427881,1023,338,903,1987,1086,0,0,0,99619,1125,703717,1378,S,9002,0,217,0,19,10,0,0,39,3350544384,40744,0,818004,40745,34077,5,0
2023-01-09 03:04:01.703689,1033,339,907,2018,1086,0,0,0,102175,1156,708799,1413,S,9031,0,217,0,20,10,0,0,39,3350544384,40744,1,818036,40779,34109,5,0
2023-01-09 03:04:01.953927,1055,340,910,2032,1086,0,0,0,104749,1188,713389,1442,S,9375,0,217,0,22,10,0,0,39,3350675456,40780,0,818036,40795,34124,5,0
2023-01-09 03:04:02.219312,1071,343,913,2043,1086,0,0,0,107347,1220,719616,1479,S,9414,0,217,0,22,10,0,0,39,3350675456,40795,0,818036,40796,34124,5,0
2023-01-09 03:04:02.469474,1079,344,917,2081,1086,0,0,0,109879,1251,724585,1513,S,9606,0,217,0,25,10,0,0,39,3350675456,40828,0,818036,40823,34170,5,0
2023-01-09 03:04:02.729849,1084,345,922,2115,1088,0,0,0,112345,1281,729470,1545,R,9691,0,217,0,26,10,0,0,39,3350675456,40823,0,818036,40823,34170,5,0
2023-01-09 03:04:02.989045,1090,347,925,2147,1091,0,0,0,115429,1320,734379,1577,S,9693,0,217,0,26,10,0,0,39,3350675456,40823,1,818036,40864,34191,5,0
2023-01-09 03:04:03.249808,1094,347,926,2190,1091,0,0,0,118249,1355,739444,1611,S,9695,0,217,0,27,10,0,0,39,3350675456,40864,1,818036,40864,34191,5,0
2023-01-09 03:04:03.505117,1099,347,929,2230,1092,0,0,0,120781,1386,744263,1642,S,9739,0,218,0,27,10,0,0,39,3350675456,40880,1,818036,40880,34207,5,0
2023-01-09 03:04:03.770585,1105,348,933,2271,1092,0,0,0,123733,1423,749238,1675,S,9827,0,218,0,28,11,0,0,39,3350675456,40897,0,818036,40897,34223,5,0
2023-01-09 03:04:04.031014,1109,348,935,2310,1093,0,0,0,126289,1454,754303,1709,S,9856,0,219,0,28,11,0,0,39,3350675456,40900,1,818036,40900,34225,5,0
2023-01-09 03:04:04.291408,1115,349,937,2345,1093,0,0,0,128977,1487,759434,1744,S,9895,0,219,0,29,11,0,0,39,3350675456,40900,1,818036,40900,34225,5,0
2023-01-09 03:04:04.556832,1116,351,939,2394,1093,0,0,0,131797,1522,764607,1780,S,9919,0,219,0,29,11,0,0,39,3350675456,40900,0,818036,40887,34225,5,0
2023-01-09 03:04:04.817404,1124,352,943,2429,1094,0,0,0,134527,1556,769402,1811,S,9982,0,219,0,30,11,0,0,39,3350675456,40902,1,818036,40902,34240,5,0
2023-01-09 03:04:05.082906,1129,359,948,2449,1096,0,0,0,137125,1588,774330,1844,S,10043,0,219,0,32,11,0,0,39,3350675456,40902,1,818036,40902,34240,5,0
2023-01-09 03:04:05.350679,1139,359,951,2452,1096,0,0,0,139411,1616,778790,1871,S,10043,0,219,0,32,11,0,0,39,3350675456,40902,0,818036,40994,34319,5,0
2023-01-09 03:04:05.640943,1147,359,955,2465,1096,0,0,0,142009,1648,783628,1903,S,10068,0,219,0,33,11,0,0,39,3350675456,40994,0,818164,40994,34319,5,0
2023-01-09 03:04:05.888634,1160,360,957,2468,1096,0,0,0,144343,1676,788268,1932,S,10538,0,219,0,34,12,0,0,39,3351199744,40994,0,818164,40994,34319,5,0
2023-01-09 03:04:06.151055,1187,360,959,2470,1096,0,0,0,146275,1699,793780,1960,R,10566,0,219,0,34,12,0,0,39,3351199744,40994,0,818164,40994,34319,5,0
2023-01-09 03:04:06.405521,1202,360,963,2493,1096,0,0,0,149095,1734,798978,1996,S,10580,0,219,0,35,12,0,0,39,3351199744,40994,1,818164,40994,34319,5,0
2023-01-09 03:04:06.665866,1207,361,964,2531,1097,0,0,0,151915,1769,804242,2033,S,10581,0,219,0,36,12,0,0,39,3351199744,40994,1,818164,41027,34351,5,0
2023-01-09 03:04:06.931427,1211,361,967,2577,1097,0,0,0,154867,1806,809176,2065,S,10671,0,219,0,37,12,0,0,39,3351199744,41027,1,818164,41059,34383,5,0
2023-01-09 03:04:07.196814,1232,361,971,2601,1097,0,0,0,157267,1835,814038,2097,S,10857,0,219,0,37,13,0,0,39,3351199744,41060,0,818164,41060,34383,5,0
2023-01-09 03:04:07.448932,1250,361,973,2611,1097,0,0,0,159865,1867,818990,2130,S,10898,0,219,0,38,13,0,0,39,3351199744,41060,1,818164,41060,34383,5,0
2023-01-09 03:04:07.719501,1267,362,977,2643,1097,0,0,0,162685,1902,824122,2165,S,10916,0,219,0,38,13,0,0,39,3351199744,41060,1,818164,41060,34383,5,0
2023-01-09 03:04:07.973092,1296,363,982,2648,1097,0,0,0,165053,1930,829174,2200,S,11072,0,219,0,39,14,0,0,39,3351199744,41077,1,818164,41077,34399,5,0
