#com.ps.ddp
#./workspace/com.ps.ddp_2/app1371.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 21:17:53.637652,666,154,548,2530,1078,0,0,0,854389,2755,1632230,2928,S,117154,0,207,0,155,61,0,0,44,3618521088,86665,0,883421,81702,43214,5,0
2023-01-11 21:17:53.908597,675,156,550,2530,1078,0,0,0,859767,2817,1647415,2994,R,118961,0,207,0,161,63,0,0,44,3618492416,81702,1,883767,67990,43307,5,0
2023-01-11 21:17:54.168890,687,157,554,2530,1078,0,0,0,862347,2848,1658571,3032,R,119765,0,207,0,164,64,0,0,45,3619909632,67922,0,883792,68211,43372,5,0
2023-01-11 21:17:54.422276,697,157,558,2530,1078,0,0,0,868181,2918,1670696,3100,S,120887,0,207,0,167,65,0,0,45,3620012032,68211,0,883792,68591,43373,5,0
2023-01-11 21:17:54.691451,709,158,562,2530,1078,0,0,0,870974,2952,1677369,3136,R,121175,0,208,0,170,66,0,0,45,3620012032,68186,0,883731,69413,43309,5,0
2023-01-11 21:17:54.944077,715,160,565,2530,1078,0,0,0,874088,2990,1683427,3174,S,123203,0,208,0,176,67,0,0,45,3620012032,69412,0,883723,69491,43293,5,0
2023-01-11 21:17:55.217281,724,161,570,2530,1078,0,0,0,877646,3034,1692108,3220,S,123996,0,208,0,181,68,0,0,45,3619729408,69491,0,883723,69491,43293,5,0
2023-01-11 21:17:55.487435,732,163,573,2530,1078,0,0,0,882338,3092,1706629,3288,S,123998,0,208,0,181,69,0,0,45,3619729408,69491,0,884019,69934,43323,5,0
2023-01-11 21:17:55.737905,741,164,577,2531,1078,0,0,0,885650,3132,1716367,3337,R,124260,0,208,0,184,69,0,0,46,3620941824,69710,1,884019,70384,43323,5,0
2023-01-11 21:17:55.982834,756,166,582,2531,1078,0,0,0,888944,3172,1723048,3378,R,124536,0,208,0,185,69,0,0,46,3620941824,70019,1,884019,71047,43323,5,0
2023-01-11 21:17:56.243532,769,170,587,2531,1078,0,0,0,890555,3191,1726872,3405,R,125613,0,208,0,189,70,0,0,46,3620941824,70981,1,884002,71242,43329,5,0
2023-01-11 21:17:56.525493,799,173,593,2532,1078,0,0,0,894221,3236,1735809,3460,R,126316,0,208,0,194,70,0,0,46,3620753408,71298,1,884387,71498,43414,5,0
2023-01-11 21:17:56.773597,819,177,597,2533,1078,0,0,0,897709,3279,1745818,3512,S,126528,0,208,0,196,71,0,0,47,3622449152,71498,0,884389,71534,43450,5,0
2023-01-11 21:17:57.039138,851,178,604,2535,1078,0,0,0,901450,3324,1753153,3555,S,126535,0,208,0,196,71,0,0,47,3622457344,71534,0,884389,71534,43450,5,0
2023-01-11 21:17:57.289336,858,188,607,2543,1079,0,0,0,905098,3369,1761559,3604,S,126535,0,208,0,196,71,0,0,47,3622457344,71534,0,884389,71534,43450,5,0
2023-01-11 21:17:57.545963,878,190,611,2556,1079,0,0,0,909125,3419,1770290,3656,S,126536,0,208,0,197,71,0,0,47,3622457344,71534,0,884389,71534,43450,5,0
