#com.pydio.android.Client
#./workspace/com.pydio.android.Client_0/com.pydio.android.Client.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 04:06:57.906089,1204,263,865,1350,671,0,0,0,1501060,1621,674914,1012,S,3795,0,1,0,5,4,0,0,11,3289235456,24740,0,803036,24740,19858,5,0
2023-01-11 04:06:58.173337,1209,264,870,1350,671,0,0,0,1503488,1650,680804,1050,S,3795,0,1,0,5,4,0,0,11,3289235456,24740,0,803036,24740,19858,5,0
2023-01-11 04:06:58.424511,1214,267,875,1350,671,0,0,0,1505614,1676,685891,1081,S,3795,0,1,0,5,4,0,0,11,3289235456,24740,0,803036,24740,19858,5,0
2023-01-11 04:06:58.690149,1220,269,880,1350,671,0,0,0,1508084,1706,691751,1114,S,3795,0,1,0,5,4,0,0,11,3289235456,24740,0,803036,24740,19858,5,0
2023-01-11 04:06:58.952378,1225,271,886,1350,671,0,0,0,1510862,1740,698050,1147,S,3795,0,1,0,5,4,0,0,11,3289235456,24740,0,803036,24740,19858,5,0
2023-01-11 04:06:59.219495,1229,276,890,1350,671,0,0,0,1513220,1768,704120,1179,S,3810,0,1,0,5,4,0,0,13,3291418624,24741,0,805524,28920,23284,5,0
2023-01-11 04:06:59.453346,1237,278,895,1350,671,0,0,0,1515048,1789,709537,1207,S,4700,0,3,0,10,7,0,0,15,3294982144,28062,0,807018,31192,25079,5,0
2023-01-11 04:06:59.720124,1248,280,900,1350,671,0,0,0,1517817,1822,714631,1242,R,6415,0,4,0,15,10,0,0,16,3302514688,30315,0,805712,29507,23639,5,0
2023-01-11 04:06:59.994202,1252,281,902,1350,671,0,0,0,1520071,1849,720770,1274,S,7898,0,4,0,17,10,0,0,16,3305545728,31192,0,805712,29507,23639,5,0
2023-01-11 04:07:00.244073,1263,282,906,1350,671,0,0,0,1522179,1874,724358,1304,S,8095,0,4,0,18,10,0,0,16,3300196352,29507,0,805744,28936,23639,5,0
2023-01-11 04:07:00.509488,1271,282,908,1350,671,0,0,0,1523676,1892,727848,1322,S,8109,0,4,0,18,10,0,0,16,3300327424,28936,0,805744,28936,23639,5,0
2023-01-11 04:07:00.780274,1274,284,912,1350,671,0,0,0,1525292,1911,730673,1343,S,8109,0,4,0,18,10,0,0,16,3300327424,28936,0,805744,28936,23639,5,0
2023-01-11 04:07:01.025347,1278,287,916,1350,671,0,0,0,1527938,1943,735865,1378,S,8110,0,4,0,18,10,0,0,16,3300327424,28936,0,806465,29625,24326,5,0
2023-01-11 04:07:01.551275,1290,291,925,1351,671,0,0,0,1531768,1989,744916,1435,S,8898,0,5,0,21,10,0,0,16,3303280640,29734,0,806465,29992,24561,5,0
2023-01-11 04:07:01.295899,1284,290,922,1350,671,0,0,0,1531612,1987,743847,1432,S,8898,0,5,0,21,10,0,0,16,3303280640,29734,0,806465,29992,24561,5,0
2023-01-11 04:07:01.827090,1304,294,931,1351,671,0,0,0,1536413,2045,754703,1500,S,9167,0,6,0,23,10,0,0,16,3303284736,29868,0,806466,29868,24561,5,0
2023-01-11 04:07:02.091219,1314,294,934,1351,671,0,0,0,1539022,2076,762454,1538,S,9168,0,6,0,23,10,0,0,16,3303284736,29868,0,806466,29868,24561,5,0
2023-01-11 04:07:02.612078,1324,295,937,1351,671,0,0,0,1540574,2094,764918,1556,S,9168,0,6,0,23,10,0,0,16,3303284736,29868,0,806466,29868,24561,5,0
2023-01-11 04:07:02.341605,1323,295,936,1351,671,0,0,0,1540574,2094,764918,1556,S,9168,0,6,0,23,10,0,0,16,3303284736,29868,0,806466,29868,24561,5,0
2023-01-11 04:07:02.860394,1329,296,944,1351,671,0,0,0,1545593,2155,776406,1630,S,9274,0,6,0,25,10,0,0,16,3303284736,30265,0,806428,30245,24851,5,0
2023-01-11 04:07:03.145450,1335,297,947,1351,671,0,0,0,1547306,2175,778573,1647,S,9274,0,6,0,25,10,0,0,16,3303129088,30245,0,806428,30245,24851,5,0
2023-01-11 04:07:04.448033,1522,303,980,1351,671,0,0,0,1554324,2257,795179,1720,S,9383,0,6,0,30,11,0,0,16,3303129088,30245,1,806428,30214,24851,5,0
2023-01-11 04:07:03.400995,1504,302,976,1351,671,0,0,0,1556160,2279,800973,1744,S,9383,0,6,0,30,11,0,0,16,3303129088,30245,1,806428,30214,24851,5,0
