#com.quipack.a.b4f3823b6cabc44000100ecf5
#./workspace/com.quipack.a.b4f3823b6cabc44000100ecf5_0/app4925.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 21:27:31.514554,689,155,528,2673,947,0,0,0,2803127,3846,1580879,2851,D,9852,0,171,0,18,12,0,0,23,3332616192,39293,1,818942,42929,35666,5,0
2023-01-11 21:27:31.781145,695,160,536,2673,947,0,0,0,2814629,3912,1593293,2913,S,11243,0,276,0,21,14,0,0,41,3356631040,43038,1,818703,42365,34940,5,0
2023-01-11 21:27:32.046667,702,162,539,2673,947,0,0,0,2823055,3961,1609168,2972,S,11844,0,276,0,23,14,0,0,40,3353407488,42362,1,818703,42442,34959,5,0
2023-01-11 21:27:32.332589,714,163,544,2673,947,0,0,0,2826887,4008,1620854,3022,S,12023,0,276,0,24,14,0,0,40,3353407488,42442,1,818579,42399,35129,5,0
2023-01-11 21:27:32.571347,721,165,548,2676,947,0,0,0,2843142,4070,1630546,3085,S,12717,0,276,0,27,14,0,0,40,3352899584,42399,1,818707,42664,35282,5,0
2023-01-11 21:27:32.821768,730,166,553,2700,948,0,0,0,2847597,4114,1638008,3135,S,13068,0,276,0,30,14,0,0,40,3353423872,42749,1,818707,42749,35309,5,0
2023-01-11 21:27:33.082318,734,166,556,2742,948,0,0,0,2856049,4169,1646954,3197,S,13073,0,276,0,30,14,0,0,40,3353423872,42749,0,818707,42749,35309,5,0
2023-01-11 21:27:33.342828,740,167,559,2783,949,0,0,0,2876351,4224,1655047,3253,S,13246,0,277,0,32,14,0,0,40,3353423872,43043,0,818707,43043,35466,5,0
2023-01-11 21:27:33.599660,743,168,562,2808,951,0,0,0,2914256,4286,1663626,3308,S,13342,0,277,0,34,14,0,0,40,3353423872,43043,1,818707,43043,35466,5,0
2023-01-11 21:27:33.860141,758,169,565,2833,951,0,0,0,2999458,4385,1673569,3379,S,13360,0,277,0,36,14,0,0,40,3353423872,43043,1,818707,43043,35466,5,0
