#com.rqsoncbi.bjoa.ulsvt
#./workspace/com.rqsoncbi.bjoa.ulsvt_0/app4646.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 02:30:31.909064,762,172,623,1230,804,0,0,0,2997411,2369,639118,812,S,5459,0,3,0,22,23,0,0,26,3310960640,31226,1,808852,31372,25710,5,0
2023-01-11 02:30:32.183468,767,173,628,1230,804,0,0,0,2999901,2399,644058,845,S,5585,0,3,0,26,29,0,0,26,3313057792,31372,1,809293,31409,25749,5,0
2023-01-11 02:30:32.440651,772,174,633,1230,804,0,0,0,3001899,2423,647238,871,S,5694,0,3,0,29,32,0,0,25,3313803264,31409,1,810053,31477,25777,5,0
2023-01-11 02:30:32.705452,781,176,640,1230,804,0,0,0,3004578,2455,654609,908,S,5915,0,3,0,34,37,0,0,26,3318005760,31478,1,810106,31725,25887,5,0
2023-01-11 02:30:32.960268,785,178,644,1230,804,0,0,0,3007360,2489,659525,941,S,6083,0,3,0,37,40,0,0,26,3319025664,31712,1,810628,31825,26026,5,0
2023-01-11 02:30:33.215630,794,178,648,1230,804,0,0,0,3009316,2512,663708,965,S,6220,0,3,0,39,46,0,0,26,3320332288,31776,1,811140,31800,26001,5,0
2023-01-11 02:30:33.480911,801,179,653,1230,804,0,0,0,3012547,2551,671115,1009,S,6369,0,3,0,42,49,0,0,26,3321380864,31809,1,810810,31921,26055,5,0
2023-01-11 02:30:33.741374,804,180,657,1230,804,0,0,0,3013171,2559,672712,1018,S,6411,0,3,0,44,50,0,0,26,3322429440,31800,1,810810,31920,26055,5,0
2023-01-11 02:30:34.007189,811,181,663,1230,804,0,0,0,3015563,2587,677514,1049,S,6564,0,3,0,49,53,0,0,25,3321077760,31700,1,810810,31766,26055,5,0
2023-01-11 02:30:34.275919,814,184,668,1230,804,0,0,0,3017831,2614,682341,1081,S,6696,0,3,0,52,57,0,0,25,3321077760,31766,1,810810,31832,26055,5,0
2023-01-11 02:30:34.537464,818,190,673,1230,804,0,0,0,3020453,2646,687348,1115,S,6767,0,3,0,55,62,0,0,25,3321077760,31832,1,810810,31898,26055,5,0
2023-01-11 02:30:34.802129,821,194,679,1230,804,0,0,0,3023297,2681,692586,1152,S,6826,0,3,0,57,67,0,0,25,3321077760,31898,1,810818,32194,26149,5,0
2023-01-11 02:30:35.052176,825,198,685,1230,804,0,0,0,3025527,2707,698536,1186,S,7078,0,4,0,59,70,0,0,26,3322286080,32119,1,810536,31892,26225,5,0
2023-01-11 02:30:35.317800,829,199,689,1230,804,0,0,0,3027521,2731,703119,1215,S,7243,0,4,0,60,72,0,0,24,3319955456,31892,1,810536,31957,26225,5,0
2023-01-11 02:30:35.583306,834,202,694,1230,804,0,0,0,3030105,2762,708079,1249,S,7331,0,4,0,63,74,0,0,24,3319955456,31957,1,811825,32017,26225,5,0
2023-01-11 02:30:35.854124,842,204,699,1230,804,0,0,0,3032825,2795,712819,1278,S,7404,0,5,0,66,77,0,0,25,3325235200,32017,1,811825,32645,26426,5,0
