#com.rsupport.starter.m3.old
#./workspace/com.rsupport.starter.m3.old_0/com.rsupport.starter.m3.old.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 13:38:36.620097,850,235,641,1230,1515,0,0,0,144627,633,747276,954,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:36.885702,858,241,647,1230,1515,0,0,0,150815,674,755370,998,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:37.132921,861,249,650,1230,1515,0,0,0,161795,713,760812,1037,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:37.414071,869,252,655,1230,1515,0,0,0,168377,743,765629,1069,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:37.679453,876,254,659,1230,1515,0,0,0,173561,772,770879,1105,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:37.939289,883,260,665,1232,1515,0,0,0,176093,803,777469,1144,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:38.194745,889,263,670,1248,1515,0,0,0,181923,842,782798,1182,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:38.460115,892,263,675,1274,1515,0,0,0,184809,878,787898,1217,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:38.720717,897,264,681,1298,1515,0,0,0,187629,913,792956,1251,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:38.986088,904,265,689,1319,1516,0,0,0,196131,952,799684,1291,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:39.241553,911,266,694,1339,1516,0,0,0,200253,988,806651,1332,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:39.501958,917,266,698,1367,1516,0,0,0,202809,1019,811685,1366,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:39.762325,924,266,704,1394,1516,0,0,0,206789,1053,816796,1401,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:40.022622,931,266,708,1420,1516,0,0,0,211276,1086,822344,1440,S,2212,0,2,0,0,1,0,0,12,3282616320,23947,0,801420,23947,19242,5,0
2023-01-11 13:38:40.283153,935,267,713,1446,1516,0,0,0,218187,1129,836727,1489,S,2217,0,2,0,0,2,0,0,12,3282747392,23947,0,801452,23947,19242,5,0
2023-01-11 13:38:40.537679,938,267,717,1467,1516,0,0,0,227911,1164,841959,1526,S,2217,0,2,0,0,2,0,0,12,3282747392,23947,0,801452,23947,19242,5,0
2023-01-11 13:38:40.823485,941,268,723,1495,1516,0,0,0,230443,1195,846903,1559,S,2217,0,2,0,0,2,0,0,12,3282747392,23947,0,801452,23947,19242,5,0
2023-01-11 13:38:41.073800,947,269,726,1518,1516,0,0,0,233131,1228,853124,1596,S,2217,0,2,0,0,2,0,0,12,3282747392,23947,0,801452,23947,19242,5,0
2023-01-11 13:38:41.334199,956,271,731,1532,1516,0,0,0,240433,1268,858592,1636,S,2217,0,2,0,0,2,0,0,12,3282747392,23947,0,801452,23947,19242,5,0
2023-01-11 13:38:41.599692,962,273,738,1552,1517,0,0,0,243031,1300,863422,1668,S,2217,0,2,0,0,2,0,0,12,3282747392,23947,0,801452,23947,19242,5,0
2023-01-11 13:38:41.855070,966,274,742,1575,1517,0,0,0,253699,1338,868864,1708,S,2217,0,2,0,0,2,0,0,12,3282747392,23947,0,801452,23947,19242,5,0
2023-01-11 13:38:42.120474,972,275,748,1596,1517,0,0,0,256231,1369,874140,1744,S,2217,0,2,0,0,2,0,0,12,3282747392,23947,0,801452,23947,19242,5,0
2023-01-11 13:38:42.380956,978,276,754,1609,1521,0,0,0,259135,1405,879764,1786,S,2217,0,2,0,0,2,0,0,12,3282747392,23947,0,801452,23947,19242,5,0
2023-01-11 13:38:42.626308,985,278,760,1625,1523,0,0,0,267732,1440,885444,1828,S,2895,0,20,0,2,2,0,0,12,3293233152,24846,0,804012,24846,19591,5,0
2023-01-11 13:38:42.901908,997,278,766,1636,1527,0,0,0,269976,1467,890270,1860,S,2895,0,20,0,2,2,0,0,12,3293233152,24846,0,804012,24846,19591,5,0
2023-01-11 13:38:43.155445,1005,279,776,1644,1528,0,0,0,275138,1509,896293,1904,S,2895,0,20,0,2,2,0,0,12,3293233152,24846,0,804012,24846,19591,5,0
