#com.rvknehdt.awtijwrao
#./workspace/com.rvknehdt.awtijwrao_0/app3079.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 15:14:47.154705,720,122,480,2709,774,0,0,0,5149719,3871,647384,1026,S,4239,0,7,0,1,3,0,0,13,3293216768,27766,0,804008,27766,22644,5,0
2023-01-11 15:14:47.437372,732,122,483,2717,774,0,0,0,5152809,3909,654451,1068,S,4239,0,7,0,2,3,0,0,13,3293216768,27766,0,804291,28506,23287,5,0
2023-01-11 15:14:47.697727,740,125,487,2719,774,0,0,0,5172954,3955,661363,1110,S,7205,0,36,0,7,7,0,0,21,3314069504,33080,0,808705,33182,26881,5,0
2023-01-11 15:14:47.956800,750,128,491,2721,774,0,0,0,5175330,3984,666032,1140,S,7329,0,36,0,7,7,0,0,20,3312455680,33182,1,808929,34076,27766,5,0
2023-01-11 15:14:48.202167,759,129,494,2723,775,0,0,0,5203518,4031,670876,1173,S,9014,0,36,0,9,8,0,0,20,3313373184,34076,1,808929,34076,27766,5,0
2023-01-11 15:14:48.466283,762,136,496,2738,775,0,0,0,5206116,4063,676241,1210,S,9180,0,36,0,9,8,0,0,20,3313373184,34078,1,808929,34078,27798,5,0
2023-01-11 15:14:48.732301,774,139,501,2742,775,0,0,0,5242544,4117,681223,1244,S,9242,0,36,0,9,9,0,0,21,3318652928,34078,1,810218,34078,27798,5,0
2023-01-11 15:14:48.990594,784,141,505,2747,778,0,0,0,5245534,4153,688432,1287,S,10347,0,50,0,12,9,0,0,21,3321606144,35541,1,810939,35541,28971,5,0
2023-01-11 15:14:49.252448,791,145,507,2749,778,0,0,0,5247150,4172,691301,1309,S,10347,0,50,0,13,9,0,0,21,3321606144,35541,1,810949,36260,29580,5,0
2023-01-11 15:14:49.507943,814,153,513,2750,778,0,0,0,5252090,4208,696929,1347,S,10596,0,50,0,14,9,0,0,21,3321286656,36104,1,810861,36104,29595,5,0
