#com.safesys.myvpn2
#./workspace/com.safesys.myvpn2_1/app727.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 06:16:09.546049,943,291,889,1841,1077,0,0,0,274029,609,646828,722,S,29782,0,636,0,88,35,0,0,79,4289802240,69765,0,1047315,69765,55469,5,0
2023-01-09 06:16:09.816713,957,291,896,1855,1077,0,0,0,277993,658,655699,773,S,29782,0,636,0,88,35,0,0,79,4289802240,69765,0,1047315,69760,55469,5,0
2023-01-09 06:16:10.066877,964,292,897,1855,1077,0,0,0,279897,681,661986,797,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:10.332947,971,293,901,1855,1077,0,0,0,281985,706,666307,822,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:10.587624,980,296,905,1859,1077,0,0,0,284947,742,672989,863,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:10.844037,990,297,907,1860,1077,0,0,0,286761,764,676105,888,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:11.119378,999,299,910,1863,1077,0,0,0,289161,793,680877,918,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:11.361543,1010,300,912,1867,1077,0,0,0,291627,823,685643,949,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:11.624329,1023,300,914,1876,1077,0,0,0,294003,852,690343,979,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:11.889485,1051,300,917,1889,1077,0,0,0,296619,885,694797,1006,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:12.150681,1076,305,921,1893,1077,0,0,0,299439,920,699965,1042,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:12.408478,1106,306,925,1906,1077,0,0,0,301839,949,704863,1075,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:12.669728,1130,306,928,1911,1077,0,0,0,304371,980,709654,1106,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:12.930166,1156,306,932,1918,1078,0,0,0,306525,1006,714110,1133,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:13.190605,1173,307,933,1936,1079,0,0,0,308967,1036,718854,1164,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:13.441347,1191,307,936,1956,1079,0,0,0,311385,1066,723574,1195,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:13.706904,1232,307,940,1963,1079,0,0,0,313737,1095,728438,1228,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:13.962178,1263,307,945,1966,1079,0,0,0,316519,1129,733956,1264,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:14.212488,1284,308,949,1968,1080,0,0,0,318829,1157,739114,1296,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:14.482763,1315,308,953,1973,1080,0,0,0,320889,1182,744207,1327,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:14.740173,1334,308,956,1986,1080,0,0,0,323643,1216,749379,1363,S,29785,0,636,0,88,35,0,0,79,4289802240,69760,0,1047315,69760,55469,5,0
2023-01-09 06:16:15.002045,1363,308,961,1993,1080,0,0,0,327873,1268,761372,1415,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:15.257444,1399,310,967,1995,1080,0,0,0,328563,1277,764149,1424,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:15.512561,1427,311,972,1995,1080,0,0,0,331597,1314,770558,1462,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:15.770181,1452,313,976,1996,1080,0,0,0,333751,1340,773986,1491,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:16.027030,1491,313,984,1997,1080,0,0,0,336529,1374,780434,1528,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:16.272363,1513,313,986,1998,1080,0,0,0,338395,1396,784554,1552,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:16.547986,1543,314,991,1999,1080,0,0,0,340233,1418,787576,1575,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:17.066664,1598,315,1000,2000,1080,0,0,0,344559,1470,799000,1631,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:16.803500,1588,315,999,2000,1080,0,0,0,345553,1482,802024,1643,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:17.338183,1626,315,1006,2001,1080,0,0,0,347887,1510,805700,1674,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:17.603069,1649,317,1010,2001,1080,0,0,0,350665,1544,813271,1713,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:17.854187,1679,320,1015,2008,1081,0,0,0,352663,1568,816519,1740,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:18.130079,1709,321,1019,2009,1081,0,0,0,354591,1591,820912,1766,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69757,55466,5,0
2023-01-09 06:16:18.394087,1741,321,1024,2013,1081,0,0,0,356679,1616,825437,1794,S,29785,0,636,0,88,35,0,0,79,4289802240,69757,0,1047315,69710,55534,5,0
2023-01-09 06:16:18.652846,1766,329,1029,2021,1081,0,0,0,359017,1644,830052,1823,S,29997,0,643,0,88,35,0,0,80,4294008832,70500,1,1048350,70503,56230,5,0
2023-01-09 06:16:18.909803,1786,329,1032,2021,1081,0,0,0,361615,1676,835986,1854,S,30031,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70504,56230,5,0
2023-01-09 06:16:19.183237,1817,330,1036,2021,1081,0,0,0,364270,1708,840751,1884,S,30063,0,643,0,88,36,0,0,80,4294041600,70504,1,1048350,70504,56230,5,0
2023-01-09 06:16:19.442155,1843,330,1041,2021,1081,0,0,0,366296,1732,843859,1909,S,30063,0,643,0,88,36,0,0,80,4294041600,70504,1,1048350,70503,56229,5,0
2023-01-09 06:16:19.688744,1910,331,1051,2021,1081,0,0,0,370727,1785,857051,1962,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:20.204654,1964,332,1058,2021,1081,0,0,0,372934,1811,860835,1990,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:19.949378,1905,331,1049,2021,1081,0,0,0,375222,1839,866048,2015,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:20.480386,1971,332,1059,2021,1081,0,0,0,375642,1845,867273,2020,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:20.737665,2022,333,1066,2022,1081,0,0,0,379341,1889,875757,2067,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:20.996756,2035,333,1068,2022,1081,0,0,0,381266,1912,880266,2094,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:21.262261,2097,333,1076,2022,1081,0,0,0,383374,1937,884871,2121,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:21.512781,2105,333,1078,2022,1081,0,0,0,385895,1967,888688,2152,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:21.773065,2144,334,1084,2022,1081,0,0,0,386920,1979,890677,2166,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:22.038710,2156,334,1086,2022,1081,0,0,0,386920,1979,890677,2166,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:22.295122,2183,334,1092,2022,1081,0,0,0,390867,2026,899256,2218,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048350,70503,56229,5,0
2023-01-09 06:16:22.820604,2240,335,1102,2023,1081,0,0,0,394929,2074,908947,2268,S,30075,0,643,0,89,36,0,0,80,4294041600,70503,0,1048359,71419,56713,5,0
2023-01-09 06:16:22.568617,2210,335,1096,2023,1081,0,0,0,394437,2068,906302,2260,S,30063,0,643,0,88,36,0,0,80,4294041600,70503,1,1048359,71419,56713,5,0
2023-01-09 06:16:23.616217,2345,338,1116,2023,1081,0,0,0,400163,2136,923497,2334,S,30633,0,643,0,93,38,0,0,80,4294078464,71419,1,1048359,71718,56824,5,0
2023-01-09 06:16:23.348550,2324,337,1113,2023,1081,0,0,0,399571,2129,922062,2327,S,30605,0,643,0,93,38,0,0,80,4294111232,71016,1,1048359,71718,56824,5,0
2023-01-09 06:16:23.088538,2325,337,1113,2023,1081,0,0,0,401350,2150,925513,2346,S,30692,0,644,0,94,38,0,0,80,4294078464,71627,1,1048359,71718,56824,5,0
2023-01-09 06:16:23.879110,2363,339,1122,2023,1081,0,0,0,404075,2182,930435,2377,S,30793,0,644,0,95,38,0,0,80,4294078464,71718,1,1048618,71625,56824,5,0
