#com.sample.favoritetwittersearch
#./workspace/com.sample.favoritetwittersearch_0/com.sample.favoritetwittersearch.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-09 00:29:43.919450,904,290,868,1982,1072,0,0,0,231084,615,648867,753,S,12166,0,8,0,35,5,0,0,17,3331883008,38026,0,813448,38024,26394,5,0
2023-01-09 00:29:44.195415,914,292,871,1982,1073,0,0,0,234642,659,656661,803,S,12167,0,8,0,37,5,0,0,17,3331883008,38024,0,813448,38024,26394,5,0
2023-01-09 00:29:44.447028,919,294,874,1982,1073,0,0,0,236820,685,661723,834,S,12183,0,9,0,37,5,0,0,17,3331887104,37802,0,813449,37802,26468,5,0
2023-01-09 00:29:44.702584,922,299,877,1982,1073,0,0,0,239220,714,668039,871,S,12184,0,9,0,37,5,0,0,17,3331887104,37802,0,813449,37802,26468,5,0
2023-01-09 00:29:44.979898,932,302,880,1982,1073,0,0,0,241662,744,672650,900,S,12186,0,9,0,37,5,0,0,17,3331887104,37802,0,813449,37802,26468,5,0
2023-01-09 00:29:45.231232,937,305,883,2000,1073,0,0,0,244194,775,677505,932,S,12462,0,15,0,37,6,0,0,17,3332804608,38876,0,813673,38876,27509,5,0
2023-01-09 00:29:45.749648,984,306,891,2024,1075,0,0,0,248756,831,687970,993,S,13866,0,18,0,39,10,0,0,18,3335999488,39801,0,814570,39994,27861,5,0
2023-01-09 00:29:45.484786,968,305,889,2023,1075,0,0,0,247699,818,685563,977,S,13673,0,18,0,37,10,0,0,18,3333894144,39624,0,814570,39994,27861,5,0
2023-01-09 00:29:45.998216,1012,306,896,2030,1075,0,0,0,251578,864,693335,1031,R,14210,0,18,0,46,10,0,0,18,3336015872,39987,1,814570,40113,27920,5,0
2023-01-09 00:29:46.268528,1046,306,899,2033,1075,0,0,0,255239,909,700450,1073,S,14421,0,18,0,50,10,0,0,18,3336478720,40179,1,814461,40081,27809,5,0
2023-01-09 00:29:46.533957,1075,307,902,2033,1075,0,0,0,256018,918,702083,1083,S,14431,0,18,0,53,10,0,0,18,3336486912,40179,1,814461,40081,27809,5,0
2023-01-09 00:29:46.791539,1104,308,906,2035,1075,0,0,0,258352,946,707092,1117,S,14555,0,18,0,57,10,0,0,18,3336032256,40081,0,814461,40081,27809,5,0
2023-01-09 00:29:47.071152,1122,308,908,2049,1075,0,0,0,261148,981,711952,1149,S,14581,0,18,0,58,10,0,0,18,3336032256,40081,1,814461,40081,27809,5,0
2023-01-09 00:29:47.312602,1132,309,911,2079,1075,0,0,0,263812,1014,716968,1183,S,14615,0,18,0,58,11,0,0,18,3336032256,40082,0,814493,40082,27809,5,0
2023-01-09 00:29:47.583143,1134,309,913,2124,1075,0,0,0,266764,1051,722032,1217,S,14656,0,18,0,58,11,0,0,18,3336163328,40098,0,814493,39721,27825,5,0
2023-01-09 00:29:47.843591,1143,309,916,2160,1076,0,0,0,269518,1085,728373,1255,S,14659,0,18,0,59,11,0,0,18,3336163328,39721,0,814493,39721,27825,5,0
2023-01-09 00:29:48.093856,1145,309,918,2206,1076,0,0,0,272206,1118,733437,1289,S,14659,0,18,0,59,11,0,0,18,3336163328,39721,0,814493,39721,27825,5,0
2023-01-09 00:29:48.354271,1157,310,923,2234,1077,0,0,0,275002,1153,738297,1321,S,14659,0,18,0,60,11,0,0,18,3336163328,39721,0,814493,39721,27825,5,0
2023-01-09 00:29:48.635623,1168,311,925,2271,1077,0,0,0,277888,1189,743445,1357,S,14660,0,18,0,60,11,0,0,18,3336163328,39721,0,814493,39721,27825,5,0
