#com.shouttube
#./workspace/com.shouttube_0/com.shouttube.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-11 02:12:33.760755,999,211,720,2501,649,0,0,0,648817,899,613061,765,S,10045,0,2,0,97,19,0,0,16,3320332288,34846,0,811466,35835,24005,5,0
2023-01-11 02:12:34.026591,1018,213,724,2501,649,0,0,0,651770,934,619420,801,S,10933,0,2,0,106,19,0,0,16,3323764736,35835,0,811466,35835,24005,5,0
2023-01-11 02:12:34.281828,1020,214,725,2501,649,0,0,0,652861,947,621596,815,S,10933,0,2,0,106,19,0,0,16,3323764736,35835,0,811466,35835,24005,5,0
2023-01-11 02:12:34.547739,1024,217,730,2501,649,0,0,0,656939,996,632369,877,S,10933,0,2,0,106,19,0,0,16,3323764736,35835,0,811466,35835,24005,5,0
2023-01-11 02:12:34.813123,1030,219,733,2501,649,0,0,0,658432,1014,635170,898,S,10933,0,2,0,106,19,0,0,16,3323764736,35835,0,811466,35835,24005,5,0
2023-01-11 02:12:35.077968,1034,222,738,2501,649,0,0,0,660766,1042,639820,928,S,10933,0,2,0,106,19,0,0,16,3323764736,35835,0,811466,35835,24005,5,0
2023-01-11 02:12:35.341793,1038,225,741,2501,649,0,0,0,663899,1079,646976,972,S,10933,0,2,0,106,19,0,0,16,3323764736,35835,0,811466,35835,24005,5,0
2023-01-11 02:12:35.592793,1040,230,746,2501,649,0,0,0,664678,1088,648609,982,S,10933,0,2,0,106,19,0,0,16,3323764736,35835,0,811466,35835,24005,5,0
2023-01-11 02:12:35.862340,1045,233,751,2501,649,0,0,0,667196,1118,653571,1015,S,10933,0,2,0,106,19,0,0,16,3323764736,35835,0,811466,35835,24005,5,0
2023-01-11 02:12:36.107358,1049,236,755,2501,649,0,0,0,669256,1143,658131,1044,S,10933,0,2,0,106,19,0,0,16,3323764736,35835,0,811468,35960,24212,5,0
2023-01-11 02:12:36.378005,1058,238,761,2501,649,0,0,0,672497,1182,666393,1091,S,11978,0,2,0,116,23,0,0,16,3323781120,36021,0,811887,36371,24629,5,0
2023-01-11 02:12:36.646097,1060,238,762,2501,649,0,0,0,674174,1202,669260,1113,S,12395,0,2,0,124,25,0,0,16,3325489152,36371,0,811919,36371,24629,5,0
2023-01-11 02:12:36.924671,1067,239,769,2501,649,0,0,0,676078,1225,673533,1138,S,12405,0,2,0,126,28,0,0,16,3325620224,36371,0,811919,36371,24629,5,0
2023-01-11 02:12:37.190823,1072,240,774,2501,649,0,0,0,678728,1257,678520,1172,S,12426,0,2,0,131,28,0,0,16,3325620224,36371,0,811920,36721,24916,5,0
2023-01-11 02:12:37.441527,1080,245,779,2501,649,0,0,0,681354,1289,683562,1206,S,12517,0,2,0,132,29,0,0,16,3325624320,36721,0,811920,36721,24916,5,0
2023-01-11 02:12:37.696815,1094,247,786,2501,650,0,0,0,684751,1330,692724,1260,S,12517,0,2,0,138,29,0,0,16,3325624320,36721,0,813496,38578,26512,5,0
2023-01-11 02:12:37.968483,1111,251,793,2501,650,0,0,0,688477,1374,702485,1319,S,13811,0,4,0,157,29,0,0,19,3330035712,38534,0,813743,38834,26720,5,0
2023-01-11 02:12:38.228226,1149,252,800,2501,650,0,0,0,687735,1365,699631,1308,S,14221,0,4,0,168,29,0,0,19,3332071424,38578,0,813622,38702,26592,5,0
2023-01-11 02:12:38.494903,1182,255,810,2501,650,0,0,0,692053,1416,710153,1370,S,14367,0,4,0,183,29,0,0,19,3332587520,38702,0,813504,38613,26527,5,0
2023-01-11 02:12:38.739616,1209,256,815,2501,650,0,0,0,693240,1430,712947,1380,S,14421,0,4,0,192,29,0,0,19,3333091328,38768,0,813507,38613,26527,5,0
2023-01-11 02:12:38.994926,1228,256,820,2501,650,0,0,0,696976,1475,723515,1435,S,14705,0,4,0,208,29,0,0,19,3332112384,38612,0,813507,38738,26593,5,0
2023-01-11 02:12:39.268468,1269,258,829,2501,650,0,0,0,698256,1490,725556,1450,S,14728,0,4,0,214,29,0,0,19,3332112384,38613,0,815043,39876,26732,5,0
2023-01-11 02:12:39.521180,1320,260,838,2501,650,0,0,0,699524,1505,727889,1465,S,14731,0,4,0,226,29,0,0,19,3332124672,38613,0,815043,40316,26732,5,0
2023-01-11 02:12:40.041725,1346,262,846,2501,650,0,0,0,701899,1533,733354,1495,R,15140,0,4,0,233,29,0,0,19,3334221824,39122,0,815047,40316,26732,5,0
2023-01-11 02:12:39.786687,1329,261,841,2501,650,0,0,0,700878,1521,730296,1482,S,14769,0,4,0,228,29,0,0,19,3332124672,38738,0,815047,40316,26732,5,0
2023-01-11 02:12:40.308895,1378,264,862,2501,650,0,0,0,705234,1573,739625,1540,S,16388,0,5,0,247,30,0,0,19,3338432512,40316,0,815880,40757,27130,5,0
2023-01-11 02:12:40.569310,1388,264,865,2501,650,0,0,0,706336,1587,741481,1552,S,16388,0,5,0,248,30,0,0,19,3338432512,40316,0,814908,39767,26317,5,0
2023-01-11 02:12:41.090238,1434,270,877,2502,650,0,0,0,710757,1640,751204,1614,S,17236,0,5,0,253,32,0,0,20,3337863168,39767,0,815323,40162,26712,5,0
2023-01-11 02:12:40.845053,1429,269,875,2502,650,0,0,0,711159,1645,752525,1620,S,17236,0,5,0,253,32,0,0,20,3337863168,39767,0,815323,40162,26712,5,0
2023-01-11 02:12:41.354521,1457,271,887,2502,650,0,0,0,713272,1670,755795,1646,S,17236,0,5,0,253,32,0,0,20,3337863168,39767,0,815323,40162,26712,5,0
2023-01-11 02:12:41.625211,1480,278,900,2502,650,0,0,0,715200,1693,759961,1669,S,17651,0,5,0,253,32,0,0,20,3339563008,40162,0,815323,40162,26712,5,0
2023-01-11 02:12:41.887824,1500,287,911,2502,650,0,0,0,717798,1725,765938,1703,S,17652,0,5,0,253,32,0,0,20,3339563008,40162,0,815323,40162,26712,5,0
2023-01-11 02:12:42.163114,1520,294,920,2502,650,0,0,0,720222,1754,770901,1737,S,17652,0,5,0,253,32,0,0,20,3339563008,40162,0,815323,40162,26712,5,0
2023-01-11 02:12:42.403146,1537,303,928,2502,650,0,0,0,722532,1782,775810,1770,S,17652,0,5,0,253,32,0,0,20,3339563008,40162,0,815323,40162,26712,5,0
2023-01-11 02:12:42.661306,1553,314,936,2502,650,0,0,0,725130,1814,780839,1805,S,17652,0,5,0,254,32,0,0,20,3339563008,40162,0,815323,40162,26712,5,0
2023-01-11 02:12:42.942392,1573,327,942,2502,650,0,0,0,727398,1841,786252,1841,S,17652,0,5,0,254,32,0,0,20,3339563008,40162,0,815323,40162,26712,5,0
2023-01-11 02:12:43.194849,1594,338,948,2502,650,0,0,0,729600,1867,791539,1875,S,17652,0,5,0,254,32,0,0,20,3339563008,40162,0,815323,40162,26712,5,0
2023-01-11 02:12:43.449274,1622,346,958,2502,650,0,0,0,731778,1893,797971,1911,S,17653,0,5,0,255,32,0,0,20,3339563008,40146,0,815323,40146,26712,5,0
2023-01-11 02:12:43.725225,1630,349,960,2502,650,0,0,0,733824,1917,802491,1939,S,17653,0,5,0,255,32,0,0,20,3339563008,40146,0,815323,40146,26712,5,0
2023-01-11 02:12:44.000196,1633,352,964,2502,650,0,0,0,736314,1947,807635,1975,S,17653,0,5,0,255,32,0,0,20,3339563008,40146,0,815323,40146,26712,5,0
2023-01-11 02:12:44.245796,1638,359,968,2513,650,0,0,0,738714,1976,812491,2007,S,17653,0,5,0,255,32,0,0,20,3339563008,40146,0,815323,40146,26712,5,0
2023-01-11 02:12:44.506675,1643,359,971,2544,650,0,0,0,741222,2007,818426,2040,S,17653,0,5,0,255,32,0,0,20,3339563008,40146,0,815323,39676,26732,5,0
2023-01-11 02:12:44.787702,1657,359,977,2574,650,0,0,0,744202,2044,823414,2074,S,17660,0,5,0,257,32,0,0,20,3339563008,39676,0,815323,39676,26732,5,0
2023-01-11 02:12:45.051433,1688,360,987,2577,650,0,0,0,746725,2074,829338,2105,R,17754,0,9,0,258,33,0,0,20,3339563008,40278,0,815323,40851,28244,5,0
2023-01-11 02:12:45.306797,1691,360,991,2582,651,0,0,0,747910,2088,831647,2121,S,18506,0,11,0,264,34,0,0,20,3339563008,40787,0,815323,40851,28244,5,0
2023-01-11 02:12:45.561470,1760,362,1009,2583,651,0,0,0,751959,2137,840818,2175,R,18527,0,11,0,272,35,0,0,20,3339563008,40851,0,815323,40851,28244,5,0
2023-01-11 02:12:45.842864,1790,363,1017,2583,651,0,0,0,753608,2156,844716,2196,R,18535,0,11,0,273,35,0,0,20,3339563008,40851,0,815323,40818,28244,5,0
2023-01-11 02:12:46.091044,1812,363,1021,2583,651,0,0,0,754533,2167,846984,2210,S,18547,0,11,0,276,35,0,0,20,3339563008,40851,0,815323,40818,28244,5,0
2023-01-11 02:12:46.360204,1820,363,1026,2583,651,0,0,0,755568,2179,848707,2221,S,18552,0,11,0,276,35,0,0,20,3339563008,40851,0,815323,40818,28244,5,0
2023-01-11 02:12:46.640106,1833,363,1033,2593,651,0,0,0,757926,2207,854888,2256,S,18562,0,11,0,278,36,0,0,20,3339563008,40818,0,815323,40818,28244,5,0
2023-01-11 02:12:46.874538,1837,363,1039,2623,651,0,0,0,760260,2235,859904,2290,S,18562,0,11,0,278,36,0,0,20,3339563008,40818,0,815323,40818,28244,5,0
2023-01-11 02:12:47.145326,1844,363,1044,2663,651,0,0,0,762948,2268,864944,2324,S,19313,0,11,0,283,37,0,0,20,3339907072,40917,0,815323,40949,28324,5,0
2023-01-11 02:12:47.421439,1883,364,1053,2663,651,0,0,0,765442,2298,869670,2355,S,19439,0,11,0,286,37,0,0,20,3339563008,40949,1,815323,40949,28324,5,0
2023-01-11 02:12:47.677706,1904,366,1060,2667,651,0,0,0,767460,2322,874218,2383,S,19439,0,11,0,286,37,0,0,20,3339563008,40949,1,815323,40949,28324,5,0
2023-01-11 02:12:47.939814,1908,381,1065,2680,651,0,0,0,772958,2387,886209,2455,S,19454,0,11,0,292,38,0,0,20,3339563008,41042,1,815430,42128,27976,5,0
2023-01-11 02:12:48.455606,1997,385,1079,2681,651,0,0,0,776004,2423,893402,2491,S,21916,0,15,0,308,41,0,0,20,3345104896,43343,1,815430,42128,27976,5,0
2023-01-11 02:12:48.710958,2023,385,1084,2681,651,0,0,0,776690,2431,894993,2500,S,21921,0,15,0,308,41,0,0,20,3340001280,42128,1,815430,42128,27976,5,0
2023-01-11 02:12:48.200195,1965,383,1075,2681,651,0,0,0,774143,2401,888320,2468,S,21488,0,15,0,306,41,0,0,20,3343405056,42881,1,815430,42128,27976,5,0
2023-01-11 02:12:49.235858,2072,387,1093,2682,651,0,0,0,780111,2472,901314,2546,S,21921,0,15,0,308,41,0,0,20,3340001280,42128,1,815432,42909,27976,5,0
2023-01-11 02:12:48.961142,2071,387,1092,2682,651,0,0,0,780357,2475,902635,2552,S,21921,0,15,0,308,41,0,0,20,3340001280,42128,1,815432,42909,27976,5,0
2023-01-11 02:12:49.499194,2084,389,1098,2682,651,0,0,0,782356,2499,905791,2578,S,21921,0,15,0,308,41,0,0,20,3340001280,42128,1,815849,43366,28388,5,0
2023-01-11 02:12:49.754763,2140,391,1110,2682,651,0,0,0,786116,2544,913656,2630,S,23418,0,15,0,326,45,0,0,20,3341717504,43366,0,815849,43366,28388,5,0
