#com.skp.launcher.Gardening_Narcissus_gl
#./workspace/com.skp.launcher.Gardening_Narcissus_gl_0/com.skp.launcher.Gardening_Narcissus_gl.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 04:09:31.226675,831,291,825,698,1216,0,0,0,1490703,1821,672719,1155,S,9554,0,2,0,19,6,0,0,16,3317710848,34453,1,809988,34453,23830,5,0
2023-01-10 04:09:31.497029,840,291,828,706,1216,0,0,0,1493481,1855,679111,1191,S,9554,0,2,0,19,6,0,0,16,3317710848,34453,1,809988,34453,23830,5,0
2023-01-10 04:09:31.767506,850,292,831,716,1216,0,0,0,1497171,1901,685504,1238,S,11140,0,2,0,23,7,0,0,16,3319058432,34690,1,810317,34690,24157,5,0
2023-01-10 04:09:32.023951,856,293,832,727,1216,0,0,0,1499793,1933,690495,1271,S,11143,0,2,0,23,7,0,0,16,3319058432,34690,1,809341,33773,23240,5,0
2023-01-10 04:09:32.274536,864,293,835,738,1216,0,0,0,1501947,1959,694945,1298,S,11145,0,2,0,24,7,0,0,16,3315060736,33773,1,809341,33773,23240,5,0
2023-01-10 04:09:32.534866,871,294,837,738,1216,0,0,0,1504191,1986,699682,1329,S,11145,0,2,0,24,7,0,0,16,3315060736,33773,1,809341,33773,23240,5,0
2023-01-10 04:09:32.784978,895,298,842,742,1216,0,0,0,1507229,2023,704923,1366,S,11145,0,2,0,24,7,0,0,16,3315060736,33773,1,809341,33773,23240,5,0
2023-01-10 04:09:33.035686,918,304,847,742,1216,0,0,0,1509247,2047,709505,1395,S,11145,0,2,0,24,7,0,0,16,3315060736,33773,1,809341,33773,23240,5,0
2023-01-10 04:09:33.311367,934,308,851,748,1216,0,0,0,1511533,2075,714020,1423,S,11145,0,2,0,24,7,0,0,16,3315060736,33773,1,809341,33773,23240,5,0
2023-01-10 04:09:33.551234,953,308,854,761,1216,0,0,0,1513909,2104,718781,1454,S,11145,0,2,0,24,7,0,0,16,3315060736,33773,1,809341,33773,23240,5,0
2023-01-10 04:09:33.821928,972,308,856,786,1216,0,0,0,1516261,2133,723498,1485,S,11145,0,2,0,24,7,0,0,16,3315060736,33773,1,809341,33773,23240,5,0
2023-01-10 04:09:34.090101,1008,309,860,799,1216,0,0,0,1519133,2168,729731,1520,S,11145,0,2,0,24,7,0,0,16,3315060736,33773,1,809341,33773,23240,5,0
2023-01-10 04:09:34.340164,1030,309,862,801,1216,0,0,0,1520881,2189,732620,1542,S,11145,0,2,0,24,7,0,0,16,3315060736,33773,1,809341,33773,23240,5,0
2023-01-10 04:09:34.616984,1051,313,866,804,1216,0,0,0,1523441,2220,737514,1575,S,11145,0,2,0,24,7,0,0,16,3315060736,33773,1,809373,33773,23240,5,0
2023-01-10 04:09:34.861567,1086,313,870,808,1216,0,0,0,1525369,2243,742030,1603,S,11152,0,2,0,24,7,0,0,16,3315191808,33773,1,809373,33773,23240,5,0
2023-01-10 04:09:35.122018,1111,314,875,811,1216,0,0,0,1527703,2271,748135,1639,S,11152,0,2,0,24,7,0,0,16,3315191808,33773,1,809373,33773,23240,5,0
2023-01-10 04:09:35.378937,1140,314,879,816,1216,0,0,0,1530127,2300,753143,1673,S,11152,0,2,0,24,7,0,0,16,3315191808,33773,1,809373,33773,23240,5,0
2023-01-10 04:09:35.641832,1171,314,883,821,1216,0,0,0,1532909,2334,757953,1704,S,11152,0,2,0,24,7,0,0,16,3315191808,33773,1,809373,33773,23240,5,0
2023-01-10 04:09:35.895704,1190,314,886,828,1216,0,0,0,1534903,2358,762493,1732,S,11152,0,2,0,24,7,0,0,16,3315191808,33773,1,809373,33773,23240,5,0
2023-01-10 04:09:36.165218,1226,315,891,838,1216,0,0,0,1538678,2404,770323,1784,S,11974,0,2,0,26,8,0,0,16,3317858304,33928,0,810349,34385,24587,5,0
2023-01-10 04:09:36.415857,1244,315,893,839,1216,0,0,0,1539995,2420,772647,1802,S,12332,0,3,0,27,8,0,0,16,3319189504,34385,1,810349,34385,24587,5,0
2023-01-10 04:09:36.679510,1272,316,897,841,1216,0,0,0,1542277,2448,776901,1826,S,12333,0,3,0,27,8,0,0,16,3319189504,34385,1,809640,33750,23935,5,0
2023-01-10 04:09:36.947762,1287,317,901,860,1216,0,0,0,1544969,2481,781532,1855,S,12368,0,3,0,27,8,0,0,17,3316285440,33750,0,809640,33750,23935,5,0
2023-01-10 04:09:37.217398,1315,320,904,860,1216,0,0,0,1546627,2501,785538,1877,S,12368,0,3,0,27,8,0,0,17,3316285440,33750,0,809640,33750,23935,5,0
2023-01-10 04:09:37.457129,1362,322,912,860,1216,0,0,0,1551408,2560,794171,1938,S,12845,0,3,0,28,9,0,0,17,3317620736,34172,0,810291,34502,24585,5,0
2023-01-10 04:09:37.738673,1375,323,914,861,1216,0,0,0,1553184,2581,798041,1959,S,13172,0,3,0,29,9,0,0,17,3318951936,34502,0,810291,34502,24585,5,0
2023-01-10 04:09:37.983470,1412,323,920,861,1216,0,0,0,1554455,2596,801466,1975,S,13173,0,3,0,29,9,0,0,17,3318951936,34502,0,810291,34502,24585,5,0
2023-01-10 04:09:38.238585,1447,326,926,861,1216,0,0,0,1557404,2631,807177,2014,S,13173,0,3,0,29,9,0,0,17,3318951936,34502,0,810291,34502,24585,5,0
2023-01-10 04:09:38.516113,1450,327,927,861,1216,0,0,0,1558495,2644,809321,2030,S,13173,0,3,0,29,9,0,0,17,3318951936,34502,0,810291,34502,24585,5,0
2023-01-10 04:09:38.774851,1478,331,932,870,1216,0,0,0,1561433,2680,814488,2066,S,13175,0,3,0,29,9,0,0,17,3318951936,34502,0,809864,34748,24785,5,0
