#com.slavjoy.homearchitecturelite
#./workspace/com.slavjoy.homearchitecturelite_0/com.slavjoy.homearchitecturelite.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 03:49:55.012137,790,335,836,1675,1217,0,0,0,984856,1464,704228,1134,S,19984,1512,195,0,45,13,0,1,39,3383103488,53304,0,825953,53304,38381,5,0
2023-01-10 03:49:55.282097,797,337,841,1680,1226,0,0,0,987412,1495,709269,1168,S,20070,1512,200,0,46,13,0,1,39,3383107584,53340,0,828354,53986,38838,5,0
2023-01-10 03:49:55.537476,808,341,845,1680,1228,0,0,0,990010,1527,714251,1200,S,20776,1512,206,0,62,16,0,1,42,3391918080,54092,0,828201,54180,39018,5,0
2023-01-10 03:49:55.797974,814,344,847,1682,1228,0,0,0,992188,1553,718932,1230,S,20988,1512,206,0,75,18,0,1,42,3392311296,54108,1,828201,54155,39018,5,0
2023-01-10 03:49:56.063497,827,345,850,1690,1228,0,0,0,994942,1587,723907,1263,S,21032,1512,207,0,90,20,0,1,42,3392311296,53839,0,828201,53977,39333,5,0
2023-01-10 03:49:56.318433,847,345,854,1703,1229,0,0,0,997318,1616,728565,1293,S,22494,1512,210,0,103,20,0,1,42,3392499712,55187,1,828333,55314,39623,5,0
2023-01-10 03:49:56.588892,867,347,859,1708,1229,0,0,0,999718,1645,733361,1324,S,22610,1512,210,0,115,22,0,1,42,3392851968,55314,0,835701,56857,40007,5,0
2023-01-10 03:49:56.859360,899,347,866,1711,1229,0,0,0,1001740,1669,737996,1354,R,25839,1512,212,0,130,27,0,1,64,3426275328,57644,1,837085,57688,41336,5,0
2023-01-10 03:49:57.124964,923,349,871,1712,1229,0,0,0,1004432,1702,742924,1387,S,26820,1512,215,0,142,28,0,1,64,3429040128,57998,0,837349,57214,40339,5,0
2023-01-10 03:49:57.375286,957,349,876,1712,1229,0,0,0,1006922,1732,747627,1417,D,27317,1512,218,0,148,30,0,1,69,3429769216,57212,0,838505,59170,41493,5,0
2023-01-10 03:49:57.651255,990,350,884,1715,1229,0,0,0,1009847,1767,754357,1455,S,29902,1512,219,0,161,33,0,1,67,3434524672,59170,0,838777,59237,41493,5,0
