#com.slydroid.multitouch
#./workspace/com.slydroid.multitouch_0/com.slydroid.multitouch.apk
#time,user_cpu,nice_cpu,system_cpu,idle_cpu,iowait_cpu,irq_cpu,softirq_cpu,steal_cpu,receive_byte,receive_packet,transmit_byte,transmit_packet,state,minflt,cminflt,majflt,cmahflat,utime,stime,cutime,cstime,numthread,vss,rss,processor,rmsize,vmsize,shared,text,data
2023-01-10 01:01:34.141777,821,293,861,588,1053,0,0,0,1033056,1172,647138,819,S,12632,0,12,0,22,5,0,0,14,3329511424,37401,1,812869,37401,23801,5,0
2023-01-10 01:01:34.397692,827,296,863,588,1053,0,0,0,1035744,1205,653430,852,S,12632,0,12,0,22,5,0,0,14,3329511424,37401,1,813513,38226,24652,5,0
2023-01-10 01:01:34.673013,832,301,868,589,1064,0,0,0,1038474,1239,658305,884,S,14923,0,13,0,35,7,0,0,14,3333857280,38672,1,813930,38672,25051,5,0
2023-01-10 01:01:34.933335,837,305,872,593,1066,0,0,0,1041030,1270,663457,918,S,14925,0,13,0,36,7,0,0,14,3333857280,38672,1,813930,38672,25051,5,0
2023-01-10 01:01:35.204060,845,305,874,626,1066,0,0,0,1043628,1302,668242,949,S,14933,0,13,0,39,7,0,0,14,3333857280,38672,1,813930,38672,25051,5,0
2023-01-10 01:01:35.449225,849,306,875,658,1066,0,0,0,1046184,1333,673297,983,S,14955,0,13,0,41,8,0,0,14,3333857280,38672,1,813930,38672,25051,5,0
2023-01-10 01:01:35.719986,866,307,879,673,1066,0,0,0,1048782,1365,678148,1015,S,16169,0,15,0,57,8,0,0,14,3336007680,39891,0,814455,39891,25946,5,0
2023-01-10 01:01:35.975552,902,307,884,683,1066,0,0,0,1051380,1397,682845,1045,S,16170,0,15,0,62,8,0,0,14,3336007680,39891,0,814499,39956,25987,5,0
2023-01-10 01:01:36.248381,921,308,887,697,1066,0,0,0,1054110,1431,687674,1077,S,16422,0,16,0,72,8,0,0,14,3336032256,40122,0,814461,40234,26161,5,0
2023-01-10 01:01:36.513696,940,308,891,706,1066,0,0,0,1056642,1462,692688,1111,S,16622,0,16,0,74,8,0,0,14,3336032256,40234,1,814461,40235,26161,5,0
2023-01-10 01:01:36.770428,951,308,894,731,1066,0,0,0,1058976,1490,697500,1142,S,16656,0,16,0,77,8,0,0,14,3336032256,40235,1,814461,40124,26161,5,0
2023-01-10 01:01:37.025566,960,313,898,757,1066,0,0,0,1061796,1525,702492,1175,S,16721,0,16,0,80,8,0,0,14,3336032256,40124,1,814461,40124,26161,5,0
2023-01-10 01:01:37.285951,967,313,900,800,1066,0,0,0,1064616,1560,707550,1209,S,16721,0,16,0,84,8,0,0,14,3336032256,40124,0,814461,40124,26161,5,0
2023-01-10 01:01:37.551239,970,313,901,844,1066,0,0,0,1067082,1590,712470,1242,S,16721,0,16,0,85,8,0,0,14,3336032256,40124,0,814461,40124,26161,5,0
2023-01-10 01:01:37.812074,976,314,903,884,1066,0,0,0,1069680,1622,717414,1275,S,16722,0,16,0,88,8,0,0,14,3336032256,40124,1,814493,40124,26161,5,0
2023-01-10 01:01:38.077486,988,326,911,893,1067,0,0,0,1072254,1654,722088,1305,S,16731,0,16,0,94,8,0,0,14,3336163328,40124,1,814493,40124,26161,5,0
2023-01-10 01:01:38.327741,995,331,915,919,1068,0,0,0,1075074,1689,727056,1338,S,16734,0,16,0,95,8,0,0,14,3336163328,40124,1,814493,40124,26161,5,0
2023-01-10 01:01:38.588263,1000,331,917,962,1068,0,0,0,1077804,1723,731977,1371,S,16737,0,16,0,99,8,0,0,14,3336163328,40124,1,814493,40124,26161,5,0
2023-01-10 01:01:38.838479,1003,331,918,1003,1068,0,0,0,1080558,1757,737079,1406,S,16737,0,16,0,99,8,0,0,14,3336163328,40124,1,814493,40124,26161,5,0
2023-01-10 01:01:39.104039,1009,331,921,1047,1068,0,0,0,1083354,1792,741894,1437,S,16743,0,16,0,103,8,0,0,14,3336163328,40124,1,814493,40124,26161,5,0
2023-01-10 01:01:39.384705,1017,341,925,1072,1070,0,0,0,1085862,1823,746595,1467,S,16750,0,16,0,106,9,0,0,14,3336163328,39420,0,814493,39420,26209,5,0
2023-01-10 01:01:39.636719,1029,345,929,1075,1071,0,0,0,1088346,1854,752261,1497,S,16756,0,16,0,109,9,0,0,14,3336163328,39420,0,814493,39420,26209,5,0
2023-01-10 01:01:39.883416,1042,345,931,1091,1071,0,0,0,1090968,1886,757144,1529,S,16758,0,16,0,110,10,0,0,14,3336163328,39420,1,814493,39420,26209,5,0
2023-01-10 01:01:40.149070,1051,345,934,1104,1071,0,0,0,1093372,1915,761688,1557,R,16939,0,16,0,113,10,0,0,14,3336163328,39548,1,814759,39567,26209,5,0
2023-01-10 01:01:40.414803,1080,347,940,1108,1071,0,0,0,1095390,1939,766325,1586,S,16993,0,16,0,115,10,0,0,15,3337252864,39567,1,814759,39567,26209,5,0
2023-01-10 01:01:40.680363,1094,347,944,1117,1071,0,0,0,1097814,1968,771298,1619,S,16993,0,16,0,116,10,0,0,15,3337252864,39567,1,814759,39567,26209,5,0
2023-01-10 01:01:40.940652,1099,347,946,1158,1071,0,0,0,1100568,2002,776271,1652,S,17015,0,16,0,117,11,0,0,15,3337252864,39583,0,814759,39583,26225,5,0
2023-01-10 01:01:41.206127,1106,352,951,1184,1072,0,0,0,1103124,2033,781400,1687,S,17016,0,16,0,121,11,0,0,15,3337252864,39538,1,814759,39538,26225,5,0
2023-01-10 01:01:41.466533,1127,353,955,1201,1073,0,0,0,1105548,2062,786835,1726,S,17257,0,16,0,124,12,0,0,15,3337252864,39668,1,814759,39668,26304,5,0
2023-01-10 01:01:41.716657,1147,353,959,1219,1073,0,0,0,1107948,2091,792192,1761,S,17257,0,16,0,126,12,0,0,15,3337252864,39668,0,814759,39668,26304,5,0
2023-01-10 01:01:42.002783,1167,354,963,1245,1073,0,0,0,1110348,2120,797705,1797,S,17403,0,16,0,131,12,0,0,15,3337252864,39650,0,814759,39638,26304,5,0
